"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170918_02701","IE_20170918_02801","IE_20170918_02901","IE_20170918_03901","IE_20170918_04201","IE_20170918_04501","IE_20170918_05001","IE_20170918_05201","IE_20170918_05401","IE_20170918_05501","IE_20170918_05601","IE_20170918_06101","IE_20170918_06401","IE_20170918_06501","IE_20170918_06601","IE_20170918_07201","IE_20170918_07401","IE_20170918_02001","IE_20170918_02601","IE_20170918_03201","IE_20170918_03801","IE_20170918_04401","IE_20170918_05101","IE_20170918_05701","IE_20170918_06301","IE_20170918_07001","IE_20170918_07601","IE_20170918_02101","IE_20170918_02201","IE_20170918_02501","IE_20170918_03501","IE_20170918_03701","IE_20170918_04001","IE_20170918_04801","IE_20170918_05901","IE_20170918_06201","IE_20170918_06701","IE_20170918_06901","IE_20170918_07301","IE_20170918_07501","IE_20170918_02301","IE_20170918_03001","IE_20170918_03101","IE_20170918_03301","IE_20170918_03401","IE_20170918_03601","IE_20170918_04101","IE_20170918_04301","IE_20170918_04601","IE_20170918_04701","IE_20170918_04901","IE_20170918_05301","IE_20170918_05801","IE_20170918_06001","IE_20170918_06801","IE_20170918_07101","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M+H]+"
"4094",4094,1075.76807939044,1075.72947177178,1075.77310401575,330.732005004883,312.406992034912,380.632994689941,42,4,8,12,11,1185.41716582412,9677.01969143206,2104.25253467469,732.401425831641,5024.63585731108,3569.59295913391,4122.63279875865,790.19793274502,421896.720069647,30471.0991975996,56824.4994434412,15237.9919391172,1339.77756427974,4157.07226243103,10010.219818946,16086.0913245485,13656.7766122914,44655.0167515129,38355.8829916175,33538.7535779751,26922.8087819293,31582.6397996396,25935.27528245,32837.9014211148,30928.4622957028,21079.0171346068,31270.4010364786,311777.504752433,624118.113113034,590522.888090112,494501.412535255,521748.805320836,257126.059540103,591171.820130688,212551.003490608,4427.28277416651,1700675.59160152,366129.423016291,77794.4458266761,507729.602375384,3302.04265344143,538.947677050531,22804.0214536339,73074.1820689151,185136.776495464,2435.47653164086,13294.9772030727,21808.2091859831,102702.544186264,20703.8735513762,1593.30462743342,577.310381730172,11027.6738778013,113234.635717194,39455.2736255899,26538.289582964,"[172][M]+","[M+H]+ 1074.76",9,6552.86559847636,31710.6159073027,0.206645800183505,7812494.0490577,TRUE
"349",349,155.082919044284,155.026473854457,155.150688277783,551.022985076904,475.053012542725,698.332001953125,320,17,10,13,16,281344.313488975,40428.2590634003,827163.221897313,413629.649311671,1672839.08873808,524018.64968831,1810147.73604788,33497995.8207321,413832.241275944,1642676.01489344,24113.3493258152,22406.6087646037,854923.245452456,51008.0582405638,1263449.45875388,16000.6371564471,520268.369960412,157572.921232716,141423.103655477,127472.164225698,144157.58270216,157728.290244171,133294.459783733,127510.749025146,100780.266474299,135541.214433976,125630.739483498,681806.016871024,68621.0734543717,1222218.79295628,25481.02093021,48151.9344152743,30414.0987479314,383443.213806128,12788.3394145221,1829689.77385767,23793.1149339192,25014.5156081021,1687526.62775199,864641.809445768,242927.201311497,385031.50397032,231557.443268001,254789.119881323,269105.221597308,192279.838402122,257215.017188713,401266.472417712,251076.128219893,257961.98186177,249995.239011141,200407.993683994,260279.949569931,210682.189832479,176630.267690258,244640.479568667,"","[M+H]+ 154.076",21,16752.5724987518,135111.149126087,0.123991044463089,56216792.5937205,TRUE
"80",80,98.0603147576444,98.0597094197292,98.0971118285157,422.13500831604,347.198989181519,422.835013504028,29,11,10,2,0,1598.60434386134,95383.0407545566,74991.7879549566,910.464157264059,87354.1569999951,3265.07120903409,123308.103835995,8645.12451091747,104355.326661638,74478.0658339003,63106.0640858486,82333.2770328037,667.543912661794,91841.8527702098,96672.2607372142,47917.3914939538,769.890275103273,59899.0437657556,46046.7659188171,48541.5311853704,40975.2039457625,32809.1275939929,46436.0819740857,33776.6196447358,43305.1130359713,42509.8119463573,38863.0857128883,3870.75212711608,8882.59637542069,5478.22028353101,2066.65327550098,669.250705349569,16082.9250343835,3799.69495117664,7304.71993420242,5937.91557095776,1821.61785329725,9136.93250596151,8373.89817691936,9766.76051950548,5558.74163778126,7016.73470156267,1210.2118030889,7771.59512480224,8389.7612373826,3204.82730324566,2211.87143500987,6064.50533373586,1548.17373003718,1631.24418209815,981.060285452753,3234.96037913825,4188.76359137781,1697.08390105516,8564.60174780712,1045.29321826614,"","[M+H]+ 97.0532",31,7794.92345486025,43316.2384723737,0.179953840170857,1538271.77821881,TRUE
"1450",1450,332.142332149885,332.03172352179,332.147751626041,236.694001579285,227.852999801636,272.715006332397,25,11,0,1,13,15212.4875587249,55898.0584142005,56166.9368978166,162724.250815528,64547.4379273601,170228.701113276,55617.2151257936,7711.8377528114,149008.145743757,7924.65626317076,13595.33871135,16699.8379213339,17677.1604145273,70586.3212928588,23182.8345317739,46009.1029927391,10331.8136297687,17530.1596931387,18286.3179754571,15868.9674045176,15956.9387679711,15753.523215152,15383.3337314838,15810.7424281064,15258.7440256836,12760.125800167,11676.9378254852,14304.6922301861,5625.36151819378,7480.25515600964,3326.47282633523,9593.0032722801,21021.9815737967,8544.36725327186,9481.82312635541,7820.10499110453,7467.63449428279,6986.21223923331,11572.4179471204,11508.0067631233,67204.8404032717,16762.4507582498,79266.7475927949,20033.4989076226,297692.724238331,216715.192239243,58296.8517948012,24949.1056049278,92336.2710640786,15064.7957058587,25131.9609894954,147579.34672717,114585.734506561,128295.355721595,233208.721115486,16432.264090175,"","[M+H]+ 331.135",34,1958.86594506007,15428.5790867163,0.12696347045637,2775696.12282491,TRUE
"2034",2034,443.081905640166,443.061954808216,443.277509832883,386.075004043579,322.507010650635,492.247993011475,129,16,10,10,15,367545.31750613,929257.432461436,295237.117182414,7791.48667562518,651415.515119505,483366.381717469,236859.901429346,37221.2983490886,141527.516255542,613568.459998126,641618.374523296,202123.041513506,240857.039030269,194236.426125169,170413.683407879,588371.771473835,14384.4123857617,672580.503385819,618275.072123708,623626.108269719,410247.477361147,592716.627091676,574749.289965475,363083.171102709,371158.558343092,565337.991264298,356955.389885757,23604.6596844048,25757.9078249424,22585.9122888267,39744.9437079131,8301.9681414552,19248.6236282372,15925.6669885991,11132.7216319242,8585.15416477408,8273.8582879196,8105.28463186696,7223.62952508653,16523.7165300362,36655.4667506011,86532.3929885856,44858.173434902,38667.2840215615,50184.9038602263,51182.9509881474,56696.3966106763,49975.4966703975,37991.6947189718,63266.0311037209,19834.0488412343,43565.325084643,43533.0875119783,32649.4433440879,46188.6864284406,15853.9278334017,"","[M+H]+ 442.075",42,124347.570182749,514873.01887934,0.241511140850613,11897174.7211754,TRUE
"1510",1510,342.024847649381,342.020328897377,342.052079742917,386.231012191772,347.130988006592,486.44099029541,55,15,10,13,0,21404.4626590867,279268.370362512,393765.879696035,1423.80209609664,471902.157303478,48166.3368477395,461689.781090401,1034.72121281792,462539.800401484,406950.585614168,272498.875009053,300981.582965869,79145.3915000646,85667.2297686338,282338.323490693,421388.299066546,31208.6629911761,187361.220401251,246971.51962647,177680.74900489,151620.520560749,225654.302779693,145089.002041457,144748.490664348,148561.757561177,203016.952397767,135078.649287137,84906.0056924455,32891.0951772972,70473.521087144,24685.9640217293,184562.895502449,71291.4979112218,89160.4278527771,42386.2351477146,111317.432462312,143531.753770926,14738.6417453643,24700.0831671306,330666.883774102,548.317546351327,504.417962671055,547.210663595601,634.884998084356,602.012259861485,586.011098259536,649.314277696734,690.563058134013,707.967745814628,450.461979767482,486.978760403496,627.336759305053,605.878478025552,519.125579752676,604.190023695468,636.828177859966,"","[M+H]+ 341.017",42,38463.401922879,176578.316432494,0.217826303364851,7021871.36308269,TRUE
"2264",2264,486.329649940593,486.256051817537,486.393564963875,341.361004486084,311.613012466431,395.146000747681,108,17,10,13,14,24668.1815437926,423605.584924852,1285710.6884221,1199036.56349458,2413052.03416176,2085967.23246604,909964.488999583,1864579.215171,1069275.7346572,2786243.47689435,15408.6199333873,1325435.88432997,2457164.90228986,1124626.96867629,771964.293610243,20476.8884705642,2677701.88306078,1097135.37132457,1021691.61045503,996471.57306537,985397.506447509,951490.651608594,921505.523740873,882533.523692898,913145.111375488,859520.574862808,830179.336252045,1073981.07170196,1425673.84438343,1060871.51576332,18974.9595666677,3271592.71720786,1082422.10720894,2035629.51971158,795500.721485578,1768253.61596078,9965.33372290432,17522.0038587786,101615.17427595,850262.16575373,49954.5868893113,44323.6323128505,76463.4326184914,4617.49436455593,18255.1901857396,95912.9883783582,69516.9263474836,105102.101492614,5500.73312779247,85993.7905888903,37835.7321714633,42126.1540801627,55648.106389685,35764.5435515512,13615.1864012238,107994.874383154,"","[M+H]+ 485.32",43,81172.8322661326,945907.078282519,0.085814805840673,46274843.6478163,TRUE
"2741",2741,583.380672911175,583.212769891356,583.38445723842,340.814005966187,287.190002822876,415.341993255615,59,8,1,0,16,80563.6071646214,2004.54012463663,1136.70012395193,49304.2161889436,82151.7651022598,1545.73455715451,9032.43003906682,1446.01264323955,121860.456807487,1083.50838024757,905.951050562865,943.667880869212,1322.26751241049,1408.37522015331,31716.2809981965,16020.0163617072,68685.150035707,37844.2235396057,36216.9580547425,34173.5786178584,31523.6334140003,30757.1800294394,16116.7355872318,26400.0578187245,27378.8158641586,26391.9803835029,26838.0618817173,1776.88232855126,1741.30733096031,4895.76583506617,1229.76251741638,3582.83637674506,2201.29268204264,1098.3548968202,2826.77694463782,1330.50018523084,2217.62029156922,1516.05391257977,1704.72588890614,2352.33823857022,268337.637403328,181968.728727448,1492983.12366027,188290.803127619,411031.452857656,47370.6640427824,722351.073878875,782567.67349706,137486.997553473,433805.024749076,134203.36324363,580441.198616131,152981.103142116,151119.163420872,814428.509148386,189252.681275946,"","[M+H]+ 582.373",43,6254.27344121568,29364.1225190981,0.212990306015375,7481865.32115596,TRUE
"3963",3963,1015.42774740703,1015.38769651357,1015.52443847164,605.622985534668,502.600005950928,660.750007781982,43,0,10,9,6,1888.25826306428,863.268742474262,610.324352172418,2238.67099520005,804.008043369135,3617.0537295886,780.275359196732,1213.56820708513,706.883754086448,432.308513246763,759.314522464115,543.909382482847,1383.06677805553,705.22921198979,359.225448454265,5587.53335401629,1716.12840347132,749101.798190653,710963.370155229,713726.121284641,667153.585862501,688001.646014005,654346.561412118,651258.506938443,636971.769762468,639796.725628607,619636.202888303,1446.75678634293,1333.7512587877,751.687481734328,14547.8073519575,64594.9707625261,102606.207454953,1881.84316479322,8840.80315584962,38716.456770661,87579.7972829081,24801.5839465521,21157.6465444018,6823.39760108292,2022.62340858579,1941.91457378864,109833.60225521,6864.64658649887,98949.2877720084,4590.31230349151,2766.91006066707,4721381.22937942,1261495.86669877,4294.27344799901,1859.97660663781,2063.30344018216,3126.21381061868,1332.80433814686,11540678.3225477,97851.0592469534,"","[M+H]+ 1014.42",46,41122.1561608936,673095.628813697,0.0610940769788829,24991300.3712366,TRUE
"2676",2676,568.401745159442,568.337501689076,568.465063094239,363.964005775452,264.356006240845,416.609012298584,190,17,10,12,16,42163.8139771298,87347.495946171,115630.902409181,29991.4721722394,12384.3820888848,69376.590673778,28452.6917289739,33327.0656751702,197662.721989085,58659.705390317,131128.583993608,63246.6031281344,33678.4873588302,61146.3110917557,63323.6923333397,99519.015894777,75328.38564823,273023.703501683,253856.200903561,218783.981692046,191070.630607974,200037.149498425,181681.283109804,172780.083724871,177727.893038311,201636.217363626,185994.811541811,53818.3390761711,151619.379789784,60239.4397562742,92368.3976512651,90118.6123142391,79051.6106832772,84960.0032803502,71690.8317749947,3881.59553561698,17657.013401137,110864.588056621,17742.8232191397,16451.6543659545,847010.06263122,492791.954414504,452461.574180424,855532.878269814,1596371.09348953,55441.5917061083,921448.150408901,407679.998705685,743416.101817936,123978.834089488,341235.253753716,993949.848876894,242540.165122971,717751.428282335,709937.098063393,793771.26974373,"[68][M]+","[M+H]+ 567.392",47,33527.1501722937,205659.195498211,0.163022859693066,14404741.4689432,TRUE
