"","node1_mic","node2_mic","MIC","pMIC","regression","p_regression"
"1","OTU196900135","OTU1969004",0.160112494299011,0.918,0.375824175824176,0.185410028697123
"2","OTU196900136","OTU1969004",0.508725674387315,0.068,0.586813186813187,0.0273843755310878
"3","OTU196900137","OTU1969004",0.605289106106858,0.008,0.0637362637362637,0.598944762786602
"4","OTU196900138","OTU1969004",0.370506500549505,0.222,0.169230769230769,0.563017273996211
"5","OTU196900139","OTU1969004",0.370506500549505,0.247,0.32967032967033,0.211270226689815
"6","OTU196900140","OTU1969004",0.689391746743088,0.015,0.215384615384615,0.423313930612497
"7","OTU196900141","OTU1969004",0.370506500549505,0.152,0.457142857142857,0.0900905493736793
"8","OTU196900142","OTU1969004",0.370506500549505,0.199,-0.0747252747252748,0.675341549241902
"9","OTU196900143","OTU1969004",0.160112494299011,0.922,0.692307692307693,0.00607104874999004
"10","OTU196900144","OTU1969004",0.151835501362341,0.915,0.0373626373626372,0.882993468994903
"11","OTU196900145","OTU1969004",0.160112494299011,0.924,0.586813186813187,0.0273843755310878
"12","OTU196900146","OTU1969004",0.151835501362341,0.918,-0.204395604395604,0.41420351858943
"13","OTU196900148","OTU1969004",0.0753959373497118,1,0.652747252747253,0.0113845739979542
"14","OTU196900149","OTU1969004",0.139438576795409,0.867,0.140659340659341,0.15075045660212
"15","OTU196900150","OTU1969004",0.160112494299011,0.929,0.648351648351648,0.0121442225731058
"16","OTU196900151","OTU1969004",0.370506500549505,0.222,0.492307692307692,0.0649310489853258
"17","OTU196900152","OTU1969004",0.113400864181103,0.901,-0.021978021978022,0.862134401165242
"18","OTU196900153","OTU1969004",0.370506500549505,0.144,0.613186813186813,0.0197063319260389
"19","OTU196900154","OTU1969004",0.508725674387315,0.064,0.630769230769231,0.0155782242727713
"20","OTU196900155","OTU1969004",0.689391746743088,0.011,0.52967032967033,0.0514165981378709
"21","OTU196900156","OTU1969004",0.151835501362341,0.941,0.687912087912088,0.00654004249184192
"22","OTU196900157","OTU1969004",0.508725674387315,0.078,0.806593406593406,0.000491112896169107
"23","OTU196900158","OTU1969004",0.689391746743088,0.017,0.410989010989011,0.0846312410431645
"24","OTU196900159","OTU1969004",0.689391746743088,0.02,0.538461538461538,0.0469761458595553
"25","OTU196900160","OTU1969004",0.256981189242354,0.46,0.586813186813187,0.0273843755310877
"26","OTU196900161","OTU1969004",0.151835501362341,0.929,0.283516483516483,0.250707625903606
"27","OTU196900162","OTU1969004",0.508725674387315,0.069,0.56043956043956,0.0371044770040744
"28","OTU196900163","OTU1969004",0.139438576795409,0.833,0.0747252747252747,0.459978444720652
"29","OTU196900164","OTU1969004",0.160112494299011,0.913,0.705494505494505,0.00481955797904853
"30","OTU196900166","OTU1969004",0.0793039725984684,0.98,0.0307692307692307,0.681803130052858
"31","OTU196900168","OTU1969004",0.508725674387315,0.072,0.586813186813187,0.0273843755310878
"32","OTU196900171","OTU1969004",0.160112494299011,0.923,0.626373626373626,0.0165419354288712
"33","OTU196900172","OTU1969004",0.370506500549505,0.231,0.428571428571428,0.126273888159313
"34","OTU196900175","OTU1969004",0.508725674387315,0.055,0.424175824175824,0.0262822958577624
"35","OTU196900176","OTU1969004",0.370506500549505,0.215,0.525274725274725,0.0537475017678831
"36","OTU196900178","OTU1969004",0.370506500549505,0.223,0.569230769230769,0.0336194170772702
"37","OTU196900179","OTU1969004",0.689391746743088,0.017,0.705494505494505,0.00481955797904855
"38","OTU196900180","OTU1969004",0.508725674387315,0.067,0.595604395604395,0.0246126107952869
"39","OTU196900181","OTU1969004",0.257831462459772,0.285,0.797802197802198,0.000628275822458177
"40","OTU196900182","OTU1969004",0.160112494299011,0.856,0.283516483516484,0.162754689931662
"41","OTU196900183","OTU1969004",0.508725674387315,0.075,0.314285714285714,0.156305613726697
"42","OTU196900184","OTU1969004",0.160112494299011,0.882,0.2,0.469911708175967
"43","OTU196900185","OTU1969004",0.689391746743088,0.014,0.652747252747253,0.0113845739979542
"44","OTU196900186","OTU1969004",0.257831462459772,0.294,0.34065934065934,0.233316051036824
"45","OTU196900187","OTU1969004",0.160112494299011,0.776,0.0989010989010989,0.533569417593873
"46","OTU196900188","OTU1969004",0.160112494299011,0.711,0.140659340659341,0.15075045660212
"47","OTU196900189","OTU1969004",0.256981189242354,0.459,0.789010989010989,0.000794614411654498
"48","OTU196900190","OTU1969004",0.160112494299011,0.732,0.0747252747252747,0.310351076475855
"49","OTU196900191","OTU1969004",0.198117421130403,0.637,0.0219780219780219,0.887649016383784
"50","OTU196900192","OTU1969004",0.689391746743088,0.009,0.285714285714286,0.14729429508701
"51","OTU196900193","OTU1969004",0.160112494299011,0.737,0.16043956043956,0.0237945177114255
"52","OTU196900194","OTU1969004",0.370506500549505,0.141,0.318681318681319,0.0275545846265801
"53","OTU196900195","OTU1969004",0.370506500549505,0.18,0.373626373626374,0.0949229214851996
"54","OTU196900196","OTU1969004",0.370506500549505,0.219,0.105494505494505,0.698007737009591
"55","OTU196900197","OTU1969004",0.370506500549505,0.148,0.76043956043956,0.000964220463341747
"56","OTU196900198","OTU1969004",0.370506500549505,0.226,0.56043956043956,0.0371044770040745
"57","OTU196900199","OTU1969004",0.256981189242354,0.474,0.63076923076923,0.0155782242727713
"58","OTU196900201","OTU1969004",0.370506500549505,0.24,0.63076923076923,0.0155782242727713
"59","OTU196900202","OTU1969004",0.370506500549505,0.233,0.604395604395605,0.0220568617546161
"60","OTU196900203","OTU1969004",0.256981189242354,0.516,0.393406593406593,0.0847971820429252
"61","OTU196900204","OTU1969004",0.508725674387315,0.072,0.424175824175824,0.130637310438111
"62","OTU196900205","OTU1969004",0.370506500549505,0.153,0.136263736263736,0.269239585177178
"63","OTU196900208","OTU1969004",0.689391746743088,0.016,0.701098901098901,0.00521186176994694
"64","OTU196900209","OTU1969004",0.370506500549505,0.251,0.237362637362637,0.376097430218189
"65","OTU196900210","OTU1969004",0.256981189242354,0.584,0.698901098901099,0.00381301361976089
"66","OTU196900211","OTU1969004",0.689391746743088,0.019,0.305494505494505,0.169308160732314
"67","OTU196900213","OTU1969004",0.508725674387315,0.073,0.38021978021978,0.114252935520618
"68","OTU196900214","OTU1969004",0.370506500549505,0.147,0.70989010989011,0.00445074141876424
"69","OTU196900215","OTU1969004",0.256981189242354,0.483,0.551648351648351,0.040849058351123
"70","OTU196900217","OTU1969004",0.160112494299011,0.92,0.657142857142857,0.0106619677473298
"71","OTU196900218","OTU1969004",0.508725674387315,0.067,0.764835164835164,0.000134446942768561
"72","OTU196900219","OTU1969004",0.370506500549505,0.158,0.70989010989011,0.00445074141876423
"73","OTU196900221","OTU1969004",0.160112494299011,0.913,0.626373626373626,0.0165419354288712
"74","OTU196900222","OTU1969004",0.236122347961794,0.423,0.162637362637363,0.284010961511469
"75","OTU196900223","OTU1969004",0.160112494299011,0.879,0.632967032967033,0.0117752740962176
"76","OTU196900224","OTU1969004",0.370506500549505,0.212,0.564835164835165,0.0353301848675528
"77","OTU196900225","OTU1969004",0.508725674387315,0.047,0.0967032967032967,0.586832613739054
"78","OTU196900226","OTU1969004",0.508725674387315,0.063,0.406593406593407,0.0349650799168743
"79","OTU196900227","OTU1969004",0.160112494299011,0.915,0.731868131868132,0.00292463094681193
"80","OTU196900228","OTU1969004",0.256981189242354,0.447,0.38021978021978,0.120721576654888
"81","OTU196900229","OTU1969004",0.159262221081593,0.779,0.281318681318681,0.0194283299919242
"82","OTU196900230","OTU1969004",0.257831462459772,0.301,0.775824175824176,0.00110847866777874
"83","OTU196900231","OTU1969004",0.508725674387315,0.053,0.254945054945055,0.200370772446172
"84","OTU196900232","OTU1969004",0.160112494299011,0.73,0.0923076923076923,0.204478161632564
"85","OTU196900234","OTU1969004",0.257831462459772,0.286,0.424175824175824,0.10939661418727
"86","OTU196900235","OTU1969004",0.370506500549505,0.219,0.749450549450549,0.00203014554910065
"87","OTU196900236","OTU1969004",0.256981189242354,0.406,0.397802197802198,0.0808893967714186
"88","OTU196900237","OTU1969004",0.256981189242354,0.455,0.564835164835165,0.024883133295564
"89","OTU196900239","OTU1969004",0.256981189242354,0.476,0.758241758241758,0.00167300340702643
"90","OTU196900241","OTU1969004",0.370506500549505,0.217,0.494505494505494,0.0722496740341327
"91","OTU196900242","OTU1969004",0.0753959373497118,1,-0.00219780219780223,0.9940505286659
"92","OTU196900246","OTU1969004",0.370506500549505,0.23,0.608791208791209,0.0208566160172232
"93","OTU196900248","OTU1969004",0.160112494299011,0.715,0.158241758241758,0.101486282396475
"94","OTU196900249","OTU1969004",0.256981189242354,0.602,0.637362637362637,0.0110135660667522
"95","OTU196900250","OTU1969004",0.370506500549505,0.155,0.753846153846154,0.00184472528925723
"96","OTU196900252","OTU1969004",0.370506500549505,0.165,0.683516483516483,0.00703674363988468
"97","OTU196900253","OTU1969004",0.370506500549505,0.187,0.182417582417582,0.424309543078316
"98","OTU196900255","OTU1969004",0.257831462459772,0.289,0.85054945054945,0.00011565615890989
"99","OTU196900256","OTU1969004",0.321023828688051,0.156,0.131868131868132,0.0589060326259977
"100","OTU196900260","OTU1969004",0.370506500549505,0.204,0.435164835164835,0.108884538349338
"101","OTU196900262","OTU1969004",0.508725674387315,0.061,0.389010989010989,0.105158577348614
"102","OTU196900263","OTU1969004",0.689391746743088,0.011,0.395604395604395,0.127369530249041
"103","OTU196900264","OTU1969004",0.160112494299011,0.875,0.252747252747253,0.261900536165274
"104","OTU196900265","OTU1969004",0.160112494299011,0.835,0.134065934065934,0.523105595464461
"105","OTU196900266","OTU1969004",0.370506500549505,0.142,0.375824175824176,0.00616313419200112
"106","OTU196900268","OTU1969004",0.508725674387315,0.06,0.397802197802198,0.0965753184251292
"107","OTU196900269","OTU1969004",0.370506500549505,0.161,0.468131868131868,0.0913763650683313
"108","OTU196900271","OTU1969004",0.370506500549505,0.221,0.468131868131868,0.0733276127661348
"109","OTU196900274","OTU1969004",0.370506500549505,0.251,0.657142857142857,0.0106619677473298
"110","OTU196900276","OTU1969004",0.256981189242354,0.219,0.118681318681319,0.0943306161167695
"111","OTU196900277","OTU1969004",0.508725674387315,0.07,0.459340659340659,0.0984683761682905
"112","OTU196900279","OTU1969004",0.160112494299011,0.93,0.727472527472527,0.00319061631898817
"113","OTU196900280","OTU1969004",0.151835501362341,0.947,0.573626373626373,0.031970813976397
"114","OTU196900283","OTU1969004",0.689391746743088,0.016,0.406593406593406,0.0884906786693648
"115","OTU196900284","OTU1969004",0.370506500549505,0.207,0.34065934065934,0.121304508248086
"116","OTU196900286","OTU1969004",0.508725674387315,0.079,0.714285714285714,0.00410440916188024
"117","OTU196900287","OTU1969004",0.160112494299011,0.925,0.793406593406593,0.000707534135618207
"118","OTU196900288","OTU1969004",0.160112494299011,0.929,0.683516483516483,0.00703674363988468
"119","OTU196900289","OTU1969004",0.370506500549505,0.147,0.727472527472527,0.00319061631898817
"120","OTU196900291","OTU1969004",0.256981189242354,0.482,0.503296703296703,0.0665604275991132
"121","OTU196900292","OTU1969004",0.151835501362341,0.889,0.189010989010989,0.306754757328174
