"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171003_01601","IE_20171003_01801","IE_20171003_02301","IE_20171003_02501","IE_20171003_02801","IE_20171003_03401","IE_20171003_03601","IE_20171003_04001","IE_20171003_04101","IE_20171003_04801","IE_20171003_04901","IE_20171003_05101","IE_20171003_05301","IE_20171003_05601","IE_20171003_06201","IE_20171003_06301","IE_20171003_06801","IE_20171003_06901","IE_20171003_01301","IE_20171003_02001","IE_20171003_02601","IE_20171003_03201","IE_20171003_03801","IE_20171003_04401","IE_20171003_05001","IE_20171003_05701","IE_20171003_06401","IE_20171003_07001","IE_20171003_01701","IE_20171003_02201","IE_20171003_02401","IE_20171003_03101","IE_20171003_03301","IE_20171003_04301","IE_20171003_04601","IE_20171003_04701","IE_20171003_05401","IE_20171003_05901","IE_20171003_06101","IE_20171003_06501","IE_20171003_06601","IE_20171003_01401","IE_20171003_01501","IE_20171003_01901","IE_20171003_02101","IE_20171003_02701","IE_20171003_02901","IE_20171003_03001","IE_20171003_03501","IE_20171003_03901","IE_20171003_04201","IE_20171003_04501","IE_20171003_05201","IE_20171003_05501","IE_20171003_05801","IE_20171003_06001","IE_20171003_06701","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M-H]-"
"137",137,180.066565421449,180.0332442098,180.10970216389,51.9510013103485,24.8109999370575,125.192994422913,29,2,8,12,2,1618.81805581241,657.978225075093,2042.71075840048,1424.57490901122,1010.6578276175,1256.45802171329,12489.4155437048,1593.20769877871,974.187779695162,7144.52329187654,1380.29177049031,1841.9807171273,1053.6876206534,1194.78695144829,1220.86148675646,1472.6304297138,1075.50001052636,1848.09985441535,1321901.33791119,1308622.82364246,1289783.44765937,1247460.09148863,1228708.45073055,1222977.93087779,1218331.37814007,1010400.60412858,3043.25803293706,3146.87782223686,7703.1443896424,30210.575538273,2407209.01362481,3959886.55900861,52234.5345921514,199682.348927922,109221.281427204,6012353.22025843,2279029.67981219,3907489.30286028,9149.11607099411,4160717.84078009,27501.6585958157,1863.4526917194,8791.27662595105,1438.72910569921,2353.53708710621,1287.55399980897,1525.60628814666,6950.6011147183,1324.61232026573,2017.25042414495,17204.7731150957,1407.77719791721,1495.07058530142,8247.36636907972,2284.61535991311,1838.51043860271,4072.41031751103,"","[M-H]- 181.071 [M-H-C2H4O (McLafferty)]- 225.104",1,97767.1959423628,1231023.25807233,0.0794194547513727,33122167.990314,TRUE
"517",517,283.229088840288,283.225316997982,283.316436865232,682.194985046387,602.317987213135,726.070027923584,162,18,8,2,16,119427.098706868,41709.1786705106,61262.3371778615,147120.039110482,18564.4790916529,131768.344972143,49500.3441538261,33953.1785295159,12175.9352409979,104416.821711625,31494.1310808621,112989.018678448,20316.6770836525,32941.6022541746,207082.36064137,94669.399288737,19447.5978097413,49481.4410457002,2728041.21839908,2632159.91243748,2314444.92923189,2450450.09896852,2382790.31259121,2233971.57812087,2052401.71443562,1761091.20629294,1818.79050700615,2068.10489471024,1216.35982656735,5510.64194688946,711.46204019431,1970.39038391132,2384.44101018778,996.298445811961,1112.58338332425,13592.2844446565,574.445234760642,664.004001447931,679.631811068393,316.710300274814,24383.0703524008,45126.0116878222,72448.2088813931,57045.793391224,56441.8261161447,3641089.61989306,464738.945998956,7459857.24869471,7021418.46901014,4953061.06505319,7741858.97956471,15213.7389504164,7580717.45038104,3059047.10696981,4967691.8612243,10964262.2631791,1541040.25050458,"[22][M]-","[M-H]- 284.236",2,310832.574855631,2319418.8713097,0.13401312660706,79542729.0138096,TRUE
"1052",1052,389.341270874446,389.332523467312,389.343728169503,893.646011505127,816.857015686035,983.155958862305,92,18,10,10,16,230488.942125365,87353.2231407308,16030.0251249905,420887.347978806,66980.944102176,329666.384617758,146197.234695777,66750.0711536407,41659.2698405696,194277.568646781,32015.9956749242,358754.869650517,43685.4723450989,72832.1032463014,227291.396816969,161298.597028995,79330.7088712156,191037.942693636,4735427.37959732,5158981.7977526,4391300.94771835,4294163.07159726,3917151.03060753,4086539.30451678,3718724.90081537,3139509.76949799,16167.1442384575,31758.052037945,34871.3875782719,27175.8975752966,10210.6519566129,72348.0278616305,41232.1608729847,29856.2169809897,13942.7031802572,9347.47221833042,12341.1808824688,20299.3501832752,27702.3337882836,7595.54432866694,130115.786471561,10094957.4181154,9988067.11807515,10422355.774584,4891508.07301149,4905401.68605775,10904621.3521892,12874178.9863775,13593678.5156812,12513127.8011135,10366371.8580812,718669.176706821,8622732.5120267,5934145.16858064,9599469.29631662,6538097.29292697,5226671.04132749,"[56][M]-","[M-H]- 390.349",3,620806.49697193,4180224.7752629,0.148510314719353,173887353.281184,TRUE
"255",255,217.852821601132,217.85124698077,217.853788268291,894.112987518311,893.381014709473,894.118017120361,13,0,0,0,13,139.174378037453,500.637504928878,363.206962819211,353.974183776105,223.846628904343,331.709765262902,159.477330595255,158.766363007327,407.12914631851,259.834554365836,266.697833530605,176.474522420904,282.626511628429,161.130099932081,286.289611816406,266.515194618454,577.882985725999,298.32331975922,6079.02419315154,3731.71337880194,8798.52335714996,4474.84010308981,6394.01799393892,6019.36765172482,6058.98173434921,4261.29659349099,143.719196886756,246.585951627543,391.267650679996,351.34325373685,329.330258890055,215.398536289111,361.648056343198,266.048429300077,158.504908257164,357.607299940927,382.879879283905,384.296696856618,250.01260635932,377.502740837634,309.067536140233,24138.8729301734,22733.7927709733,26852.0235277712,5957.68149727878,9198.81512850523,22334.7621722147,20876.720273367,24785.3248292092,29448.2089970367,26327.739151828,228.280883789062,24934.0676016081,18006.253289156,27737.0835517134,12879.1311715096,13604.4717385769,"","[M-H]- 218.862 [M-H-C8H6O-H2O]- 354.912",3,1598.93445236173,5727.22062571215,0.279181571106826,365599.904419285,TRUE
"736",736,327.232098636748,327.124557044471,327.233769326779,684.440509185791,665.831003417969,704.948972930908,82,18,8,5,16,1161145.79697624,441201.875407781,590193.894884356,1335691.55406162,199822.269999772,1232537.77067857,493114.074456559,341844.376382278,128678.684873477,937166.053952474,325768.325363114,1033511.19024818,218300.06751772,314540.336336374,1863890.63439049,856050.797000647,190084.732415937,465046.743735373,3086472.06504276,3245830.21641778,3013781.41399173,2912737.31891665,2696643.08963235,2625217.35674207,2510155.17663875,2244872.37390336,7403.88942192122,6072.64546905458,9367.16987647794,43983.4776986782,8504.34850597382,10124.3539966643,10070.0803452283,8786.45599374446,6867.90354848901,9603.36075069958,6143.13457579911,6953.75980551426,13311.6517975793,5423.35452348242,31833.4515049006,9016290.07564664,5865294.97140399,7790465.42440329,346600.840644458,4603826.69107077,837479.484884548,10922335.871619,6630869.48397275,3935149.38537949,9146065.77479139,101764.536228888,8184441.29258716,1548915.80131273,9736520.47145831,5367099.09014337,6280944.71808342,"[37][M]-","[M-H]- 328.239",4,332121.897104071,2791963.62641068,0.118956383945103,124962811.141411,TRUE
"604",604,301.216987103735,301.215527848412,301.21802325315,651.734977874756,650.601978302002,666.698984375,47,18,8,2,16,362462.474155185,146913.815238493,240831.399599749,407203.373155554,111781.763178607,595616.844119991,160641.165723654,180543.948797658,65647.7479807921,437523.966819208,281362.336772354,425178.961795704,69367.7159076603,106522.648664167,651656.056556133,277082.586173842,83187.6408180738,238677.889645704,2561277.27700833,2525645.98116348,2524549.29553721,2254048.51317659,2167115.98742676,2298730.52504727,2202607.98852065,1813819.89571893,2274.42754435486,1502.57436979948,2233.92529140006,59665.7320878903,1276.98127640864,3587.44378878394,7982.46257574065,3692.07268535106,1232.59393082187,7899.09574557434,848.431222461757,2510.12023637866,9100.49978859723,814.372362257647,18441.9224925102,2611554.40689427,4504343.20052426,5558720.18148363,364544.078205744,2967277.72061971,1082710.84009862,7144506.05194905,5022716.06098839,4694346.16969577,10471243.6228511,99088.5641783495,6784149.46659596,1196777.91447367,5834511.25689363,4264823.76215537,1728510.24247987,"[28][M]-","[M-H]- 302.224",5,249253.529971857,2293474.4329499,0.108679445644076,87642883.9941875,TRUE
"2668",2668,852.609865998248,852.607609783044,852.611928419957,651.953994598389,651.658986358643,653.742975463867,23,0,8,0,15,955.864652604796,423.711527837174,568.322272727097,561.848187590076,567.966672204202,648.409950405359,880.574640085921,733.318049651053,705.186382932588,1058.93903244734,1116.85233856551,851.316388172763,1144.98793115001,1969.48263011341,1475.29109420151,618.921787303314,902.911181926727,1053.27011377998,141933.069458753,144863.463183716,137628.499256741,123188.497023862,110099.593774965,111839.431320392,110829.167951681,87921.1983977169,950.151406950504,625.413380357251,598.081976546389,963.797646997703,396.332538246643,510.705779598612,635.939185361378,807.545744063841,1056.375768755,1047.84989764976,1146.7589646019,1106.98778590187,973.290229797363,892.977244480598,1662.25128465034,731617.275152771,512498.799853265,397426.025163927,13675.589491491,193455.660587735,154547.730596177,555155.781332621,483943.016681931,533460.572494939,814601.342174788,4922.3122199893,569320.875885812,70075.7001821883,438673.784897514,426994.508736987,213584.654845204,"[168][M]-","[M-H]- 853.623",5,19600.7693841328,121037.865045978,0.161939153311132,7111868.18433282,TRUE
"1782",1782,532.340984808331,532.338940279478,532.353189843845,702.431000213623,687.050002288818,715.389976501465,35,0,8,0,16,5993.455121069,5139.86582795531,4484.50871107568,3344.02571463585,3991.53106925637,10202.1646573698,10633.0915797515,8173.62521606045,5166.43575514754,3621.38987353941,2847.43046809706,4542.20076906734,5435.20414420404,4642.06155403491,7057.19419492355,5390.26104444953,4670.10419549953,4783.67680386504,2454371.64085203,2538319.21433393,2344310.48880988,2156504.94237212,2120591.89905368,2048414.94104616,1977101.14768356,1623084.47481534,10731.2351192832,9025.43111436367,4137.11010086238,6030.8184973374,3340.19236596195,4203.77777281133,5185.63271674785,6865.60406950613,4287.68902739286,4159.7489984899,2956.5609626472,8124.74413647453,7697.23866637448,4115.48883915693,3713.67966498647,1351711.13043513,4084061.52225122,5462821.78488582,1187207.4120681,1266238.72360066,2349394.37468392,4897298.01401747,8677208.86836543,5156097.45143318,8189722.61543535,439208.515206424,3576760.30502048,2736588.87222108,8999206.61202655,6453328.41585549,1948338.64718074,"","[M-H]- 533.348",10,292638.182522211,2157837.34362084,0.135616423261619,84222585.1924061,TRUE
"1193",1193,416.054499776058,415.994461360672,416.074460336807,192.647498283386,129.834006614685,289.378995895386,28,14,0,0,0,40339.5796863917,34122.0872965255,24047.6186943124,12394.5525112271,7480.20979837514,33562.8148557292,51122.7800025725,14921.1944172706,1244.66050931951,78185.2442056721,1010.57987716943,36774.2296334957,44268.5537568876,641.301646056967,44220.5729616053,1532.55193952318,36538.0220576422,8260.15204885014,10866.6427406481,10467.0445375144,8964.29987431566,10490.8755869817,7769.44520155952,7660.93420436207,7681.57177414373,6278.31001401693,331.101749985944,294.584558332153,1240.91722209677,1724.82113687992,885.858162298799,909.569102258297,2721.74018814266,1145.49716008532,1193.35659075715,836.621814770997,897.379480933864,767.810773618519,1700.7488442298,749.492243701173,859.782937198505,1928.05229572368,1363.57204843877,1263.00603956636,1317.61624970241,1070.09154117301,1261.31636703489,974.327539942518,750.542781514426,942.068074609153,974.968365938336,1666.66059175556,1096.39506988294,1113.75431024271,1528.17140999357,1026.44484740372,664.950234409655,"","[M-H]- 417.059",11,1686.04873207277,8772.39049169276,0.192199461899173,576047.04956479,TRUE
"2815",2815,933.784341836698,933.781905325389,933.786815444494,869.460503692627,868.932010345459,870.087988433838,24,0,8,0,16,144.76452911592,230.051053313073,200.8154453177,179.598883375525,200.40311965032,220.016650390625,143.138683830737,147.821695121122,157.235735875368,187.347378507257,167.092135711573,157.584215007257,112.630635510864,147.386708181724,158.630236081779,91.9320373535156,139.217393745979,152.37567559653,29634.4004219421,28424.5362930223,33964.3021680658,28531.4312306089,26574.9747406266,24864.3103692681,23685.7645860873,18292.1094487661,119.066650390625,263.300276953168,142.390981080631,196.937025672091,206.282979846001,128.577542320958,214.14332900825,196.249339955194,184.457211652026,257.31893575564,161.151378247654,257.023498546332,199.399698893229,158.780947710787,68.0298156738281,485959.541671908,1991665.40423863,170428.476887234,155903.913417533,50064.4160056254,2742206.29204918,186505.529726079,290763.629117564,895411.983215623,459897.826038599,8710.02407466993,48653.4442898205,23110.6543076411,395470.979341768,4091814.06513702,117990.621869406,"[190][M]-","[M-H]- 934.792",12,4642.27933342567,26746.4786572984,0.173566000702635,12334219.7824701,TRUE
