"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171002_01501","IE_20171002_01801","IE_20171002_02301","IE_20171002_02501","IE_20171002_02701","IE_20171002_02901","IE_20171002_03301","IE_20171002_03701","IE_20171002_04001","IE_20171002_04201","IE_20171002_04301","IE_20171002_05101","IE_20171002_05701","IE_20171002_06101","IE_20171002_06301","IE_20171002_06701","IE_20171002_06901","IE_20171002_07001","IE_20171002_01401","IE_20171002_02001","IE_20171002_02601","IE_20171002_03201","IE_20171002_03801","IE_20171002_04401","IE_20171002_05001","IE_20171002_05601","IE_20171002_06201","IE_20171002_06801","IE_20171002_07201","IE_20171002_01701","IE_20171002_02101","IE_20171002_02201","IE_20171002_03501","IE_20171002_03601","IE_20171002_04101","IE_20171002_04701","IE_20171002_05401","IE_20171002_05801","IE_20171002_06401","IE_20171002_06501","IE_20171002_06601","IE_20171002_07101","IE_20171002_01601","IE_20171002_01901","IE_20171002_02401","IE_20171002_02801","IE_20171002_03001","IE_20171002_03101","IE_20171002_03401","IE_20171002_04501","IE_20171002_04601","IE_20171002_04801","IE_20171002_04901","IE_20171002_05201","IE_20171002_05301","IE_20171002_05501","IE_20171002_05901","IE_20171002_06001","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M+H]+"
"2185",2185,535.271699406173,535.260111595907,535.274978179871,745.674478302002,729.15499130249,770.454025268555,46,0,11,0,16,5219.08677443283,6657.21668934077,10985.3407310983,4811.32574236393,3726.30413675308,2311.70885247756,7637.97921827063,1745.07480222546,2483.032186836,7204.76661890373,2834.71981525943,3876.520819664,14496.1492038742,1686.78473027386,9840.42690649331,4190.4981512907,4047.81218320131,3161.48574500448,2498543.83996417,2416225.75387847,2165136.79824462,1959667.51082576,1970531.67589599,2114803.18589238,2047528.67499387,2183188.91265957,2005434.30131545,2029535.99880926,2016498.64188926,7965.88591648473,7169.47661873139,2972.61097434908,2415.98879409623,1577.5737181637,1207.13674786091,1270.18116762512,3288.23414497905,5058.14369219989,2647.73447817647,2007.39792814478,2153.39353243288,2873.00787206988,3052567.58312486,2740700.20366883,854076.434145742,36964.7552275658,4083840.18897139,7232277.72152349,152639.163395725,16034153.685813,6442243.52946178,764898.978971893,3302694.75550852,5121332.28501767,2683749.24327599,32754765.6330013,5760341.01932563,6475570.81895672,"","[M+H]+ 534.264",1,179369.356060013,2127917.75403353,0.0842933688203004,121039434.292652,TRUE
"2517",2517,599.389691093697,599.289332218912,599.410454480247,745.332017745972,666.852026824951,769.805017089844,64,0,11,1,14,1952.05533909094,3058.90040798765,2516.69329553749,1503.28689032752,1422.09646189213,1534.04340117301,1700.81529839834,1410.0205170446,1756.32946636942,1156.48992844485,1825.29090240267,1307.33804762363,1439.06373932668,1673.51535659615,1720.42520459741,1282.95288568223,1934.9275034098,1587.56020657718,59271.4190172103,54970.1739183937,47310.2155529894,46671.9288243614,46864.8388989642,48368.6809862964,48954.4882787159,45443.6476510125,43983.048344031,44022.7524835904,44919.5467331362,1618.56118114506,1270.000751572,1319.97587665809,1954.99175969346,1754.48687748777,914.69262256287,1045.61918474967,1109.48126584291,1070.95154977093,1264.47262889395,1086.96491974685,820.364557580756,17057.731957251,52453.8192921504,100871.112996948,1651080.26893671,29159.2173796094,171957.800672175,56159.7998728752,19223.2034177542,530470.267200241,67792.4499944667,19952.1555139171,972201.641864912,92602.2710987444,48401.1406611305,483103.926923395,14310.04791677,248478.519558562,"","[M+H]+ 598.388",1,4769.47505325701,48252.7946080638,0.0988434989516641,5152068.4839745,TRUE
"1528",1528,406.212675155315,406.211273016964,406.234283335552,745.944479751587,663.208005065918,747.636974182129,20,0,6,0,11,2584.86464857683,2457.28247243379,2579.6279891112,2587.05547720194,1888.42306137085,1939.44445790185,2236.72955290104,2507.76727451218,2599.61287886091,1742.56852023623,2681.328258978,2067.81189841777,1854.37132479747,1604.43362869695,2180.12806694359,1508.25332539422,1839.58691916801,1969.78923637834,9566.44948060624,12784.5715867281,19999.7156649232,10688.6134696165,13952.6285629906,12286.268222885,9229.95691803594,10451.2706188079,14229.9466163631,11628.5572434053,11152.8788935587,2876.71455567144,2549.58245990425,1712.17706347009,2145.51045203768,1956.02619940042,1560.24773122743,1808.83489447193,2167.61662231551,2041.89933544646,2002.50259804539,1504.21856101602,1475.36816742768,1612.28155018762,13226.8404666015,15224.4412195623,5148.61944484934,3799.47775482138,51270.9125334397,78993.0504459639,4038.02460210191,103738.943024352,56392.9483171273,7515.39494270583,27249.2869652738,32034.5451633967,13889.1590232169,109117.593629709,34501.2449963707,32107.0204443298,"","[M+H]+ 405.206",1,3010.21814948851,12360.9870252655,0.243525710635867,788460.419434246,TRUE
"1503",1503,402.056193482545,401.901480303586,402.0590568138,193.188001174927,155.3180052948,218.634006958008,66,15,11,0,1,1517216.24625566,2160670.22111141,132306.676684708,2017926.45323351,1049.62825629395,1290855.14285445,773676.300915154,56395.6582404726,725543.709588004,1016226.50653389,811112.592588589,70680.0642304334,692317.066690602,104865.235167337,448922.798811942,1214.93093543655,792.083359699696,1654192.84586939,437170.329065043,457088.384351777,464810.356544387,436463.189285354,445776.733856532,420509.546859105,367270.88572716,359453.026595487,363577.424182128,378458.035365921,326735.829233082,1736.15266093612,923.57003229484,1017.40852751651,1325.83872895385,524.632788874861,977.097207748642,505.679209552822,762.268030807376,660.411819986784,515.841133788228,521.632009514892,1134.87962598987,7800.40601029666,1799.16829231195,2115.44039178547,2199.33381095529,1643.60864010944,2244.54452409991,2102.96213569896,1837.96557432413,2389.70714383246,12457.7474566698,1418.2584891431,1809.90344742592,2028.47643042977,2165.28981583921,2674.62564630783,1023.37287462062,1669.96283783222,"","[M+H]+ 401.051 [M+H-CH3OH]+ 433.066",2,47182.3496995935,405210.340096907,0.116439155250356,17993264.0876906,TRUE
"1674",1674,434.069593630977,434.063311982919,434.299847554965,193.152494354248,60.0139968299866,266.717990341187,80,15,11,10,3,99251.5239994197,145970.126532214,32285.9649955784,178499.937792867,881.213303824188,149793.249106341,99273.0003388063,26107.0930002024,117161.657710224,187652.055920608,154515.687923513,14297.1606566906,138380.527973436,22868.8738866507,109042.664491012,1080.02558301932,750.007632358864,230689.568737808,39815.8122203592,52219.1743804686,62773.4446560946,61548.786263898,77173.5687111947,83086.7343646474,65316.6612294835,67730.981536624,74209.327231367,76524.1147962408,72545.9869779875,14183.9834613256,7800.1832899712,9336.93990745023,12673.3018611395,14865.5706576293,182920.33691841,11162.079682108,530.404566266108,29840.2048232711,611.314587390516,13416.7071648538,1371.97725808132,11224.862904201,1547.37977276556,1677.93379572569,15788.9613165706,1513.5238685552,19974.5716367978,1952.54419177054,2846.80766656594,1776.63069874281,2299.56992206373,1329.53329061767,1429.57078390622,1225.81032745913,1285.66959666977,2196.27079409081,1339.36871801747,19664.7029711008,"","[M+H]+ 433.066",2,12420.2692044272,66631.3265789423,0.18640285046272,2829231.64838646,TRUE
"4457",4457,1015.74690378258,1015.74491741976,1015.74946093242,619.666487960815,591.341975250244,620.299976959229,30,0,11,0,16,272.798832308113,362.398974721786,310.995205155359,401.59823488084,279.176717689593,269.033832064298,285.310655037673,208.977933228693,364.986064228444,304.76250301674,178.407356353477,470.040453357622,252.715144554991,394.966393584386,180.463199432601,336.759371355176,272.50253643468,296.162281886105,871775.386858376,887125.003322363,883229.494124099,853776.306603799,881016.922129691,837207.945750763,827717.102452107,865806.764430503,847028.348736217,847671.171241254,799939.14934136,581.23136067763,290.00124544402,322.458817403425,406.735365970805,306.927686530352,274.076361310482,262.373921416607,201.667803503852,326.762677064445,338.8658203125,203.188013329636,275.146842082838,231.304739032769,5933072.718644,2947060.08122438,20357075.1858137,2864217.90184021,15274870.9535459,3676584.34028351,9413097.4682684,283841.757973842,12783168.908656,77399.881695353,10706123.3591044,5920543.50208006,12148794.1410919,2276037.33675304,820939.134095674,9089520.69461429,"[301][M]+","[M+H]+ 1014.74",6,26673.3980758653,854753.963180957,0.031205936707916,123984103.757019,TRUE
"2339",2339,564.296381026142,564.262728237288,564.299023678667,619.913979492188,593.843018493652,682.131012420654,39,0,11,0,16,789.865959714759,3874.59868995473,910.866803502043,723.970853849099,735.50231215156,917.516772531546,983.675614601145,1027.86205848058,1119.25580626726,928.298605073243,1092.13386844657,698.888395142875,613.25586513492,867.847247239202,702.49072917199,764.530893365387,790.360629267618,2425.41852586054,50453.6111708468,45215.5097655952,41967.0497993007,36727.3858700171,32597.0007007569,32826.6172471573,33406.2259695232,33903.1244006753,25741.9360332191,35414.6356951743,31866.329593835,2171.07658596399,1757.19177216126,645.322911609896,1154.83880862594,933.561501694098,598.38575131679,777.837780191253,644.409895135649,632.694478333369,537.605937536806,367.551764087053,447.577943185273,592.421510955319,60034.7912887111,53297.7239524325,47327.9853716958,17458.0794294924,53512.3155454971,38738.8865556568,22002.9946229607,19934.0922797099,37735.2108288556,22202.1696550939,41465.7656485532,47646.1621037219,45604.6285110504,31653.7926841076,33329.0129438809,39284.8646765202,"","[M+H]+ 563.288",6,6955.98766667871,36374.4932951001,0.19123256536513,1042574.71861459,TRUE
"2113",2113,520.377953000396,520.199535529353,520.432890903724,737.655487060547,693.286028289795,832.413989868164,94,11,11,8,16,44136.6133521125,18093.8184432983,16068.1276078658,102912.234076353,65166.2066718796,32567.1948515251,179914.252533205,10508.6312642187,10683.2932708209,14135.9328773509,11476.4286876267,124153.286886681,153733.135378906,308836.676521786,99758.9308314258,7805.46149699525,42882.6286890042,8743.70954043486,8829002.72943946,9115344.26925892,8661702.3234812,8705603.59646523,8355651.3807907,8431472.97242577,8106061.78079367,7969918.09491134,7673201.84787607,7498981.26035388,7525405.80694614,38183.2546602775,68280.2068940364,31329.9675185583,46537.7414878085,14338.2615678012,7420.14063183467,249299.184829268,187101.731763364,55710.116217623,23362.686429821,8626.22684289515,8550.17635575208,5053.53263602725,5835358.94538131,16254823.7177549,32022032.5289027,9677518.02108335,30847588.1300608,27892093.1981421,1558097.19464153,7557606.92839072,24279933.3381758,4796926.0417368,23628857.2757299,16958848.0885045,17334521.71753,18114445.7582051,10501531.2929539,28440170.1613961,"[82][M]+","[M+H]+ 519.37",7,549981.660230897,8261122.36934022,0.0665746899322134,368568068.192148,TRUE
"757",757,281.047980543969,280.991233484107,281.049348009249,182.41700504303,144.589003791809,234.814999465942,67,18,11,1,5,28410659.7685923,49184322.0944951,22317137.8660652,42949132.2866136,24987233.9206771,35894336.7899347,18029560.6745879,15000863.9316471,23001705.4973005,36143141.4393282,26221380.2921348,11851197.5410995,22921559.1296342,13648818.773361,17396366.6984896,233850.037617593,25047365.4197342,47489081.1396838,19027620.9652192,18032867.5769146,17362535.4855495,17224031.5833664,16767015.9267839,16511981.7963935,16042928.3159094,15670044.0685711,14979147.5290806,14838960.9066299,14997962.6129058,11117.8810391989,9625.26318232127,1185.64268415887,1085.78194461464,2688.98927743337,2854.44096116428,4340.46948549187,608.976773606237,1022.4981238808,1291.7879140305,6630.22210873151,718.405542201961,1489556.01221272,2667.09915324952,6461.99682498397,18316.8059215136,3132.15206835729,4957.38529955076,1600.45484240923,6950.96604242276,16268.0698334801,99662.8236004863,1338.48084465135,18819.0654008048,25413.2752593658,23475.6871504419,1261.73413335435,369918.895272807,6551.88947269161,"[16][M]+","[M+H]+ 280.043",10,1352919.01128762,16495917.8879385,0.0820153822587132,644322333.22069,TRUE
"749",749,280.052287391929,279.996219380632,280.052952407035,182.106994934082,177.772994270325,204.528993835449,56,18,11,2,0,2050159.900965,7379284.63356534,1554407.43377924,6333533.83677567,3692103.691248,2705978.18309203,2586012.50202362,2137587.05283729,3361533.39135228,2992865.68732778,3825048.70277092,1657732.02515038,3304380.69761854,1900552.06030241,1023930.51622063,23994.7560616583,3718411.01809791,7098028.88798291,2778400.95946708,2630870.54765475,2483549.61466692,2449807.08919428,2419543.44055105,1238588.26132447,2245722.03000822,2258075.98316335,2135648.65630811,2112024.79226537,2112760.10031286,8136.13258581609,3727.3024137225,4570.07723948453,7375.2088769457,4466.66291918885,34346.4739018275,17591.5422327764,4124.5447883519,13075.5411944389,3464.14514857531,3751.4446255554,11675.1837052886,197830.128420812,5179.33984649585,5348.95428217372,5247.93266379833,5234.42364177142,7462.48352496326,6160.387910751,5051.06137251978,7172.81990492716,16300.7003216414,4095.2017434844,5636.53388267891,6590.43611116894,4581.14774333313,6017.90616241371,42267.3800951242,5109.90964296002,"","[M+H]+ 279.044",10,402525.344875739,2260453.77044695,0.17807280561909,82662127.4589911,TRUE
