Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.044;2301173;0.044;2101570;0.044;2169881;0.044;1935141;0.044;2363057;0.044;2385361;0.044;1913974;0.044;1978696;0.044;1870656;0.044;2022272;0.044;1954365;0.044;2124463;0.044;1965031;0.044;2014991;0.044;1995256;0.044;1926547;0.044;1873351
0.055;2333024;0.055;2128063;0.055;2179220;0.055;1908605;0.055;2321201;0.055;2340584;0.055;1931106;0.055;1938030;0.055;1875841;0.055;1993031;0.055;1974248;0.055;2171531;0.055;1960737;0.055;1993179;0.055;2007785;0.055;1929794;0.055;1818815
0.065;2327203;0.065;2094915;0.065;2150462;0.065;1951387;0.065;2413289;0.065;2362825;0.065;1960098;0.065;1916841;0.065;1837883;0.065;2011523;0.065;1932038;0.065;2180698;0.065;1958007;0.065;1994192;0.065;1977449;0.065;1940259;0.065;1930332
0.076;2294903;0.076;2110427;0.076;2181940;0.076;1929113;0.076;2413631;0.076;2287184;0.076;2004406;0.076;1911759;0.076;1849599;0.076;2018364;0.076;1951945;0.076;2167688;0.076;1866524;0.076;2020161;0.076;1996592;0.076;1882220;0.076;1894186
0.086;2299237;0.086;2133210;0.086;2121330;0.086;1882364;0.086;2443268;0.086;2403426;0.086;1965335;0.086;1983672;0.086;1838972;0.086;2012857;0.086;1946589;0.086;2131356;0.086;1943831;0.086;1997705;0.086;2031068;0.086;1873097;0.086;1907093
0.097;2353700;0.097;2106741;0.097;2160824;0.097;1920456;0.097;2390045;0.097;2338554;0.097;2046093;0.097;2000524;0.097;1808608;0.097;2032908;0.097;1927266;0.097;2168088;0.097;1921951;0.097;2034563;0.097;1976427;0.097;1944268;0.097;1873985
0.107;2352551;0.107;2155679;0.107;2131270;0.107;1917815;0.107;2384374;0.107;2378921;0.107;2051840;0.107;2013702;0.107;1836385;0.107;2031116;0.107;1917689;0.107;2154874;0.107;1908429;0.107;2046463;0.107;2007779;0.107;1885587;0.107;1849909
0.117;2352470;0.117;2129338;0.117;2132764;0.118;1963301;0.117;2351312;0.117;2419593;0.118;2054489;0.118;1971602;0.117;1885948;0.118;2084729;0.118;1938739;0.117;2157513;0.117;1939191;0.117;2071060;0.117;1981530;0.117;1913365;0.117;1860785
0.128;2303385;0.128;2093971;0.128;2239011;0.128;1947328;0.128;2352377;0.128;2349472;0.128;2021883;0.128;1935347;0.128;1891200;0.128;2080128;0.128;1948920;0.128;2178711;0.128;1915161;0.128;2078786;0.128;1953156;0.128;1948958;0.128;1886771
0.138;2316494;0.138;2109850;0.138;2178428;0.139;1932974;0.138;2320426;0.138;2378392;0.139;2067894;0.138;2022589;0.138;1841449;0.139;2070938;0.139;1967712;0.138;2127170;0.138;1907745;0.138;2037938;0.138;1987358;0.138;1939701;0.138;1895246
