"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170919_01401","IE_20170919_01601","IE_20170919_02301","IE_20170919_02401","IE_20170919_03001","IE_20170919_03101","IE_20170919_03301","IE_20170919_03501","IE_20170919_03601","IE_20170919_04001","IE_20170919_04201","IE_20170919_04401","IE_20170919_06401","IE_20170919_06501","IE_20170919_06601","IE_20170919_06701","IE_20170919_06801","IE_20170919_01301","IE_20170919_01901","IE_20170919_02501","IE_20170919_03201","IE_20170919_03801","IE_20170919_04501","IE_20170919_05101","IE_20170919_05701","IE_20170919_06301","IE_20170919_06901","IE_20170919_01701","IE_20170919_01801","IE_20170919_02001","IE_20170919_02601","IE_20170919_02701","IE_20170919_02801","IE_20170919_02901","IE_20170919_03401","IE_20170919_03901","IE_20170919_05301","IE_20170919_05401","IE_20170919_05801","IE_20170919_06101","IE_20170919_01501","IE_20170919_02101","IE_20170919_02201","IE_20170919_03701","IE_20170919_04101","IE_20170919_04301","IE_20170919_04601","IE_20170919_04701","IE_20170919_04801","IE_20170919_05001","IE_20170919_05201","IE_20170919_05501","IE_20170919_05601","IE_20170919_05901","IE_20170919_06001","IE_20170919_06201","isotopes","adduct","pcgroup","SD","MEAN","CV"
"1",1,73.0275985808705,73.0271955511745,73.0291404343423,126.583004684448,124.924993667603,127.123001937866,7,0,0,7,0,845.598905517433,1416.84614554424,994.838767270558,2169.00752340372,706.445110240486,1273.98973363247,1871.84075240757,2794.01593703963,749.659078814483,1317.36204578312,932.96202315751,945.263118302879,1090.8626029456,1597.96198841467,1252.60939387297,995.707184130057,1722.46831601874,6559.60999552289,7003.93263415104,7108.84357189,7212.45845675451,7686.49334087294,7858.813108419,7281.5870401145,7362.1228276931,7195.50587472246,6665.12922242616,19381.4891296245,6236.3690779403,19345.2157215048,21483.2297486633,16505.6499410336,9335.51005844301,13599.1963611339,6627.98937034607,3706.22186099096,30531.8232417759,12797.3381614499,35257.5909231786,7186.50947345537,455.015908232255,627.150263069421,780.870587485602,471.589697147526,928.211466752422,1322.0443645773,339.727622359555,656.182738474703,1180.1887110298,2359.00728347156,479.070635956305,1344.2554445006,684.713338352668,1162.75772749986,1267.06424226577,2126.20786863859,"","",1950,400.878907407964,7193.44960725666,0.0557283263656372
"2",2,78.9177079868358,78.9164148457545,78.9843389771393,121.716996173859,27.3129995441437,123.822000427246,76,16,10,12,15,35828.2029516233,26897.4625788797,17982.4366213921,28804.093911785,39331.7133187886,30225.6704808469,32787.5234046492,23919.0378920616,23308.7102714388,27123.4064402012,16597.7087645622,27197.1040427126,20529.2052417389,36117.3633778125,15513.4797149104,38954.7560590792,34453.2007012345,26447.0694540153,29401.6729877098,28382.6051206999,35358.1526378673,35274.3053769523,29449.0582170114,38827.25481688,35278.7968937574,28876.4929484868,35889.6858395539,25945.8772953856,18228.4661657518,79230.1375226463,84139.641006443,42382.7748071702,28610.2901478158,14282.8484194796,32109.4936806669,22839.7824376221,62473.1232673874,19963.8765618812,33817.7904541974,23529.3616421044,26367.9834427961,12847.2864760825,22689.2533198655,13119.8109247405,27331.8946590722,47873.2716913596,15360.2355340076,27140.6753178947,19007.0208860189,18609.6044942712,16293.2515243434,22159.1391186733,42463.8488251482,12988.806371197,50941.9499898388,15975.5170794316,"","",83,4221.78006843321,32318.5094292934,0.130630407867963
"3",3,79.9560535579264,79.9550394295233,79.9569307285669,523.772009658813,523.144013824463,533.843010559082,32,15,10,5,2,16946.2278022725,15631.9383954653,28066.4045424075,31416.1634111032,13843.1149191689,5364.27973946387,40796.2692809477,25956.9783022914,15397.9692932661,85296.0438549891,31865.0790030853,28033.2730809459,36868.1227852944,39529.3524044752,28795.9194888733,21958.8825102164,50325.7399900935,13820.4464986548,12323.9368373842,13216.5481859632,15398.686908821,12537.9952971637,12289.1613513976,16064.6110861003,17274.6340186488,16884.9583322448,13031.4858540175,1253.23799314834,4739.98938122663,11367.7226923965,13505.1342779926,2387.63128308224,4676.98331066966,3451.55850902471,14902.2317394242,1917.70504368672,3942.70476618782,3148.87907415163,10284.8477475132,20975.8267057261,9971.92353961679,5496.87003108588,3778.90230455063,4437.34294469655,3530.65985792213,6692.49092438651,3177.91442734003,4690.73598074913,4614.55350291458,9956.63665632605,5114.65596465468,4896.64081522748,6580.6276262328,8400.62803604454,8201.7146454379,6301.47554483414,"","",134,1941.21572401349,14284.2464370396,0.135899064229237
"4",4,79.9558101949908,79.9552073551815,80.0249685047756,425.643012924194,288.77,426.699993515015,25,12,10,1,0,445.631928937383,960.714160113595,23651.9038705184,42140.2897995454,27094.413112328,8892.01017776753,26829.3326206941,22176.5091918391,12926.9684149028,91965.7879852597,65846.691494057,962.877163866069,44320.2897056937,42381.8528995754,11259.6308119753,1203.20229212204,64215.6025564134,11693.6118223061,13092.9207468799,12101.8370055873,14815.2796498296,8889.28773730993,15134.6758763892,12578.9726666958,12742.5426163113,12936.6040890123,14356.8123879457,257.778015265707,959.665433666923,306.323658613372,428.767539880549,354.478708952665,555.83832805804,3185.69086989109,482.692118007084,262.391560872396,281.746749945451,272.56374290511,484.091162066752,9575.07823328488,816.802954697361,449.881722683553,304.031527236137,524.97301839292,521.899556798072,585.568195281085,292.733654816236,795.163216375782,529.283786575543,1035.01282831002,526.002817394974,466.996108738783,923.538470055765,516.506860744266,514.880256954639,1869.14146450961,"","",103,1797.70869868811,12834.2544598267,0.140071143541312
"5",5,80.9156170055648,80.9143740834784,80.9641793941118,121.71499382019,26.7810004043579,124.440997200012,74,17,10,13,15,38206.4686373448,23922.2012972889,30875.1165869176,27186.5227205493,42733.6052085558,29212.2901465361,30581.8941965145,27005.5805536171,26522.0670476716,28621.9136370457,30795.0192580547,27777.3828005721,22963.3404534463,37408.7068027204,44526.4878002794,43242.629106313,22796.5617315006,33762.2634926995,31065.3405834544,31711.5962226146,31950.596567889,21009.4811217976,28654.637797524,40914.1673190915,36840.1728189964,38514.7338266233,36084.8055064971,22820.7506751225,17976.7028356405,78567.5005171695,81643.1483898706,42427.2295807392,28882.8686166926,25300.3415154029,15048.1539677192,8295.51732901833,63427.0033041614,10230.5062646173,31944.9410963319,26229.77104966,24065.0046930374,14644.611765877,20274.2136566223,15507.1715235113,30916.8331818868,48739.1476686554,14054.0988738434,31038.4030662154,29614.9690906954,19107.8039171691,26189.659446071,26072.4361610902,44355.9522314946,18059.103783286,53718.7902772083,17517.0626612578,"","[M-H]- 81.9242",83,5647.2549910938,33050.7795257187,0.170866015026948
"6",6,88.0394033395963,88.0384398651431,88.040544999127,111.212001657486,66.1220026016235,113.33799987793,30,9,7,6,6,9791.78100373596,7442.63636297663,6892.72034588596,19007.7476716352,16467.3075264421,23093.8014512188,7450.47089608644,16507.0951408916,7461.07152630109,8221.4223049935,5569.12545002159,12918.4119642569,8426.75741802499,12078.0871731716,7490.45613346655,10053.5567636637,8115.03009931413,9750.34046803109,7511.38267348695,11025.5809155313,11562.9174455628,7856.90406626756,6899.74410106055,9701.17323814309,12911.8629044384,11421.4364614163,8479.05401289463,8204.58931996115,6168.84828910455,58324.0053225984,10877.4748288264,10036.9395246552,4797.38883428397,10597.1375409605,6871.30635083805,7787.94126240872,13375.7311120169,4381.04325646162,8971.43833199516,944.663003574358,4112.93518960476,8336.01642848653,3388.93078079117,1395.335464204,3380.31612585559,19777.0367864053,630.282118068585,7222.33202548567,17172.997547832,7868.2384157856,1604.52521460084,1533.77603340568,13134.4383302296,3094.80835564458,25669.7808363475,5901.91307509352,"","",1229,2000.758456704,9712.03962868327,0.206008061457556
"7",7,88.0391598870296,88.0385640832468,88.040498917497,520.670023803711,519.140023651123,546.15699508667,13,0,0,10,0,424.016307594255,305.202625982929,593.754653756817,503.226450411603,447.70061112009,1122.74662232772,694.456579992548,708.504927565809,474.973341885644,830.298156277062,391.59119035226,441.18802634972,600.017131838327,589.625760985694,402.45592679518,418.847082131775,513.080489282962,5039.77972471652,4701.22180669258,5039.45945680017,5150.86332941614,5115.61134504775,5155.67391592388,5844.35344164446,5673.2502943147,5545.14829365412,5930.0319498824,8898.74836418778,5149.17837762145,32176.538622048,41325.2410317638,10960.506839071,9341.06081770174,24011.8602592684,30809.8615174722,6511.30503809147,40709.2977585644,10480.07661471,16847.0776653764,26079.2000463635,597.752770094488,481.986841019243,1695.82185221853,1104.56618274634,706.330968348775,635.347089561634,738.117527997551,437.619762322865,853.830982424319,1695.66286128294,361.679645054974,740.434706144608,599.146705210209,479.168162479764,999.674197966233,1028.07462366369,"","",458,402.776304523238,5319.53935580927,0.0757163877513908
"9",9,92.0247663785905,92.0233976569598,92.0264199428004,137.685001945496,27.7899998760223,164.995006065369,60,17,10,11,16,53032.2129423171,177212.582831378,152100.081825852,149343.431972867,120638.026636381,413480.53407867,232314.881526461,428310.921577661,151801.4895946,85444.0820918263,176155.906905673,60875.8032951357,138370.784795377,255188.01254967,176184.569034765,74159.7324370136,84999.1610491664,177149.200127364,178477.121775225,182491.065283414,184635.066596646,184868.426996469,193213.442172063,188913.763697366,190982.543167472,192638.041363451,196018.869007404,16788.3349615044,22231.6894151295,24789.6895851345,29316.4466808178,26801.8329389356,7682.41590127826,70056.3488106643,11319.682118255,68992.6261191255,49161.5444725949,8972.55760516762,22588.6345285843,11351.7188000599,278231.986079289,276694.692388922,331962.701104586,311279.451870378,303372.237592402,370631.550639985,25941.1083591253,336111.186382174,304986.404087612,251964.020217515,175977.216272888,313547.079565769,271624.40338471,297456.096636926,341983.14764947,283784.376377126,"","",74,6423.60854104535,186938.754018687,0.0343621020412023
"11",11,93.0342456305789,93.0324359621445,93.0450694558272,242.909004592895,200.83999370575,246.796996536255,22,3,0,3,12,1164.40807605224,2572.75904647099,6867.80233151701,4884.49701878193,7273.29221676604,27807.1708954932,7645.71336404587,9205.82175833546,4747.58250290302,18187.0463596465,16611.3155952253,1489.5422194254,13595.9753213179,16000.6779419552,4578.65875428915,2620.93246915446,968.504854678293,13107.8011132367,11592.4972842733,11537.924467468,14624.7584420256,13671.5825304083,15541.6710798846,13465.317534646,12685.9982444358,14141.3283171687,14642.3671744326,1671.82270863602,5632.89110645064,3515.65605680909,24066.1011275603,3394.84365802775,4885.87448914192,2565.87458201465,4740.09843591723,5925.65266214941,7158.74704283662,3700.01886237413,21514.0539561711,55516.7854006735,22772.0415812298,16467.5942374286,9614.96705115374,15398.5478663881,24257.4759515841,24037.3689583725,7777.17219391601,24223.1622473448,27822.4536132085,21407.3278182053,16165.2043375869,22794.580551696,11846.7354747759,19930.5943664722,12960.1581851905,18101.3544916813,"","",1826,1311.70642651065,13501.124618798,0.0971553454653935
"12",12,94.0291182467785,94.027650826418,94.0299218817608,76.4484989738464,29.9830008411407,76.606000919342,16,2,0,1,13,331.00510581705,1505.54570835286,1423.42355914776,2114.96561941378,2223.68598540134,48731.6052140744,3647.64482394311,22418.1504540005,1533.89995396663,2721.10959131969,3563.73176056317,354.954685659584,8987.50888739961,7324.45411194442,1617.29897781624,641.881402117278,800.370569357183,9452.33793748651,8409.78939891087,8673.84853240281,9404.41250576545,9327.50130963201,9709.96169740334,9411.36100430042,9402.58993029781,9813.15768971162,9877.65099881512,346.699294822397,433.939390903649,367.161481409858,374.562049021721,392.682460110926,36888.0398677473,277.215837478638,459.810738276373,394.562624564225,420.358520466252,453.692743865501,469.619808537847,305.511628180684,11149.2931259153,10835.380272958,15983.9642940919,9087.37462022575,15774.1430990264,20768.5666718644,675.439650373106,6946.6137431495,4774.40026106743,34460.9794558835,6388.46738877217,11414.2481161836,8792.20891127356,23664.5590859454,13637.9208114692,14174.4515898791,"","",158,469.529365833972,9348.26110047259,0.0502263855050257
