"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170919_01401","IE_20170919_01601","IE_20170919_02301","IE_20170919_02401","IE_20170919_03001","IE_20170919_03101","IE_20170919_03301","IE_20170919_03501","IE_20170919_03601","IE_20170919_04001","IE_20170919_04201","IE_20170919_04401","IE_20170919_06401","IE_20170919_06501","IE_20170919_06601","IE_20170919_06701","IE_20170919_06801","IE_20170919_01301","IE_20170919_01901","IE_20170919_02501","IE_20170919_03201","IE_20170919_03801","IE_20170919_04501","IE_20170919_05101","IE_20170919_05701","IE_20170919_06301","IE_20170919_06901","IE_20170919_01701","IE_20170919_01801","IE_20170919_02001","IE_20170919_02601","IE_20170919_02701","IE_20170919_02801","IE_20170919_02901","IE_20170919_03401","IE_20170919_03901","IE_20170919_05301","IE_20170919_05401","IE_20170919_05801","IE_20170919_06101","IE_20170919_01501","IE_20170919_02101","IE_20170919_02201","IE_20170919_03701","IE_20170919_04101","IE_20170919_04301","IE_20170919_04601","IE_20170919_04701","IE_20170919_04801","IE_20170919_05001","IE_20170919_05201","IE_20170919_05501","IE_20170919_05601","IE_20170919_05901","IE_20170919_06001","IE_20170919_06201","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M-H]-"
"1869",1869,521.053728405059,521.052488740728,521.05441767064,532.605017471313,532.567024536133,534.461005096436,16,0,10,6,0,177.027786519112,224.664873559028,236.978956006866,270.944071694144,357.488189236926,196.541203201882,239.923751155181,211.987173244357,177.131990568978,232.479556002122,175.740537086635,350.368747913412,363.006167139326,152.650045537124,283.123556668737,247.542034861233,319.401162831911,69302.5524893403,78435.2123208446,69689.9511919703,74712.071342604,73985.1256661756,75593.1400944293,79213.4415620991,83292.2003003101,79136.5984576195,76496.6456486657,324.528382037367,304.837950033801,339253.000384552,401966.687302358,302.729535415769,156722.423588745,257.67713213406,415878.522491727,186.371604467077,267.790939892509,290.086972509112,358780.843335084,539098.347557753,135.061700073536,77.6163234822452,169.061268805526,132.56758150955,203.869026169181,123.482670192607,159.007876976393,110.440946596275,254.753534490864,246.28008529943,161.50002929545,135.671356661777,210.980780305341,144.428466796875,240.939052813919,96.8616681780134,"","[M-H]- 522.061",2,4347.05575955924,75985.6939074058,0.0572088709863786,2980310.30842164,TRUE
"180",180,163.03976424314,163.038383328475,163.088138075697,532.601027069092,497.84702041626,533.843010559082,19,0,10,6,0,2843.60115607679,1458.8307132937,671.009976451471,553.419378910214,920.382057660073,3227.40186064281,573.822961949185,1376.18198809549,721.487796423212,523.950600251555,573.801719114184,4313.88308249563,519.920152863488,751.957542747445,513.943009510636,814.77055891268,602.707057083771,28537.9875209768,29477.3414284037,32409.756062306,29285.8980267814,30721.3351415098,32980.6079375415,35285.8575804234,34027.0792888105,31447.4569687744,34812.7415940428,659.711019631475,766.100648500025,119173.5950172,134474.139429643,2457.27740940191,56633.4894803618,1234.63174353931,150050.720869182,466.772047493793,799.521347635985,1146.3895180665,120462.449446628,186499.811189622,747.727618616074,594.784275756218,982.478509597142,637.191577832111,825.701893283986,1538.0963732779,480.543756743272,738.745366309211,600.203253654142,628.136061871797,970.330451659181,587.562811062417,4137.72978158668,567.160383587703,9820.06551446422,706.522723396868,"","[M-H]- 164.045",2,2392.11864284298,31898.606154957,0.0749913219161534,1139334.72268166,TRUE
"501",501,236.076528552549,235.987924208263,236.079121463445,390.410998153686,331.840994949341,445.417996902466,46,17,10,12,0,41865.8718722733,46128.4196023573,24819.051920119,34848.3103293248,12394.3683183639,14589.7941333671,47243.8881352932,29810.8918094877,33064.1965816612,29648.3368372321,27121.9614141583,57992.189871639,27824.4314516149,41503.426772325,32477.8558493784,65962.305932849,39598.0930202568,19631.7657190713,13151.6161020175,18265.0306867389,19272.3033352653,20308.1123301187,22602.7101394587,19645.8964955756,22270.2096634987,18590.949552757,21871.2082852566,51467.2250569125,55904.695947709,48261.7993721226,30122.1322457492,60849.0954595698,29663.5335695744,162393.150854348,31839.8342674822,42056.1786147952,90681.0366686376,64099.6650040057,27400.826089556,13165.8009459972,2848.09513604535,2495.79570758492,2584.98975012451,2409.17231689306,2678.46447657095,2587.61193806172,2162.60581041686,2583.90810760204,2625.40453879582,3375.09519967251,2733.30213830387,5363.73064004355,3647.44783989837,2838.65572626044,2804.01820915402,3331.37903190378,"","[M-H]- 237.084",3,2713.81965284418,19560.9802309758,0.138736383391805,1557477.84682525,TRUE
"1130",1130,358.018903861988,357.999948640327,358.057608786494,386.619006652832,365.499008636475,445.705001373291,50,13,10,2,0,14856.3033438107,35974.7814517589,216804.577560586,189195.623746077,244517.580119657,2890.70158821944,154089.619766071,174408.654991881,31367.2471642768,237272.471984933,85225.446989961,1411.8273659574,24261.4865899086,117362.463850273,160452.47692116,2850.71450658143,148557.506617079,88149.8160145205,64095.9817029233,107744.388780668,103155.025262721,61251.546354811,68104.7498312895,108980.411043931,68762.6508445643,98790.9375150814,122528.089451379,1056.01612775647,1221.73526985218,8344.76698599889,2129.08955969128,15452.5090581179,1645.13020028619,1769.4298651224,5251.70721872269,954.70791719949,1287.75710978983,939.425389815514,1067.22027676747,1825.98902475834,1024.01067214707,628.709721126318,705.330429050413,653.468279878542,917.379567544142,845.750238374152,616.60646229006,765.967589351967,605.715202525627,939.248938645738,758.479412411305,701.201898536334,708.044036225303,787.071250630198,595.671941084855,899.436249773323,"","[M-H]- 359.027",4,22130.3106192065,89156.3596801889,0.24821909170125,2788160.65725355,TRUE
"2795",2795,839.138630058224,839.137066364037,839.139842507771,387.85200668335,378.977986221313,390.784000473022,23,10,10,0,0,1306.73747491674,3850.62998481666,64899.2249170683,61119.9755855523,38531.6295836982,359.679543751012,41107.7820603992,28643.4215270277,3620.23123521642,30547.3290588414,79127.9280737566,438.0885240652,75878.4174797125,68232.8672133303,45170.1592386607,431.917695193061,49220.2279665124,20981.7289211703,16609.697933374,23492.2628786427,17643.3450379045,17581.8508107989,25827.9074001576,19155.7791223421,17388.1132278778,14287.0457749441,12394.1598724914,264.875839595284,356.409221559763,499.239974682822,419.102237581334,367.719784620026,346.129918974475,330.142708533065,414.080385346897,297.506804734655,443.55144973317,443.832414563497,273.287112485074,381.029717415955,297.701795076069,258.383446192178,238.468089777753,215.798755598657,316.717578282114,339.123379692435,312.476428286415,265.111211704171,340.081159330904,296.201251983809,336.155200112966,425.042641837383,205.613384093836,223.234877387195,249.709012524025,342.315137470141,"","[M-H]- 840.145",4,4036.13539611632,18536.1890979703,0.217743538047865,787347.179061398,TRUE
"660",660,264.979624028977,264.915957744173,265.082309663813,385.980501899719,330.880995101929,422.78399230957,30,14,5,2,4,4269.83153832424,8477.30510936464,23446.4372717144,41937.9842816341,28921.8729632359,1361.63701858539,22222.8037999411,24105.4467410063,13000.2440053089,17175.0602055807,30495.9117051779,71218.9600637526,32635.2018052401,27488.6628970659,28493.409189462,24705.2092182499,35351.8503696361,23145.60090656,22927.5012024343,23163.9095706684,23519.2842336776,17922.1953875518,25575.0313162804,14086.2435761906,18518.3695886005,12503.6447152868,29050.5536840103,838.28230008871,1520.18698752474,1626.40273294091,1567.05501300414,8778.24676714675,1706.30949662998,1690.69909258882,18965.5130424304,1168.01850811358,2174.16488032788,1702.40880244956,1057.7102626476,1759.36464779824,1046.53811799147,947.075688539136,1267.79515016688,989.585357008502,1218.2492006851,1141.34387724004,9206.46648902795,1101.51660538015,1225.83091457995,907.03382464485,8571.35324328037,1056.33709087246,14370.2987602033,1105.29519177906,22607.2226138967,1241.26384063323,"","[M-H]- 265.987 [M-H]- 265.987",4,5171.42724523799,21041.2334181261,0.245775860305938,758277.730864161,TRUE
"3976",3976,1466.24976139869,1466.24686781861,1466.25387368585,386.630993041992,378.977986221313,388.511005325317,11,10,0,0,0,513.510511327261,510.715051218402,29393.202797084,24644.9676718895,96327.1712986826,600.930401542038,17028.9780379601,15140.4153849042,648.628943209632,13604.5507922329,64290.6054484332,683.610358371399,37815.542285057,35601.6764760777,22180.4265765201,433.730897705636,46716.282337755,5618.77009576921,5533.49109828143,5819.06510609914,5867.23196824268,5825.53346748515,6615.9923038955,6776.36389697343,6787.12353855371,6739.4047849976,6566.93831484688,141.909448242187,252.948285231582,424.727799396962,283.30470176385,499.016202637926,461.174446712841,178.105928642869,354.941519795252,382.071550246993,600.397742667197,610.638690840166,434.70837803393,258.978709643831,292.314221191406,194.02086742803,444.315967782351,244.816597600369,407.031658859335,379.478540962945,259.572644140432,319.137802124023,384.633865091018,226.455940246582,334.906518868554,407.788719317239,388.653777601818,305.655619751895,209.47844094866,261.734142940491,"","[M-H]- 1467.26",4,521.903168660649,6214.99145751447,0.0839748810965173,478227.778573826,TRUE
"3977",3977,1466.75051676118,1466.74762470938,1466.75333508726,386.630993041992,378.977986221313,391.033991241455,13,11,0,0,0,378.759771768863,446.13364525931,30520.5218100801,17225.7491810527,86274.9140622607,400.940329922014,12091.8777749494,11565.6449816376,404.067996775624,9430.85723032159,41072.3656107848,365.476354088169,33279.8501418205,31549.5037724109,22169.581930477,442.252178296404,44412.8216602951,4922.85352018795,4123.46682350481,4692.36168910105,5239.85934348644,4818.31436889193,5780.93163010398,5247.75065951369,5756.12499770043,5710.63979906531,5802.15471083771,364.109764519281,422.70262766288,300.379452175564,474.161126726773,630.31501103919,197.85363173415,351.645600967937,379.014886689093,279.595563367009,328.346297319565,355.394183900621,359.875048370693,438.580836574293,259.672846139663,266.092220804869,240.03366973425,360.892107334152,362.003705982483,275.03176175631,251.291493786266,350.753279041188,401.765314674936,444.534690211026,353.604477651417,424.935858470077,336.032012546435,492.421377492204,437.473375017849,845.059257235844,"","[M-H]- 1467.76",4,568.838091509104,5209.44575423933,0.109193591476828,405109.34745352,TRUE
"3528",3528,1257.71520518444,1257.7121201707,1257.71775711242,386.639986038208,379.70799041748,391.033991241455,15,11,0,0,0,222.677969417535,383.586048746947,26676.9801051468,25218.1397208245,75193.9805136111,199.121616371849,14435.3657084238,12899.1164112194,526.052613347148,6985.5989074409,40811.6839938238,290.02081411425,30220.0195995026,27091.7523865565,23844.9482749349,274.283235774562,40836.8994929343,5245.1124123749,5485.33632663931,6051.34382867612,6240.9659449224,6146.5943860574,5937.04564209974,6234.12482685702,6499.33995395612,6437.175969594,6133.7129483223,152.096078055246,238.77467826878,247.151981908052,311.078068935002,157.070965722576,119.650115966797,262.290661993954,212.666545147123,243.276694305072,211.362358940972,141.434027777778,186.889482136646,312.495003277605,345.740066661753,326.192767069174,600.226637824089,686.498031612486,374.050263001816,327.301041731068,399.90168493089,218.873002308288,436.044891348973,898.045816943049,294.341124757372,591.996780565408,338.077990732586,463.578734643614,586.463881180971,1995.42263321951,"","[M-H]- 1258.73",4,396.816914411429,6041.07522394993,0.0656864713152789,398199.971662657,TRUE
"1198",1198,375.130066728523,375.128396893734,375.2075064508,332.38650062561,330.779985809326,428.401997528076,66,17,10,9,16,355708.45972091,441730.044826632,280404.886791017,411916.932239954,173689.694949804,651534.722084632,415522.375021279,733189.447429268,421831.844562809,138692.922461981,188085.974855704,323689.426030308,324429.623674829,739833.740366521,442917.577145472,452582.179459606,123932.467396878,309797.08925315,332981.19183585,325008.223920284,344248.303258149,343644.699911121,346392.829588205,363175.205976281,355455.913766068,332089.245634252,327620.258047376,116436.401877785,7183.84465346551,446314.60986651,463034.55828382,202755.038412621,28549.1057687034,8304.47627017088,51158.9722359825,7244.22924558314,73605.8666370181,9295.17416811269,14805.5327467763,4050.51825412114,371452.60132011,275515.602823289,331654.651722395,318743.449021087,246742.650029312,574823.472928964,239968.47858309,388576.690666352,556498.767880929,242252.553641113,326831.166924361,274953.348103371,526871.28589352,315269.193724552,709880.404806789,140202.084270033,"","[M-H]- 376.137",28,15676.8807225984,338041.296119074,0.0463756378364977,17273080.0109683,TRUE
