"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170918_02701","IE_20170918_02801","IE_20170918_02901","IE_20170918_03901","IE_20170918_04201","IE_20170918_04501","IE_20170918_05001","IE_20170918_05201","IE_20170918_05401","IE_20170918_05501","IE_20170918_05601","IE_20170918_06101","IE_20170918_06401","IE_20170918_06501","IE_20170918_06601","IE_20170918_07201","IE_20170918_07401","IE_20170918_02001","IE_20170918_02601","IE_20170918_03201","IE_20170918_03801","IE_20170918_04401","IE_20170918_05101","IE_20170918_05701","IE_20170918_06301","IE_20170918_07001","IE_20170918_07601","IE_20170918_02101","IE_20170918_02201","IE_20170918_02501","IE_20170918_03501","IE_20170918_03701","IE_20170918_04001","IE_20170918_04801","IE_20170918_05901","IE_20170918_06201","IE_20170918_06701","IE_20170918_06901","IE_20170918_07301","IE_20170918_07501","IE_20170918_02301","IE_20170918_03001","IE_20170918_03101","IE_20170918_03301","IE_20170918_03401","IE_20170918_03601","IE_20170918_04101","IE_20170918_04301","IE_20170918_04601","IE_20170918_04701","IE_20170918_04901","IE_20170918_05301","IE_20170918_05801","IE_20170918_06001","IE_20170918_06801","IE_20170918_07101","isotopes","adduct","pcgroup","SD","MEAN","CV"
"1",1,58.0651543461863,58.0646357455553,58.0653529360164,238.596997833252,120.527996711731,251.283998680115,39,0,10,9,16,1994.43483227986,3864.39773753711,1777.56931852301,2090.97862990977,2610.30296479228,1953.18630839558,3274.71217353457,1342.79353441729,2156.7519323018,2599.8662877122,2162.18987583041,3476.9884320304,2202.90881786495,7279.27160491236,3070.10849401887,3373.38128403477,1583.82899519921,89297.4898969586,80033.4480410495,75230.0535325566,74471.7006196494,76711.8932800493,52289.4032941642,53566.3215087519,68567.6641526461,62123.9522038177,63922.0813420086,17523.994160872,2444.75977571764,26906.3492623696,34955.9831467574,25322.255316563,57498.2838018334,16913.1133258626,4908.46457339422,34791.6694101063,22762.6330477935,23117.2005816596,4354.91949268182,4262.58293931683,150953.994032163,109747.085646868,144754.32183348,202487.910328894,203831.706545852,35880.5704502477,169097.391047446,148053.23487248,193663.6014113,116564.064764077,80726.6914016028,157993.530185423,164396.241485473,145467.317191899,121768.281383566,143117.62483546,"","",991,11779.3828105391,69621.4007871652,0.169191982312293
"2",2,58.0650800406323,58.0644346691939,58.065553014588,416.814987792969,359.259002456665,423.390987548828,21,4,7,5,3,49447.2882038275,31804.5158625156,29685.28405663,38235.8652179635,43362.8509089869,48995.3420793414,22050.1894539939,34164.924613865,14383.9789214271,29199.6579866221,31911.5588832008,33112.4946993813,52728.14047122,25579.1627618005,31265.9456020391,40052.9536729363,47523.8218113184,30136.1200442375,36750.098796423,35732.5406517429,34813.7235805392,34488.5716500651,31495.1286276527,31429.8870390072,19507.6768606276,13452.296612918,23349.6809059381,40671.6759729385,37686.4537586184,33583.4356034081,28137.6058242789,45217.1483626007,29445.9006564905,37275.1163072661,39221.3494138472,33752.2402177691,35052.1888272552,68162.1273273029,19064.1127928206,16865.535674176,10063.0372939073,12687.5344939549,12490.7558663246,13651.012736991,11746.5164837614,6217.37504428625,10038.2034034841,11369.1877719732,6738.30871836282,18400.1784023029,21372.7300902585,10785.5468516235,13285.7180540184,12976.4953168579,8238.15684603602,10551.6600153245,"","",486,7791.47352588964,29115.5724769151,0.267605025869482
"3",3,58.0651262770759,58.0647716263491,58.0652988951126,547.821495742798,545.006009674072,593.268999328613,22,4,5,8,5,21845.0101152621,23122.270687156,28702.8966812279,27875.4074706894,27040.9277885109,32624.1056725879,24105.7884445985,10852.6346756255,17417.0928219066,22208.4862694144,25073.2895103948,8698.5207070907,26711.0426013708,11432.4020029977,24398.5673313439,28910.0146818161,24446.1797591494,15439.7171045095,25128.4966691264,27118.5057805685,19723.0764371459,20124.2860814823,10719.0538863931,14560.9274160964,22693.4692057279,22723.8393658766,23166.6537589087,33077.0755726142,31045.048012292,45192.532379413,14587.4775997589,36978.9341482334,22591.058145276,20808.9719452603,35435.9298887942,29237.9802429199,30875.3494233359,28337.9780840523,27835.5330301523,24019.8675924803,3809.27443108335,3357.31753704622,13978.0090100633,16165.9533214383,3527.03994454758,5393.4272178039,3680.8739161253,19701.0078856302,4821.94448206822,19716.2375889998,5141.03068327904,3357.37890356121,20476.03126617,4125.49775086641,3161.97858058487,3309.44118930493,"","",425,5143.37452393517,20139.8025705835,0.255383562272237
"5",5,60.0810174788308,60.0554224525763,60.0813169108384,453.141001358032,403.164999084473,499.822025299072,85,16,10,13,5,720171.035398075,1146365.07152973,660178.932364636,123754.165455283,659895.10701634,1089726.03305549,336070.233829245,806697.870549644,1116593.36077779,1748727.3635939,1562985.69644519,1197660.22692633,1605830.41704903,512393.043602101,474618.549287436,1496028.29759581,387799.862817675,1819429.72470067,1743798.22114906,1700562.59440129,1701453.34995314,1663813.94620322,1020044.19847085,1608399.48988851,925369.449852991,1547930.6412551,1515923.23899682,1018690.64940808,827093.004807674,1063657.52001166,543051.118149441,806782.339180261,799954.603178501,2697005.23454654,2872019.24017688,1103726.15152106,2685024.91931994,806796.369920168,1514495.34679603,720594.1904437,16732.0339234779,15258.5849296097,14877.6669165697,57107.3827359345,34326.7061382412,31407.0786154997,45291.6828457056,63227.6478487578,70725.0649007261,50182.20660463,68347.0815598732,34675.2310208562,46276.9527010748,38995.657468329,14795.6629128511,38526.8126365298,"","",261,305120.851760367,1524672.48548717,0.200122226028677
"6",6,60.080767185164,60.0555436219827,60.0810829619506,573.450975952148,527.369972229004,666.642999267578,73,14,10,13,10,167903.912327318,110470.457391185,15774.1688370705,223477.873128019,26391.1761771611,70191.6378246504,75642.5378873177,115669.49165556,69223.3949860116,98302.6039243187,88019.0485050123,36933.610828797,183578.833772223,102564.846897829,119227.453107255,168349.051424297,139480.131885251,98794.1239974382,95467.3366914065,87808.6724955007,88862.5421039178,81535.7958506118,82827.7287742181,81232.5691022801,74434.4818802313,71450.0319970331,70514.3910962914,93711.7950047539,71282.007536944,96777.4653788209,71536.208776549,67427.481594464,95891.1681405036,105951.034998265,103413.246773951,124048.419323412,50338.6731712613,42466.1801047996,52718.5492678952,69147.0850810164,9565.8140719682,29463.1950390525,4592.02930337191,61930.9768932872,23155.0755506195,58427.9431043406,5049.87237453461,44820.2565870372,5627.56053587397,22141.4105679525,27835.4818320709,2588.36769553806,6677.33297015727,27579.1579126101,2596.81546328057,4506.68182983398,"","",2026,9600.24371788167,83292.7673988929,0.115259031698463
"8",8,60.0808367560947,60.0804056696333,60.0813164364198,200.796500339508,148.368996696472,219.926002159119,48,14,10,8,5,104376.307160317,238240.013852402,354987.478409987,758253.177937098,335042.142883902,627456.951675799,302266.343679005,7066.43216317012,319418.56673377,313785.194932149,207443.332571677,122185.328375101,964067.325284164,769181.4749008,682573.787825201,784378.591937716,84252.2310742817,116278.057768089,103536.820507529,110760.16782051,137147.290604793,111242.360572812,107473.64037105,108140.512762923,107380.016393438,111754.011407795,87721.1550289315,34912.5258163262,3093.17666750867,1541.95644870142,27928.2876587984,1341.69759080814,33184.3430461238,24822.4822539153,22197.4520578282,1705.77323016192,12123.4551409387,20472.6978451956,2367.44485458291,18581.9200827054,34486.8254544958,28246.1617650659,27403.4191128592,59742.5841291249,38581.0865404472,13764.9922553524,17433.3841835106,55380.7108167836,42591.5967774913,26729.5026976401,20434.1395727737,32449.0088452654,29419.4438377531,53452.5688711228,25727.9552459614,48859.4404735033,"","",447,12184.7160390466,110143.403323787,0.110625926486286
"9",9,60.0807426535916,60.0804033564993,60.0810237431845,338.323997001648,337.067011489868,378.686996078491,22,3,8,9,2,16519.8148997937,7322.15300905704,19175.8153413844,308968.912694542,19714.7674620003,10849.1647442132,11329.8801488344,9272.79824686283,7659.35255426365,14533.8355021775,9657.03865297314,9296.23740827399,15145.3912747162,8809.79768779661,13954.8613876104,13266.8931034515,127792.456035325,13513.2116413442,20495.5013435162,18073.0246868331,15484.77297612,16893.1047980965,15313.3087743522,18579.847817669,12024.6842516365,13180.3679978511,12335.6333697913,16711.4956267453,13930.9823047786,27140.7696786087,13714.5438915025,21793.0433672682,20038.5542505639,20925.8763708407,39161.0287435715,15921.1629978071,23887.0047823252,18245.431157317,14030.9324532502,20748.9932532816,27040.1876020973,14310.5130176772,5773.40656658672,6568.0522239469,5445.09558784436,10721.00952959,4636.69463926904,11357.7059507997,6979.43529887032,6665.09971428663,8241.09371639256,6335.81119443662,6670.9724380837,7703.06789892316,27533.9580298385,5844.68179891916,"","",28,2874.71754007159,15589.345765721,0.184402705750021
"10",10,61.0283150447183,61.0278967088185,61.0289915689209,532.153007354736,530.278977203369,533.044007263184,13,6,6,0,0,1534.8206472959,19477.9311757302,15540.3748308054,2269.59305325896,11776.2595880275,433.568620022386,13891.049505317,705.154398326413,10619.1195017497,11364.4603023864,16299.4269633293,17297.8142062293,2850.61844205774,12377.3656506009,15130.850235126,17376.1202494323,927.626779209484,8672.58769150358,10798.1246242896,6921.32280193968,8605.59160125442,6204.38512315353,9514.75257385522,9420.32617068912,9395.65875079415,8371.04997896031,8909.02747166467,603.199113081209,1809.0992501287,597.173699512496,433.232654951513,634.284203711897,2184.47040343078,655.940903166309,574.354615439764,1960.03366234961,450.936190943958,465.453285230945,223.824975492122,297.105199476911,1877.33568794117,795.347552619874,1499.02859907225,1077.93513622228,722.609159570187,288.134373834182,1320.34962773323,1556.10236614943,799.485365002017,1460.88267566409,1830.46101432294,687.405569919518,1636.05931774899,894.753595271813,564.821170041105,915.065630453107,"","",213,1317.34612735713,8681.28267881043,0.151745562965316
"11",11,62.0601073196111,62.0597611564559,62.0604142994419,425.027993850708,400.171999206543,426.113009185791,27,2,10,12,2,305.769899595785,169.716621964859,257.873055069658,350.385254727677,191.702230810316,274.244110211193,104.63498659732,355.892111638095,234.863740959554,166.888314611116,9833.24416336914,173.019233047596,287.14331698235,168.861994599923,167.876131885403,209.41655204515,21008.6124342866,22351.0152961932,25389.6053742298,25063.0472958301,24183.6781235649,21069.5207203701,23509.839380429,15282.6989242488,20246.8463383672,21326.8493153496,15826.5519873658,149281.84896408,79148.1012586062,246148.113510426,76722.9590901848,510506.633056995,130851.466439199,200059.56783383,158805.753702446,162218.715789694,518256.653141145,40916.3935430842,67597.2835511829,6424.65008261353,1058.74688473102,1156.99527614077,489.244943324138,500.782952410615,654.808010849672,554.421564275399,322.950352706015,488.346206113696,25898.0884991394,567.648127671937,638.291740744142,10119.3926948681,561.403234558582,356.650291357096,566.613080558869,542.707266603752,"","",1763,3533.37069523206,21424.9652755948,0.164918386087511
"12",12,68.0498563530554,68.0493850708008,68.0502701005977,129.64600025177,126.279003105164,132.03200630188,44,17,10,12,4,154734.120470598,85445.4017544062,142547.201084277,234373.875419264,121095.968765666,166727.165068776,55772.6083465517,194327.613377682,46237.7133583929,111746.781425612,133111.825175678,91410.5118843951,108814.16326082,66262.5605171326,128041.706429016,143293.559842624,122403.259645201,113744.720752249,109623.110254995,93481.5996399051,90939.2931480311,97946.0547111556,87912.2470168534,84105.9601630838,77832.7813985787,86186.380053414,81242.8099299222,158211.170462701,120700.392740482,47378.8047960214,13067.8281495348,133178.528147992,190920.852050664,275725.311712353,89990.6845092382,182169.077296945,83485.524083787,37859.7488760302,44333.1632587333,7635.6095271515,2671.11084298405,4843.37383480072,9621.95113924937,23885.4802574962,19588.6698104069,4362.35679658256,13726.4395693394,15242.1675742662,8194.90032148361,3305.85779220001,3888.41208525095,11738.5849926302,4942.35254371964,19020.8104473963,22566.4533246479,16599.6421696432,"","[M+H-NH3-NH3-C3H4]+ 141.118",120,11787.1148556057,92301.4957068188,0.12770231690552
