"","Var1","Var2","value","p_vals"
"2","OTU196900135","OTU1969004",0.160112494299011,0.918
"3","OTU196900136","OTU1969004",0.508725674387315,0.068
"4","OTU196900137","OTU1969004",0.605289106106858,0.008
"5","OTU196900138","OTU1969004",0.370506500549505,0.222
"6","OTU196900139","OTU1969004",0.370506500549505,0.247
"7","OTU196900140","OTU1969004",0.689391746743088,0.015
"8","OTU196900141","OTU1969004",0.370506500549505,0.152
"9","OTU196900142","OTU1969004",0.370506500549505,0.199
"10","OTU196900143","OTU1969004",0.160112494299011,0.922
"11","OTU196900144","OTU1969004",0.151835501362341,0.915
"12","OTU196900145","OTU1969004",0.160112494299011,0.924
"13","OTU196900146","OTU1969004",0.151835501362341,0.918
"14","OTU196900148","OTU1969004",0.0753959373497118,1
"15","OTU196900149","OTU1969004",0.139438576795409,0.867
"16","OTU196900150","OTU1969004",0.160112494299011,0.929
"17","OTU196900151","OTU1969004",0.370506500549505,0.222
"18","OTU196900152","OTU1969004",0.113400864181103,0.901
"19","OTU196900153","OTU1969004",0.370506500549505,0.144
"20","OTU196900154","OTU1969004",0.508725674387315,0.064
"21","OTU196900155","OTU1969004",0.689391746743088,0.011
"22","OTU196900156","OTU1969004",0.151835501362341,0.941
"23","OTU196900157","OTU1969004",0.508725674387315,0.078
"24","OTU196900158","OTU1969004",0.689391746743088,0.017
"25","OTU196900159","OTU1969004",0.689391746743088,0.02
"26","OTU196900160","OTU1969004",0.256981189242354,0.46
"27","OTU196900161","OTU1969004",0.151835501362341,0.929
"28","OTU196900162","OTU1969004",0.508725674387315,0.069
"29","OTU196900163","OTU1969004",0.139438576795409,0.833
"30","OTU196900164","OTU1969004",0.160112494299011,0.913
"31","OTU196900166","OTU1969004",0.0793039725984684,0.98
"32","OTU196900168","OTU1969004",0.508725674387315,0.072
"33","OTU196900171","OTU1969004",0.160112494299011,0.923
"34","OTU196900172","OTU1969004",0.370506500549505,0.231
"35","OTU196900175","OTU1969004",0.508725674387315,0.055
"36","OTU196900176","OTU1969004",0.370506500549505,0.215
"37","OTU196900178","OTU1969004",0.370506500549505,0.223
