"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171003_01601","IE_20171003_01801","IE_20171003_02301","IE_20171003_02501","IE_20171003_02801","IE_20171003_03401","IE_20171003_03601","IE_20171003_04001","IE_20171003_04101","IE_20171003_04801","IE_20171003_04901","IE_20171003_05101","IE_20171003_05301","IE_20171003_05601","IE_20171003_06201","IE_20171003_06301","IE_20171003_06801","IE_20171003_06901","IE_20171003_01301","IE_20171003_02001","IE_20171003_02601","IE_20171003_03201","IE_20171003_03801","IE_20171003_04401","IE_20171003_05001","IE_20171003_05701","IE_20171003_06401","IE_20171003_07001","IE_20171003_01701","IE_20171003_02201","IE_20171003_02401","IE_20171003_03101","IE_20171003_03301","IE_20171003_04301","IE_20171003_04601","IE_20171003_04701","IE_20171003_05401","IE_20171003_05901","IE_20171003_06101","IE_20171003_06501","IE_20171003_06601","IE_20171003_01401","IE_20171003_01501","IE_20171003_01901","IE_20171003_02101","IE_20171003_02701","IE_20171003_02901","IE_20171003_03001","IE_20171003_03501","IE_20171003_03901","IE_20171003_04201","IE_20171003_04501","IE_20171003_05201","IE_20171003_05501","IE_20171003_05801","IE_20171003_06001","IE_20171003_06701","isotopes","adduct","pcgroup","SD","MEAN","CV"
"1",1,80.9648304699676,80.9635481915086,80.9651970022585,51.0364989566803,43.931000995636,65.0830019378662,12,0,4,8,0,972.954468096793,628.656007711534,1052.91410358169,807.06933623141,670.834528032225,894.565442702054,851.204334040813,902.126551719499,686.857440009445,846.33283696929,835.278439471194,844.925418625519,712.625965962652,781.631919559524,696.941781909904,1162.85262361538,592.185138478002,637.549878196844,12676.3688969471,10579.5239035506,14634.6242936853,15611.9354564712,13217.8312664908,14070.9146320213,18082.8262820243,10616.6099208448,73.8717714037214,187.896884918213,1572.42752025844,3248.93633924654,32165.9146844898,22997.9887141704,35087.5393655151,34427.0242396445,1893.99447236707,76676.5520498569,56187.8689816537,67991.0881272898,1014.48418457496,53393.407794913,1050.92139182365,703.919274498825,1026.80687183625,1638.33584194347,850.487247057808,866.658519155238,584.649425106023,802.642016702479,504.319234809552,666.329043078857,977.435533642348,737.206484198881,673.886849182751,750.39032787289,671.590445548618,859.232464213229,1269.84608825707,"","",1390,2518.48143918819,13686.3293315044,0.184014382394768
"5",5,93.0341788074244,93.0332597843646,93.0346205176986,84.7350010681152,37.7929991149902,85.3629970550537,25,1,5,2,14,3062.97236590798,1923.72157609463,4101.12995984764,5738.81174348155,1346.19632715359,2900.45036650555,914.641750998691,17636.2719688076,5429.73192975085,522.565293874592,3942.27199773615,9293.01161367772,4291.40261790389,1146.37536498159,8710.02708058166,6805.43539899701,4270.53447487904,2219.77992056496,10714.3129758372,11988.8753341061,12126.5311319319,13259.7495317445,12561.9555680644,11711.8094998319,13457.5058637125,10417.4190988593,122.270757511142,145.514747575158,1604.15947489285,2176.62488402923,1102.58043476753,1076.31670437926,794.312175006107,1967.55763953688,749.923416372777,27664.6666603719,38905.9528315584,405.848516335711,834.548087488343,2465.82451624132,921.69949230871,18907.471552919,33303.1232840255,43214.7541556954,37087.1629648283,37954.6518717318,14170.702791417,15323.3706836436,16813.8581634779,24043.8344962701,13464.8633654745,36696.855958252,21940.6383267464,29568.4147570554,21048.5361438671,21267.0844102891,15838.0965021998,"","",707,1087.37806572534,12029.769875511,0.0903905957452206
"7",7,95.9757192607486,95.9745589990735,95.97606385549,51.4799998474121,38.9929991149902,62.3510026931763,21,0,8,9,0,1121.76499056089,1104.92745722517,1404.27225909257,1905.65690741017,1301.94162008489,980.769331430684,1840.46417421904,954.647037778199,722.49184222436,885.745895598173,837.497766556051,1389.35647618302,1111.79387650584,870.102283866916,1550.15846801489,1510.28661895815,748.461980208535,967.806666782009,285064.632410582,279317.157517375,252208.844333015,254200.962098606,248663.943208113,255521.614233256,260674.6916094,179495.902428098,611.602551797849,647.576865287164,5184.34772370268,13271.8649508673,545945.897790998,703012.511549275,90812.3078122404,72132.9592484952,18181.4968710984,1365624.88426461,817508.875434643,1128175.79500672,4002.33724471421,807628.192374134,6231.46151605489,553.323484912606,1024.66113270934,535.697652373671,729.616107096663,438.304959817307,835.195826399414,1688.2485126201,896.531581204597,904.418007721297,998.919741826691,720.587336418976,712.813393829349,1630.39480032452,1063.36614951191,816.206613092311,1099.95002844266,"","[M-H-C6H12]- 181.068",241,32071.1698540098,251893.468479806,0.127320370978896
"8",8,96.9600716989237,96.9229694390775,96.9605789304699,52.538001537323,22.853000164032,144.105992889404,155,17,8,13,16,300068.420511782,2846541.60903294,3201097.26077369,3783372.02570712,944308.562027981,3294651.16041535,4137296.38411926,4448243.15522346,1398600.18883093,243746.600252057,4388089.95763099,3332365.93361838,1391747.11562326,2909102.05957005,3307867.33522619,750916.226394176,232265.120951079,2973179.78523495,541807.902063552,574319.129916311,532347.296037271,514502.089091158,531716.395046559,590845.254934152,718250.445280597,514321.682635877,2677.8030019001,3093.35635900322,3515003.0971314,757985.63915424,669284.18767759,659462.672412082,2968563.35941524,464932.162778585,1021680.60197363,450576.033891892,309959.966469653,400052.869936198,2990773.68445105,133271.400585229,836803.288613353,567028.339190483,4169186.67255615,5112793.52002543,3531451.62688787,566008.781264541,1094148.78209004,1624926.35432047,844191.230549967,4802147.94011986,3884193.56275123,4055334.89908462,4291970.20337846,3831754.87235348,1842010.56951196,681006.478712587,425298.08942393,"","",216,67686.5439695885,564763.774375685,0.119849301673806
"9",9,96.9598970268451,96.958969271841,96.9601471956735,184.419001274109,157.407996940613,202.151004447937,34,10,7,0,0,159715.609454121,173946.077422911,118478.075257536,148353.621539557,123200.653763395,132717.403480808,121896.460459639,63231.1825522557,125537.653421802,116794.092625159,48009.6230760254,130063.717680637,149869.203210859,100338.700464303,117972.158487576,92890.7171892769,93319.7630218845,138958.710358821,128135.200553946,138253.583129402,120240.519681468,115670.194685801,105144.255119904,104924.096684839,93849.313177228,72990.3511877656,1531.32549806032,1827.70268099906,48934.8537868112,46396.5649883691,42775.8099410683,22604.718174702,42432.2398034669,33442.907627115,27786.0269178096,34294.1669042241,20539.1106921248,16207.0555523923,31752.9069675319,13174.0719523025,25982.7043973026,101446.935268208,118945.00784719,94611.4739679694,100702.760548182,73604.8734488748,82378.2543371916,91140.7463881373,84906.403404776,93180.4286734777,69097.9002067692,87784.9837052717,66939.0605027816,61171.7614283077,75713.5754639469,72515.7638681419,47181.4116596124,"","",1532,20507.814359225,109900.939277544,0.186602721451129
"10",10,99.9253024879022,99.923756664667,99.9256452503032,996.745504608154,996.570008544922,997.372055053711,40,12,6,8,14,42773.1213815399,44512.6535058171,40769.1532524154,41923.6148151795,43954.5201400094,40756.6763341427,42506.891581462,43297.0694221705,38446.5017062426,36770.6602717902,42357.3402500153,39194.9179174235,42715.9575899564,32471.7927605235,30211.7044406136,28300.5507088927,35836.3158464134,33510.3790754985,41008.2868174091,38630.9379429929,44453.9555688708,40686.1353023823,40635.7992227487,40631.9138988387,38774.2551682983,33847.6505836628,37022.007439906,32100.8092767199,36716.3301735033,38720.4622428353,39422.9818126966,38626.0176073015,38759.6648537274,41046.9606613075,35263.1401813924,37592.1513123421,21287.7192851007,29707.5081528588,30291.424251467,31990.547977914,30859.4628614394,40368.6306285392,36964.0288135173,40612.1118779257,35585.0097148232,39297.990016276,37336.0515637643,35105.4065075381,33148.8263668725,32603.7206319516,39268.2144791353,32419.7877004556,36230.0736730099,28039.0558082475,29896.4803373956,26680.3635006174,30675.2770534437,"","[M-H-C2H2]- 126.945 [M-H-H2O-CO2]- 162.924",439,3003.22250082331,39833.6168131505,0.0753941705798565
"11",11,100.932950733999,100.93153071551,100.933517028454,893.48300239563,835.372979125977,951.898991851807,158,8,6,5,10,79199.0869418058,49841.4691343531,17349.7809096426,73539.1821840143,83126.5851627697,73153.930685401,71747.481300652,76437.3235717826,83443.6981560843,83832.5452125549,75094.3346147537,45837.9705317251,77374.3900043666,336848.547916845,49326.6281973347,55388.7599180639,69403.3080737591,70366.2393990159,50132.6688827001,76990.466256788,69049.359718591,65492.8137316423,46054.8024443537,69690.1656183916,63176.5662520006,45580.452466704,71344.9494403142,176784.337823087,80810.3197408517,72921.1017661095,84381.3200866646,73598.5531942411,77659.7893144217,51540.1719201695,69870.8866443634,11827.2479832172,38492.0150664874,131347.182573123,56333.8271637758,74751.1890130916,61596.8774529345,64218.5391280241,59589.3043773969,69379.6812047031,50186.2216613293,72700.8927762508,53572.3060299018,58693.3190641244,96350.7705236383,98541.5044043133,83170.4719809156,30486.1832204461,57075.784221869,49790.3227377359,47766.5648455024,41860.9565619293,48868.4835208766,"","[M-H-C2H2O2]- 159.941",3,11950.6688891115,60770.9119213964,0.196651136395139
"13",13,102.948260462081,102.946869234771,102.949211120605,1005.54450164795,1003.6539730835,1015.98602844238,56,18,7,12,16,141216.681487893,156383.167115374,138228.937054574,138393.100525448,151997.109143995,115053.621115955,133314.456168246,145097.266815584,139469.253701937,148314.009410158,142844.829169571,140235.410390081,137430.235308297,113968.434012966,117926.549325377,114406.867569201,121602.886794188,119793.163407485,136485.631272506,141387.90520841,142343.439488899,141109.407178922,144979.731600083,141009.147101641,138337.10883019,114750.890315109,130227.291482851,130543.381012427,117398.645082018,139454.142215868,143538.859477524,141981.589731039,141085.526635422,140100.676326737,131758.091947443,143392.353099091,86303.4721142731,117714.991036546,107535.187547966,120906.850808574,118563.899149792,127450.822785371,130133.26984432,138539.189389168,138911.573313195,139712.690879978,136832.641845639,108901.322437907,103821.919004729,143087.596232513,143156.613032129,133422.317566618,141875.211097314,110551.773588225,119981.991764217,100142.755006356,98764.0472978977,"","",371,9555.06141492531,137550.40762447,0.0694658894869423
"15",15,110.071938966609,110.070613339935,110.072310824932,55.9050007820129,53.4439991664886,57.5650012493134,13,0,2,11,0,465.261659837727,165.941869924718,439.959749479545,469.911065545997,372.044324230577,335.789620652329,436.195997540723,404.657638756908,302.995005653162,370.153237842489,317.795515309354,429.074521181357,260.894481137894,374.56197296226,311.207295379601,774.92250835523,194.754590380976,252.294717166612,6146.52600794882,8820.33037019946,7201.73932835897,6875.6411826716,8412.48697613711,10464.3138961983,7478.11246424215,7014.62570619327,876.118597148743,1087.01439108478,44331.8252849623,19393.921600719,4468.3663042535,10807.4764801189,168084.663900581,39718.2655242411,87549.4178791065,7792.6827043877,11399.8958324851,8229.13840846171,32880.6467035772,8167.00351214749,37588.6950582429,509.817410488713,331.231529909807,239.260647928151,335.3944297848,542.523831614613,226.650536603713,371.614609800258,118.132530559553,572.216883649147,292.916005206134,313.221967286829,400.365838280064,126.112604540356,622.452903327416,514.427537709649,306.279123423155,"","",321,1372.25127017978,7801.72199149371,0.175890818934071
"17",17,111.08108148914,111.079558960226,111.08151504775,143.47199634552,142.214998474121,145.037005958557,26,3,8,0,15,2499.36729096284,2797.21274570242,7634.44963771949,56785.4914616341,3584.75094198529,3408.82928445023,8114.7344409287,24726.9453175843,7900.1462893388,3174.68021085337,12395.733342557,10450.3862170735,5515.91011862556,5365.88538765411,8152.33574905842,18567.4357931467,5279.68039586017,4562.52029765127,14947.191771452,16914.0815004022,15612.3257817531,18383.9814265094,16528.7526683624,15592.243757192,15419.9574480082,13288.5556404406,570.9101029928,606.508820171903,5114.5882131434,3375.78467501464,1976.18682175353,1679.29351214863,5395.13180527644,3727.24653318208,2970.72418263229,3578.02420490732,1758.02373296544,2324.21910748333,9903.24877023044,2143.38192824721,4681.49339100805,104383.850554282,21121.1848475061,43712.3378152121,29405.7956922395,21032.5734291488,16980.0408410784,37899.6737928141,31601.197259591,50530.2912261011,25721.8883326754,91368.5775564727,33230.8355906792,15627.3597435256,43872.9736017203,51156.3482306247,22188.2745396082,"","[M-H-CO2]- 156.078",118,1497.44385663539,15835.886249265,0.094560154895334
