Sf1_RT;Sf1;Sf10_RT;Sf10;Sf11_RT;Sf11;Sf12_RT;Sf12;Sf13_RT;Sf13;Sf14_RT;Sf14;Sf15_RT;Sf15;Sf2_RT;Sf2;Sf3_RT;Sf3;Sf4_RT;Sf4;Sf5_RT;Sf5;Sf6_RT;Sf6;Sf7_RT;Sf7
0.044;1868981;0.044;2150135;0.044;2642081;0.044;2178984;0.044;1959785;0.044;1924468;0.044;2396738;0.044;2467222;0.044;1948120;0.044;2099547;0.044;2239775;0.044;1945183;0.044;1932279
0.055;1929915;0.055;2223127;0.055;2628746;0.055;2160991;0.055;1991403;0.055;1976156;0.055;2435926;0.055;2458398;0.055;1970934;0.055;2102263;0.055;2232897;0.055;1987779;0.055;1911643
0.065;1804785;0.065;2189553;0.065;2712318;0.065;2199955;0.065;1965296;0.065;1997087;0.065;2369090;0.065;2405422;0.065;2029167;0.065;2162393;0.065;2276896;0.065;1958896;0.065;1935180
0.076;1860516;0.076;2199810;0.076;2691209;0.076;2172299;0.076;2002589;0.076;2006550;0.076;2363043;0.076;2423660;0.076;1973085;0.076;2134655;0.076;2313412;0.076;1913879;0.076;1910126
0.086;1891244;0.086;2161616;0.086;2564214;0.086;2175148;0.086;2035243;0.086;1960559;0.086;2384541;0.086;2414706;0.086;1971896;0.086;2172356;0.086;2284383;0.086;1986724;0.086;1935335
0.097;1903871;0.097;2168112;0.097;2629346;0.097;2171683;0.097;2014348;0.097;1983848;0.097;2364711;0.097;2379941;0.097;1945325;0.097;2164458;0.097;2236632;0.097;1910663;0.097;1860583
0.107;1874258;0.107;2194329;0.107;2577209;0.107;2169032;0.107;2058026;0.107;1984606;0.107;2375998;0.107;2407407;0.107;1995379;0.107;2136986;0.107;2249938;0.107;1964894;0.107;1856403
0.117;1903540;0.117;2145622;0.117;2655828;0.117;2175304;0.118;2005677;0.117;1986246;0.117;2379075;0.117;2386789;0.118;1982947;0.117;2149431;0.117;2233233;0.117;1938713;0.118;1900227
0.128;1888330;0.128;2117203;0.128;2546030;0.128;2144195;0.128;1969045;0.128;1944540;0.128;2345377;0.128;2438682;0.128;1944365;0.128;2123354;0.128;2299753;0.128;1960158;0.128;1899310
0.138;1860915;0.138;2146590;0.138;2543071;0.138;2180420;0.138;1982944;0.138;1925572;0.138;2401587;0.138;2484457;0.138;1982206;0.138;2067940;0.138;2202669;0.138;1991755;0.139;1870411
0.149;1884121;0.149;2120797;0.149;2576202;0.149;2235328;0.149;1977057;0.149;2052580;0.149;2360062;0.149;2466272;0.149;1924239;0.149;2110795;0.149;2224182;0.149;1946441;0.149;1869467
0.159;1906844;0.159;2158570;0.159;2498809;0.159;2162389;0.159;1898116;0.159;2026562;0.159;2344786;0.159;2437577;0.159;1956514;0.159;2147436;0.159;2286943;0.159;1998714;0.160;1864588
0.170;1864694;0.170;2161835;0.170;2572394;0.170;2185575;0.170;1968603;0.170;2022039;0.170;2376645;0.170;2435873;0.170;2004625;0.170;2050681;0.170;2188354;0.170;1962387;0.170;1936551
0.180;1849290;0.180;2111918;0.180;2587762;0.180;2132575;0.180;1922074;0.180;2024865;0.180;2397730;0.180;2429928;0.180;1997703;0.180;2102527;0.180;2279730;0.180;1977394;0.181;1923299
