"","Var1_SparCC","Var2_SparCC","SparCC","pSparCC"
"2","OTU196900135","OTU1969004",0.537273681674,0
"3","OTU196900136","OTU1969004",0.654194069063,0
"4","OTU196900137","OTU1969004",0.544911792512,0.6
"5","OTU196900138","OTU1969004",-0.593187726574,0
"6","OTU196900139","OTU1969004",0.0806819995728,0.8
"7","OTU196900140","OTU1969004",0.174521388447,0.6
"8","OTU196900141","OTU1969004",0.113717531428,0.6
"9","OTU196900142","OTU1969004",0.334569244735,0.2
"10","OTU196900143","OTU1969004",0.48223584959,0
"11","OTU196900144","OTU1969004",0.287280915643,0.2
"12","OTU196900145","OTU1969004",0.371949675953,0.4
"13","OTU196900146","OTU1969004",0.308645100681,0.4
"14","OTU196900148","OTU1969004",0.332630142125,0.4
"15","OTU196900149","OTU1969004",0.0174170307733,1
"16","OTU196900150","OTU1969004",-0.128704757259,0.4
"17","OTU196900151","OTU1969004",0.436904075953,0
"18","OTU196900152","OTU1969004",0.46940973544,0
"19","OTU196900153","OTU1969004",-0.152564958606,0.6
"20","OTU196900154","OTU1969004",0.502331219097,0.2
"21","OTU196900155","OTU1969004",-0.0388839443562,0.8
"22","OTU196900156","OTU1969004",0.236189396761,0.4
"23","OTU196900157","OTU1969004",0.558504837488,0
"24","OTU196900158","OTU1969004",0.251533663373,0.2
"25","OTU196900159","OTU1969004",-0.0875942801586,1
"26","OTU196900160","OTU1969004",0.435044429619,0.2
"27","OTU196900161","OTU1969004",0.418488701658,0.2
"28","OTU196900162","OTU1969004",0.189004247852,0.6
"29","OTU196900163","OTU1969004",-0.0213198175746,0.8
"30","OTU196900164","OTU1969004",0.48879402385,0.4
"31","OTU196900166","OTU1969004",0.28554535837,0.4
"32","OTU196900168","OTU1969004",0.534959128296,0
"33","OTU196900171","OTU1969004",0.408895986503,0.2
"34","OTU196900172","OTU1969004",0.0822029251425,1
"35","OTU196900175","OTU1969004",0.0151709394576,0.8
"36","OTU196900176","OTU1969004",0.272029055636,1
"37","OTU196900178","OTU1969004",0.442618500523,0.2
"38","OTU196900179","OTU1969004",0.654516154446,0
"39","OTU196900180","OTU1969004",0.320974539967,0.6
"40","OTU196900181","OTU1969004",0.604468665483,0
"41","OTU196900182","OTU1969004",0.0513718916432,1
"42","OTU196900183","OTU1969004",0.147487548604,0.2
"43","OTU196900184","OTU1969004",0.0775089806463,1
"44","OTU196900185","OTU1969004",0.455173718309,0.2
"45","OTU196900186","OTU1969004",0.396679620066,0
"46","OTU196900187","OTU1969004",-0.0370416009112,0.8
"47","OTU196900188","OTU1969004",0.343214613269,0.4
"48","OTU196900189","OTU1969004",0.471912547571,0
"49","OTU196900190","OTU1969004",-0.0964920743088,0.8
"50","OTU196900191","OTU1969004",0.0670828433696,1
"51","OTU196900192","OTU1969004",0.303788120397,0.6
"52","OTU196900193","OTU1969004",-0.138690504666,0.2
"53","OTU196900194","OTU1969004",-0.339434847207,0.4
"54","OTU196900195","OTU1969004",-0.355630745337,0.2
"55","OTU196900196","OTU1969004",0.279931714796,0.8
"56","OTU196900197","OTU1969004",0.589469165617,0
"57","OTU196900198","OTU1969004",0.279322333965,0.6
"58","OTU196900199","OTU1969004",0.21038618652,0.2
"59","OTU196900201","OTU1969004",0.719902158874,0
"60","OTU196900202","OTU1969004",0.265039180731,0.2
"61","OTU196900203","OTU1969004",-0.627771032127,0
"62","OTU196900204","OTU1969004",-0.0102483115375,1
"63","OTU196900205","OTU1969004",0.124279248103,0.8
"64","OTU196900208","OTU1969004",0.616451563621,0
"65","OTU196900209","OTU1969004",0.180882043435,1
"66","OTU196900210","OTU1969004",-0.773323576891,0
"67","OTU196900211","OTU1969004",0.187531444287,0.6
"68","OTU196900213","OTU1969004",0.375182056989,0.2
"69","OTU196900214","OTU1969004",0.702719783028,0
"70","OTU196900215","OTU1969004",0.573068719687,0
"71","OTU196900217","OTU1969004",-0.587079768532,0
"72","OTU196900218","OTU1969004",0.628784087668,0.2
"73","OTU196900219","OTU1969004",0.594660502879,0
"74","OTU196900221","OTU1969004",0.471240813202,0.4
"75","OTU196900222","OTU1969004",0.0961615470598,0.8
"76","OTU196900223","OTU1969004",-0.0716916003393,0.8
"77","OTU196900224","OTU1969004",0.452630282903,0.2
"78","OTU196900225","OTU1969004",0.332539318214,0
"79","OTU196900226","OTU1969004",0.0893879343639,0.8
"80","OTU196900227","OTU1969004",-0.206221854976,0.4
"81","OTU196900228","OTU1969004",0.275441694231,0.4
"82","OTU196900229","OTU1969004",-0.111956253411,0.6
"83","OTU196900230","OTU1969004",0.574599935602,0
"84","OTU196900231","OTU1969004",0.256597351911,0
"85","OTU196900232","OTU1969004",0.0462367109173,1
"86","OTU196900234","OTU1969004",-0.31131030779,0
"87","OTU196900235","OTU1969004",0.677860817284,0
"88","OTU196900236","OTU1969004",-0.289839407992,0.4
"89","OTU196900237","OTU1969004",-0.585929290947,0
"90","OTU196900239","OTU1969004",0.526469665137,0
"91","OTU196900241","OTU1969004",0.0490689956135,1
"92","OTU196900242","OTU1969004",-0.545740956761,0
