Wb1_RT;Wb1;Wb10_RT;Wb10;Wb11_RT;Wb11;Wb12_RT;Wb12;Wb13_RT;Wb13;Wb14_RT;Wb14;Wb15_RT;Wb15;Wb16_RT;Wb16;Wb17_RT;Wb17;Wb2_RT;Wb2;Wb3_RT;Wb3;Wb4_RT;Wb4;Wb5_RT;Wb5;Wb6_RT;Wb6;Wb7_RT;Wb7;Wb8_RT;Wb8
0.044;2267153;0.044;2009773;0.044;2215777;0.044;2096526;0.044;2381373;0.044;2262923;0.044;2016023;0.044;1872569;0.044;2034943;0.044;1917856;0.044;2075024;0.044;2339962;0.044;2496273;0.044;1933324;0.044;2234424;0.044;2228831
0.055;2304325;0.055;2026400;0.055;2207087;0.055;2173598;0.055;2330832;0.055;2229364;0.055;2014412;0.055;1880580;0.055;2049933;0.055;1919234;0.055;2113130;0.055;2327189;0.055;2539902;0.055;1908528;0.055;2175179;0.055;2208705
0.065;2308336;0.065;1972719;0.065;2174672;0.065;2112068;0.065;2323583;0.065;2279300;0.065;1982572;0.065;1847139;0.065;2099809;0.065;1905437;0.065;2094588;0.065;2353815;0.065;2502574;0.065;1996593;0.065;2229334;0.065;2260654
0.076;2303495;0.076;2059258;0.076;2207134;0.076;2147103;0.076;2306805;0.076;2244920;0.076;1978081;0.076;1911601;0.076;2059522;0.076;1940699;0.076;2079235;0.076;2350862;0.076;2513943;0.076;1947444;0.076;2237120;0.076;2246091
0.086;2335766;0.086;1948305;0.086;2166201;0.086;2057378;0.086;2297536;0.086;2203003;0.086;2000862;0.086;1927871;0.086;2065156;0.086;1896050;0.086;2119501;0.086;2328346;0.086;2463152;0.086;1907426;0.086;2162021;0.086;2301755
0.097;2300655;0.097;1978039;0.097;2180200;0.097;2145440;0.097;2325607;0.097;2223092;0.097;1997907;0.097;1938135;0.097;2023745;0.097;1945113;0.097;2172755;0.097;2305458;0.097;2417492;0.097;1937773;0.097;2207573;0.097;2209525
0.107;2386706;0.107;1967946;0.107;2186528;0.107;2139219;0.107;2293766;0.107;2258095;0.107;2001470;0.107;1924681;0.107;2013905;0.107;1916270;0.107;2124285;0.107;2438316;0.107;2463776;0.107;1903931;0.107;2182588;0.107;2216354
0.117;2359870;0.117;1965463;0.118;2154688;0.117;2108709;0.117;2329763;0.117;2271649;0.118;1955875;0.117;1886010;0.117;2041165;0.117;1958590;0.117;2153543;0.117;2359637;0.117;2454405;0.117;1929278;0.117;2199412;0.117;2266111
0.128;2373172;0.128;2009724;0.128;2174441;0.128;2184822;0.128;2291976;0.128;2252075;0.128;2004774;0.128;1890526;0.128;2072159;0.128;1960094;0.128;2109990;0.128;2352714;0.128;2447825;0.128;1975423;0.128;2195884;0.128;2272376
0.138;2233748;0.138;2036174;0.138;2184225;0.138;2131842;0.138;2304245;0.138;2240257;0.139;2023656;0.138;1895364;0.138;2012145;0.138;1973371;0.138;2138806;0.138;2300866;0.138;2475925;0.138;1965335;0.138;2165394;0.138;2232152
