"R2X(cum)","R2Y(cum)","Q2(cum)","RMSEE","pre","ort","pR2Y","pQ2","Species","Experiment"
0.761,0.995,0.661,34.2,1,5,0.072,0.018,"Geodia barretti","HILIC pos"
0.294,0.915,0.354,112,1,1,0.226,0.109,"Stryphnus fortis","HILIC pos"
0.694,0.988,0.657,40.2,1,4,0.032,0.019,"Weberella bursa","HILIC pos"
0.401,0.942,0.658,105,1,2,0.013,0.002,"Geodia barretti","HILIC neg"
0.815,0.992,0.757,39.5,1,3,0.007,0.008,"Stryphnus fortis","HILIC neg"
0.556,0.949,0.653,77.3,1,2,0.005,0.004,"Weberella bursa","HILIC neg"
0.778,0.91,0.794,126,1,1,0.001,0.001,"Geodia barretti","RP pos"
0.368,0.874,0.256,137,1,1,0.026,0.159,"Stryphnus fortis","RP pos"
0.479,0.96,0.406,68.1,1,2,0.005,0.032,"Weberella bursa","RP pos"
0.43,0.624,0.0345,244,1,1,0.268,0.198,"Geodia barretti","RP neg"
0.821,0.392,0.0936,300,1,1,0.585,0.19,"Stryphnus fortis","RP neg"
0.804,0.973,0.585,61.8,1,4,0.065,0.027,"Weberella bursa","RP neg"
