"R2X(cum)","R2Y(cum)","Q2(cum)","RMSEE","pre","ort","pR2Y","pQ2","Species","Experiment"
0.429,0.997,0.866,23.7,1,2,0.003,0.001,"Geodia barretti","HILIC pos"
0.362,0.998,0.702,19.9,1,2,0.049,0.004,"Stryphnus fortis","HILIC pos"
0.542,0.995,0.582,25.9,1,3,0.114,0.015,"Weberella bursa","HILIC pos"
0.499,0.99,0.75,43.2,1,2,0.004,0.002,"Geodia barretti","HILIC neg"
0.433,0.99,0.723,40.9,1,2,0.068,0.002,"Stryphnus fortis","HILIC neg"
0.39,0.986,0.6,39.8,1,2,0.132,0.005,"Weberella bursa","HILIC neg"
0.602,0.996,0.809,28.9,1,3,0.014,0.001,"Geodia barretti","RP pos"
0.464,0.99,0.585,40.9,1,2,0.122,0.017,"Stryphnus fortis","RP pos"
0.393,0.979,0.359,49.8,1,2,0.045,0.115,"Weberella bursa","RP pos"
0.373,0.979,0.685,59.9,1,2,0.137,0.002,"Geodia barretti","RP neg"
0.637,0.991,0.614,39.9,1,3,0.455,0.035,"Stryphnus fortis","RP neg"
0.44,0.98,0.417,48.6,1,2,0.089,0.049,"Weberella bursa","RP neg"
