"R2X(cum)","R2Y(cum)","Q2(cum)","RMSEE","pre","ort","pR2Y","pQ2","Species","Experiment"
0.425,0.998,0.867,19.7,1,2,0.1,0.1,"Geodia barretti","HILIC pos"
0.257,0.988,0.653,42,1,1,0.2,0.1,"Stryphnus fortis","HILIC pos"
0.496,0.999,0.549,13.7,1,3,0.1,0.1,"Weberella bursa","HILIC pos"
0.464,0.988,0.767,47.4,1,2,0.1,0.1,"Geodia barretti","HILIC neg"
0.436,0.924,0.629,106,1,1,0.1,0.1,"Stryphnus fortis","HILIC neg"
0.366,0.985,0.556,42.4,1,2,0.4,0.2,"Weberella bursa","HILIC neg"
0.585,0.998,0.796,22.6,1,3,0.1,0.1,"Geodia barretti","RP pos"
0.328,0.965,0.568,71.5,1,1,0.1,0.1,"Stryphnus fortis","RP pos"
0.343,0.98,0.335,48.8,1,2,0.2,0.1,"Weberella bursa","RP pos"
0.304,0.937,0.614,99.8,1,1,0.2,0.1,"Geodia barretti","RP neg"
0.39,0.924,0.506,106,1,1,0.1,0.1,"Stryphnus fortis","RP neg"
0.412,0.985,0.45,41.9,1,2,0.1,0.2,"Weberella bursa","RP neg"
