fastLSA_index;fastLSA_OTU;fastLSA_OTU_ID
0;OTU1969004;1969004
1;OTU196900135;196900135
2;OTU196900136;196900136
3;OTU196900137;196900137
4;OTU196900138;196900138
5;OTU196900139;196900139
6;OTU196900140;196900140
7;OTU196900141;196900141
8;OTU196900142;196900142
9;OTU196900143;196900143
10;OTU196900144;196900144
11;OTU196900145;196900145
12;OTU196900146;196900146
13;OTU196900148;196900148
14;OTU196900149;196900149
15;OTU196900150;196900150
16;OTU196900151;196900151
17;OTU196900152;196900152
18;OTU196900153;196900153
19;OTU196900154;196900154
20;OTU196900155;196900155
21;OTU196900156;196900156
22;OTU196900157;196900157
23;OTU196900158;196900158
24;OTU196900159;196900159
25;OTU196900160;196900160
26;OTU196900161;196900161
27;OTU196900162;196900162
28;OTU196900163;196900163
29;OTU196900164;196900164
30;OTU196900166;196900166
31;OTU196900168;196900168
32;OTU196900171;196900171
33;OTU196900172;196900172
34;OTU196900175;196900175
35;OTU196900176;196900176
36;OTU196900178;196900178
37;OTU196900179;196900179
38;OTU196900180;196900180
39;OTU196900181;196900181
40;OTU196900182;196900182
41;OTU196900183;196900183
42;OTU196900184;196900184
43;OTU196900185;196900185
44;OTU196900186;196900186
45;OTU196900187;196900187
46;OTU196900188;196900188
47;OTU196900189;196900189
48;OTU196900190;196900190
49;OTU196900191;196900191
50;OTU196900192;196900192
51;OTU196900193;196900193
52;OTU196900194;196900194
53;OTU196900195;196900195
54;OTU196900196;196900196
55;OTU196900197;196900197
56;OTU196900198;196900198
57;OTU196900199;196900199
58;OTU196900201;196900201
59;OTU196900202;196900202
60;OTU196900203;196900203
61;OTU196900204;196900204
62;OTU196900205;196900205
63;OTU196900208;196900208
64;OTU196900209;196900209
65;OTU196900210;196900210
66;OTU196900211;196900211
67;OTU196900213;196900213
68;OTU196900214;196900214
69;OTU196900215;196900215
70;OTU196900217;196900217
71;OTU196900218;196900218
72;OTU196900219;196900219
73;OTU196900221;196900221
74;OTU196900222;196900222
75;OTU196900223;196900223
76;OTU196900224;196900224
77;OTU196900225;196900225
78;OTU196900226;196900226
79;OTU196900227;196900227
80;OTU196900228;196900228
81;OTU196900229;196900229
82;OTU196900230;196900230
83;OTU196900231;196900231
84;OTU196900232;196900232
85;OTU196900234;196900234
86;OTU196900235;196900235
87;OTU196900236;196900236
88;OTU196900237;196900237
89;OTU196900239;196900239
90;OTU196900241;196900241
91;OTU196900242;196900242
92;OTU196900246;196900246
93;OTU196900248;196900248
94;OTU196900249;196900249
95;OTU196900250;196900250
96;OTU196900252;196900252
97;OTU196900253;196900253
98;OTU196900255;196900255
99;OTU196900256;196900256
100;OTU196900260;196900260
101;OTU196900262;196900262
102;OTU196900263;196900263
103;OTU196900264;196900264
104;OTU196900265;196900265
105;OTU196900266;196900266
106;OTU196900268;196900268
107;OTU196900269;196900269
