index1	index2	LSA	lag	p-valueBound	
0	139	0.836971	0	0.047416	
1	73	0.837696	0	0.047416	
2	16	0.878499	0	0.0291779	
3	116	0.845289	0	0.0442867	
5	24	0.867134	0	0.0335789	
6	61	0.834127	0	0.0490565	
7	33	0.864445	0	0.0335789	
10	157	0.842457	0	0.0442867	
12	120	0.848408	0	0.0413477	
13	29	0.856036	0	0.0385907	
13	148	0.843787	0	0.0442867	
13	202	0.88029	0	0.0271835	
22	112	0.854732	0	0.0385907	
27	108	0.834023	0	0.0490565	
27	126	0.84341	0	0.0442867	
27	192	0.841514	0	0.047416	
34	192	0.872345	0	0.0313058	
34	257	0.84241	0	0.0442867	
37	43	0.840279	0	0.047416	
38	54	0.896703	0	0.0219347	
38	66	0.842058	0	0.0442867	
38	86	0.838786	0	0.047416	
38	119	0.860606	0	0.0360038	
38	129	0.882521	0	0.0271835	
38	131	0.847151	0	0.0442867	
38	180	0.868712	0	0.0313058	
38	250	0.873778	0	0.0313058	
43	157	0.857272	0	0.0385907	
43	184	0.845365	0	0.0442867	
45	132	0.849143	0	0.0413477	
45	138	0.858645	0	0.0360038	
45	140	0.858337	0	0.0360038	
45	238	0.864831	0	0.0335789	
45	241	0.871587	0	0.0313058	
45	247	0.877874	0	0.0291779	
51	268	0.899554	0	0.0219347	
54	66	0.84927	0	0.0413477	
54	119	0.869269	0	0.0313058	
54	129	0.878757	0	0.0291779	
54	131	0.890212	0	0.0235686	
54	180	0.853292	0	0.0385907	
54	250	0.885352	0	0.025316	
57	113	0.882811	0	0.0271835	
63	102	0.860585	0	0.0360038	
65	94	0.847214	0	0.0442867	
66	97	0.852292	0	0.0413477	
66	180	0.884929	0	0.025316	
66	250	0.875604	0	0.0291779	
68	95	0.890905	0	0.0235686	
68	123	0.850097	0	0.0413477	
68	143	0.836747	0	0.047416	
70	243	0.863542	0	0.0335789	
72	112	0.850635	0	0.0413477	
74	192	0.857694	0	0.0385907	
75	149	0.871718	0	0.0313058	
82	96	0.835927	0	0.0490565	
83	180	0.833864	0	0.0490565	
83	256	0.842472	0	0.0442867	
86	173	0.848336	0	0.0413477	
87	135	0.840487	0	0.047416	
87	225	0.836925	0	0.047416	
87	284	0.862976	0	0.0360038	
90	123	0.878428	0	0.0291779	
91	194	0.891495	0	0.0235686	
91	235	0.860699	0	0.0360038	
95	100	0.846258	0	0.0442867	
95	119	0.837154	0	0.047416	
95	151	0.850943	0	0.0413477	
95	173	0.869557	0	0.0313058	
97	180	0.884891	0	0.025316	
100	131	0.847659	0	0.0413477	
100	151	0.850152	0	0.0413477	
103	115	0.847537	0	0.0413477	
112	118	0.850643	0	0.0413477	
119	131	0.87979	0	0.0271835	
119	151	0.856659	0	0.0385907	
119	250	0.855084	0	0.0385907	
123	143	0.843763	0	0.0442867	
129	156	0.842379	0	0.0442867	
129	180	0.866919	0	0.0335789	
129	250	0.885243	0	0.025316	
129	256	0.844125	0	0.0442867	
130	255	0.84939	0	0.0413477	
131	144	0.84329	0	0.0442867	
131	151	0.85086	0	0.0413477	
131	250	0.852415	0	0.0413477	
132	138	0.871118	0	0.0313058	
132	190	0.872885	0	0.0313058	
132	231	0.83731	0	0.047416	
132	232	0.863546	0	0.0335789	
132	246	0.913218	0	0.0176456	
132	247	0.889848	0	0.025316	
132	286	0.9236	0	0.0152357	
135	138	0.862536	0	0.0360038	
135	190	0.859652	0	0.0360038	
135	225	0.868498	0	0.0335789	
135	231	0.858029	0	0.0360038	
135	247	0.856507	0	0.0385907	
135	284	0.905452	0	0.0204077	
136	276	0.839015	0	0.047416	
138	190	0.839332	0	0.047416	
138	225	0.912032	0	0.0176456	
138	227	0.866194	0	0.0335789	
138	228	0.883373	0	0.0271835	
138	232	0.886242	0	0.025316	
138	233	0.876507	0	0.0291779	
138	236	0.852139	0	0.0413477	
138	238	0.857734	0	0.0385907	
138	241	0.859773	0	0.0360038	
138	245	0.851252	0	0.0413477	
138	246	0.880717	0	0.0271835	
138	247	0.923375	0	0.0152357	
138	284	0.88702	0	0.025316	
138	286	0.840641	0	0.047416	
144	250	0.837233	0	0.047416	
145	222	0.847581	0	0.0413477	
145	282	0.864626	0	0.0335789	
148	202	0.842353	0	0.0442867	
157	184	0.850003	0	0.0413477	
168	269	0.846405	0	0.0442867	
168	278	0.86955	0	0.0313058	
176	219	0.862081	0	0.0360038	
176	283	0.90697	0	0.0189791	
176	285	0.913439	0	0.0176456	
179	258	0.860306	0	0.0360038	
180	250	0.84787	0	0.0413477	
190	231	0.917244	0	0.0163989	
190	246	0.89095	0	0.0235686	
190	284	0.872678	0	0.0313058	
190	286	0.880989	0	0.0271835	
193	230	0.867973	0	0.0335789	
194	235	0.915133	0	0.0176456	
203	216	0.887628	0	0.025316	
218	222	0.885838	0	0.025316	
218	281	0.924593	0	0.0152357	
218	282	0.885761	0	0.025316	
219	283	0.905427	0	0.0204077	
219	285	0.909862	0	0.0189791	
222	281	0.898843	0	0.0219347	
222	282	0.925574	0	0.0152357	
224	238	0.893158	0	0.0235686	
224	241	0.889882	0	0.025316	
225	227	0.871517	0	0.0313058	
225	228	0.892207	0	0.0235686	
225	232	0.841122	0	0.047416	
225	233	0.872995	0	0.0313058	
225	236	0.853981	0	0.0385907	
225	242	0.858302	0	0.0360038	
225	245	0.85685	0	0.0385907	
225	246	0.842817	0	0.0442867	
225	247	0.88953	0	0.025316	
