"","Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X1969004",1,0.424933485366781,0.868807804383631,0.331432915241353,0.17407829722539,0.111807931078171,0.338971240339541,0.916825034840998,0.480172304573673,0.152350183707082,0.376852907639681,0.186367667553528,0.110160902065121,0.204358292157608,0.479937919675662,0.219434942353985,0.159057883217304,"X1969004",-0.477822517657686,0.0839802801137589,"dec.trend"
"X196900135",0.398410556305293,0.282029860977229,0.816442816442816,1,0.221386800334169,0.274489642910696,0.478953794743268,0.381273697063171,0.985797827903091,0.640811430285114,0.368549579075895,0.319388214125056,0.334425808110019,0.646488014909067,0.547959642696485,0.417212904055009,0.423904304300096,"X196900135",-0.119400219129458,0.684329752422801,"dec.trend"
"X196900136",0.146360094721564,0.573829348407303,1,0.0815827667863418,0.0256664884271637,0.136353219769307,0.11007562447483,0.535940722633871,0.268199526392178,0.153540600412497,0.428156748911466,0.0364372469635627,0.164464135665725,0.172561301657627,0.303154839202506,0.200404858299595,0.545080151597198,"X196900136",-0.243934871458411,0.400666977226284,"dec.trend"
"X196900143",0.416660242078483,0.229511988281551,0.397425025055894,0.397656310230514,0.121964382083108,0.171536504510061,0.355138385629481,0.596985583224115,1,0.502968159740961,0.270873487009483,0.456980957520623,0.375761313699792,0.65854598720222,0.418984658083417,0.440540436358029,0.877961954247228,"X196900143",0.244946490197592,0.398654532921502,"inc.trend"
"X196900145",1,0.228971962616822,0.311248331108144,0.358311081441923,0.21562082777036,0.51718958611482,0.694926568758344,0.55390520694259,0.91154873164219,0.970126835781041,0.16805740987984,0.74148865153538,0.122997329773031,0.600300400534045,0.576184913217624,0.408210947930574,0.371132559792664,"X196900145",-0.109783216228665,0.708697468265441,"dec.trend"
"X196900148",0.338997779279714,0.14347784107367,0.355894564062953,0.240417109201506,0.155740079173506,0.139326059669789,0.226706575263107,0.350680699044125,0.686299121367191,0.256348363425702,0.462682243893019,0.384474268610602,0.668726465192623,1,0.289388819156126,0.628970744424061,0.0128585358359585,"X196900148",0.738640711610161,0.00254934805997658,"increasing"
"X196900154",0.577007700770077,0.238998899889989,0.267326732673267,0.193894389438944,0.127337733773377,0.168866886688669,0.32975797579758,0.33993399339934,1,0.436468646864686,0.346259625962596,0.157040704070407,0.400990099009901,0.156215621562156,0.367959295929593,0.265126512651265,0.470633997088327,"X196900154",-0.090979210159617,0.757080457684106,"dec.trend"
"X196900157",0.465598650927487,0.207419898819562,0.278920741989882,0.373524451939292,0.0924114671163575,0.0844856661045531,0.657504215851602,0.348060708263069,1,0.212816188870152,0.48566610455312,0.215682967959528,0.34283305227656,0.441483979763912,0.372074198988196,0.37141652613828,0.996525580822716,"X196900157",0.109813002262232,0.708621581086503,"inc.trend"
"X196900160",0.291219778222141,0.23423013997455,0.479367387747682,0.706053444828213,0.068169423741138,0.270496273404836,0.223595709870933,0.204780948918378,0.226867842210507,0.286947827667697,0.299581894201054,0.089438283948373,1,0.167424104708235,0.299172877658608,0.389111070714416,0.56611859801981,"X196900160",0.120371862750299,0.681883147628467,"inc.trend"
"X196900162",0.642974004726413,0.43392110525359,0.161243410289038,0.112161425195419,0.267042355935284,0.180512634066533,0.4684602799491,0.694782766769678,1,0.263043083075804,0.0607162334121069,0.0527176876931467,0.297582257771314,0.326122523177604,0.422414106526086,0.184284675513543,0.144237679581456,"X196900162",-0.267512438858331,0.355159124917059,"dec.trend"
"X196900164",0.75755673154543,0.191766077675128,0.427571979549735,0.415911740963315,0.248004305318863,0.152569737196161,0.34693694501749,0.450713068436631,0.737644631805543,0.246479504888331,0.615301820791102,0.542649564983407,0.72114090949861,1,0.397515472239663,0.71977307381828,0.0225477575607158,"X196900164",0.609579164221013,0.0206467796296525,"increasing"
