"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"1","X1969004",-0.559012871769474,0.0376942432231834,0.110710364711448,"decreasing"
"2","X196900135",-0.170190531905379,0.560772376315839,0.648827542844772,"dec.trend"
"3","X196900136",-0.22929329820447,0.430380290052506,0.559220294618705,"dec.trend"
"4","X196900143",0.38216890701626,0.177499684456939,0.33281190835676,"inc.trend"
"5","X196900145",-0.151847504959488,0.604310762661623,0.689702500863809,"dec.trend"
"6","X196900148",0.867249231134093,5.89999373604858e-05,0.00145764551125906,"increasing"
"7","X196900154",-0.203594956957387,0.48509863676201,0.597618734054432,"dec.trend"
"8","X196900157",0.219401494054582,0.451063484867583,0.570622480856581,"inc.trend"
"9","X196900160",-0.0386972225771701,0.895506385528557,0.912894859033966,"dec.trend"
"10","X196900162",-0.479736402565058,0.0825708779618117,0.192665381910894,"dec.trend"
"11","X196900164",0.629523659803714,0.0158468488996815,0.0583831275251422,"increasing"
"12","X196900168",0.121073317134552,0.680118683508945,0.75568742612105,"inc.trend"
"13","X196900171",-0.481690394721727,0.0811491779607672,0.190405892421912,"dec.trend"
"14","X196900178",0.387923942069758,0.170516117333767,0.325530769455374,"inc.trend"
"15","X196900179",-0.661947421578143,0.00991305973660623,0.0424845417283124,"decreasing"
"16","X196900199",0.725966344291988,0.00328601241383038,0.0184016695174501,"increasing"
"17","X196900215",-0.651668933729577,0.0115674528219364,0.0473679367594596,"decreasing"
"18","X196900224",-0.338935014237276,0.235843573101142,0.378069850009465,"dec.trend"
"19","X196900235",-0.560844858632695,0.036938183052311,0.109253780858948,"decreasing"
"20","X196900250",-0.437545638959121,0.117673551287378,0.242132224759128,"dec.trend"
"21","X196900138",0.668688609424371,0.00893141067248204,0.038759190466762,"increasing"
"22","X196900155",-0.288321858263466,0.317473664700407,0.459658242554967,"dec.trend"
"23","X196900156",0.68245248559436,0.00716126375179071,0.0330519865467263,"increasing"
"24","X196900176",-0.788295842436267,0.000809559498990406,0.00708364561616605,"decreasing"
"25","X196900185",-0.717508955457499,0.00386416785243644,0.0205436771901684,"decreasing"
"26","X196900189",-0.351994466222512,0.217117444137412,0.372201332806992,"dec.trend"
"27","X196900198",-0.251624406005181,0.385503361007595,0.521835970003746,"dec.trend"
"28","X196900214",-0.185569541371782,0.525326128666152,0.617222512796803,"dec.trend"
"29","X196900219",-0.0775215130483118,0.792233632786792,0.840247792349628,"dec.trend"
"30","X196900221",-0.52268870554182,0.0551540202495234,0.149449603256773,"dec.trend"
"31","X196900239",-0.21472326893642,0.461012311675836,0.579716080550453,"dec.trend"
"32","X196900274",-0.0737245861464908,0.802221414492412,0.841347327895283,"dec.trend"
"33","X196900330",-0.0777284165400212,0.791690211056453,0.840247792349628,"dec.trend"
"34","X196900337",0.835921772558362,0.000195880704993422,0.00303817878634332,"increasing"
"35","X196900141",0.492022129301307,0.0739174145621298,0.175397254893189,"inc.trend"
"36","X196900150",0.329937140159009,0.249304378366118,0.395123920429319,"inc.trend"
"37","X196900151",-0.296536435631895,0.303251735180463,0.453258821266173,"dec.trend"
"38","X196900153",0.216828647723163,0.456521844608395,0.575793317524101,"inc.trend"
"39","X196900159",-0.109619050303838,0.709115766019755,0.776199220011589,"dec.trend"
"40","X196900269",0.365964634436813,0.198144865125559,0.359638487167247,"inc.trend"
"41","X196900288",0.446439591542586,0.109552359724672,0.242132224759128,"inc.trend"
"42","X196900139",-0.391027019223312,0.166825859452535,0.322888760230713,"dec.trend"
"43","X196900197",-0.319150021267975,0.266042830452256,0.413844402925731,"dec.trend"
"44","X196900210",0.531927209832981,0.0502487382401962,0.140696467072549,"inc.trend"
"45","X196900217",0.406437815108484,0.149272644842337,0.29287242718533,"inc.trend"
"46","X196900242",0.828963032705699,0.000247342229121282,0.00358219780106684,"increasing"
"47","X196900246",0.556393480742334,0.0387949989187677,0.111602051684126,"increasing"
"48","X196900280",0.794492421889396,0.000687248848684964,0.00641432258772633,"increasing"
"49","X196900286",-0.483188333035579,0.0800710288331283,0.188931641066932,"dec.trend"
"50","X196900344",0.205583164268134,0.480752465635974,0.597384720612748,"inc.trend"
"51","X196900172",0.458970777582816,0.098774872750672,0.225464383452621,"inc.trend"
"52","X196900201",-0.182686798542382,0.53189364719227,0.622271119277864,"dec.trend"
"53","X196900208",-0.813781226440042,0.000397847045387458,0.00441886754095271,"decreasing"
"54","X196900218",-0.000561329500057475,0.998480464299784,0.998480464299784,"dec.trend"
"55","X196900230",-0.335130576417494,0.241479357379314,0.384750274083182,"dec.trend"
"56","X196900234",-0.252035473946093,0.384701433413685,0.521835970003746,"dec.trend"
"57","X196900180",-0.789322645702335,0.000788170949347681,0.00704322976012821,"decreasing"
"58","X196900181",-0.313484908838118,0.275095501426701,0.424779818379465,"dec.trend"
"59","X196900184",0.142017950892818,0.628167909340013,0.707320434109398,"inc.trend"
"60","X196900195",-0.315228784403014,0.272289642293042,0.421998707612832,"dec.trend"
"61","X196900204",-0.101228225230569,0.730594913451386,0.791045894133376,"dec.trend"
"62","X196900209",-0.749189363293071,0.00204161093685345,0.0132233504421351,"decreasing"
"63","X196900236",0.835067754509573,0.000201683434792861,0.00303817878634332,"increasing"
"64","X196900237",0.0207573994893334,0.943849401664896,0.958168533770709,"inc.trend"
"65","X196900241",0.373455923291833,0.188419685171202,0.350160476866835,"inc.trend"
"66","X196900249",0.508535882274905,0.0633261668931465,0.155537953772641,"inc.trend"
"67","X196900279",0.195209759586014,0.503629417720962,0.616689082923627,"inc.trend"
"68","X196900289",-0.720101352016504,0.00367907752343716,0.0198104174338924,"decreasing"
"69","X196900295",0.16182218700459,0.580471234530002,0.666114531427871,"inc.trend"
"70","X196900356",0.322278459274729,0.26112099020265,0.407894858755064,"inc.trend"
"71","X196900377",0.499347620245507,0.0690750090524217,0.164838089784188,"inc.trend"
"72","X196900140",-0.100309934197477,0.732957081221787,0.791367542707328,"dec.trend"
"73","X196900192",-0.759572435370757,0.00162360532860198,0.0117010993505021,"decreasing"
"74","X196900227",0.245423405789023,0.397707626984295,0.531965615711478,"inc.trend"
"75","X196900228",-0.768135928452548,0.00133274535759664,0.0103657972257517,"decreasing"
"76","X196900287",0.386935006860156,0.17170324180897,0.326138258843819,"inc.trend"
"77","X196900354",0.576012935255927,0.0311012721141571,0.097481599163776,"increasing"
"78","X196900158",-0.111561261483007,0.704171886777626,0.775459761833152,"dec.trend"
"79","X196900182",-0.568222864787863,0.0340061510022525,0.10306575387717,"decreasing"
"80","X196900183",-0.757187000823937,0.00171300066416128,0.0119910046491289,"decreasing"
"81","X196900226",-0.162267566025524,0.579415775691195,0.666114531427871,"dec.trend"
"82","X196900252",-0.590497721829906,0.0261956941747875,0.0866563815686371,"decreasing"
"83","X196900335",-0.78740828182245,0.000828419764741977,0.00710074084064551,"decreasing"
"84","X196900338",0.0502231246017379,0.864614254012841,0.894428538633974,"inc.trend"
"85","X196900146",-0.632622935370717,0.0151848859134135,0.0564393989702095,"decreasing"
"86","X196900186",-0.36492442689316,0.199519956603539,0.359638487167247,"dec.trend"
"87","X196900196",-0.848565847944825,0.000124613691421258,0.00227555436508383,"decreasing"
"88","X196900202",-0.368660075586142,0.194609706067089,0.358491563807796,"dec.trend"
"89","X196900203",-0.0623280492734667,0.83236337185573,0.865328257869819,"dec.trend"
"90","X196900225",-0.670458090309856,0.00868664661070431,0.038472933118441,"decreasing"
"91","X196900341",0.539310691118719,0.046562572204686,0.132137029229514,"increasing"
"92","X196900191",-0.514737529784158,0.0596451324614697,0.149605830779447,"dec.trend"
"93","X196900211",-0.773163813250603,0.00118237663766289,0.00936977712864931,"decreasing"
"94","X196900229",0.210234231615822,0.470657843910698,0.588322304888372,"inc.trend"
"95","X196900255",0.00977731644234762,0.973536715340772,0.980540576602217,"inc.trend"
"96","X196900263",-0.795213860439047,0.000674030876782354,0.00641432258772633,"decreasing"
"97","X196900283",-0.947713097647061,2.63441335978501e-07,4.23938278467374e-05,"decreasing"
"98","X196900161",-0.86023708801815,7.90840989673573e-05,0.0016607660783145,"decreasing"
"99","X196900223",-0.0934523317218916,0.750665510620935,0.80840901143793,"dec.trend"
"100","X196900260",-0.643062217288465,0.0131092040618725,0.0514566888409948,"decreasing"
"101","X196900303",-0.670344430014983,0.0087022110625045,0.038472933118441,"decreasing"
"102","X196900318",0.228800841859046,0.431398512991572,0.559220294618705,"inc.trend"
"103","X196900347",-0.463740987349138,0.094872521133031,0.217740212436465,"dec.trend"
"104","X196900366",0.697998225604758,0.00550327657941434,0.0262656382199321,"increasing"
"105","X196900401",-0.650074512599717,0.0118419841898649,0.0473679367594596,"decreasing"
"106","X196900149",0.285627723444468,0.322219217547814,0.459658242554967,"inc.trend"
"107","X196900163",0.236720049172753,0.41517231169415,0.546549277888762,"inc.trend"
"108","X196900292",0.118506592044378,0.68658245501669,0.76085654645649,"inc.trend"
"109","X196900305",0.427704382124166,0.127126680025871,0.255469883305578,"inc.trend"
"110","X196900339",0.671856089399835,0.00849696181207128,0.0383733759254832,"increasing"
"111","X196900349",-0.838149579868652,0.000181377141979471,0.00303817878634332,"decreasing"
"112","X196900458",0.572250424653711,0.0324802718439811,0.0995745560180442,"increasing"
"113","X196900190",-0.357317015070917,0.209760189704971,0.362548476033283,"dec.trend"
"114","X196900193",-0.225491597267399,0.438272191316383,0.561248841100851,"dec.trend"
"115","X196900205",-0.526330266582822,0.0531809272994434,0.145986859253374,"dec.trend"
"116","X196900265",-0.658230125139079,0.0104888012076582,0.0444979445173379,"decreasing"
"117","X196900277",-0.721209094823339,0.00360214538576362,0.0196480657405288,"decreasing"
"118","X196900302",-0.262956369873161,0.363723210416671,0.505840226407291,"dec.trend"
"119","X196900323",0.747943993820355,0.00209698705494389,0.0132233504421351,"increasing"
"120","X196900340",-0.501403679993169,0.0677575148173194,0.162618035561567,"dec.trend"
"121","X196900348",0.157659573164107,0.590373346982986,0.675631623250284,"inc.trend"
"122","X196900370",0.626953309358021,0.0164123144635834,0.0599406267365656,"increasing"
"123","X196900475",0.355353158779166,0.212456297592744,0.365703463069478,"inc.trend"
"124","X196900496",0.704841151337851,0.0048763585886837,0.0244164430329983,"increasing"
"125","X196900175",-0.402385660213711,0.153764070496489,0.298985692632062,"dec.trend"
"126","X196900233",-0.329022098033577,0.250698827536009,0.395840254004224,"dec.trend"
"127","X196900266",0.179197456286465,0.539891091046905,0.629872939554723,"inc.trend"
"128","X196900271",-0.0648851862074729,0.825580041974094,0.860405999079701,"dec.trend"
"129","X196900291",-0.238483465430917,0.411602364281969,0.546549277888762,"dec.trend"
"130","X196900293",-0.656157110875204,0.0108208586891088,0.0454476064942568,"decreasing"
"131","X196900307",-0.911970053537579,5.54505589772065e-06,0.000179147959772513,"decreasing"
"132","X196900314",0.747667547798807,0.00210943923719774,0.0132233504421351,"increasing"
"133","X196900316",0.939756772106274,6.05626112096248e-07,4.23938278467374e-05,"increasing"
"134","X196900320",-0.895467000851925,1.49859778169545e-05,0.000449579334508636,"decreasing"
"135","X196900350",-0.916370349866396,4.1164441490756e-06,0.000144075545217646,"decreasing"
"136","X196900398",-0.865174137465744,6.445121535337e-05,0.00150386169157863,"decreasing"
"137","X196900400",-0.653073584710739,0.0113296695508447,0.0471134773401464,"decreasing"
"138","X196900406",0.0881832228258846,0.764350404283811,0.821041354985167,"inc.trend"
"139","X196900465",0.821879492488054,0.000310434257802163,0.003887868837484,"increasing"
"140","X196900469",-0.0185411021002949,0.949837402681029,0.961281226809717,"dec.trend"
"141","X196900507",0.790069241070929,0.000772905261998583,0.00704322976012821,"increasing"
"142","X196900137",-0.447136719884449,0.108932507462409,0.242072238805354,"dec.trend"
"143","X196900144",-0.849933989856611,0.000118377575750496,0.00225993553705491,"decreasing"
"144","X196900187",0.814644149840717,0.000387684730190137,0.00441886754095271,"increasing"
"145","X196900194",-0.452943072359134,0.103863064480649,0.233275331988624,"dec.trend"
"146","X196900319",0.946066832519819,3.16153056617771e-07,4.23938278467374e-05,"increasing"
"147","X196900355",-0.193192127262116,0.508136086011913,0.617222512796803,"dec.trend"
"148","X196900361",-0.298748241537152,0.299486373296722,0.450839701737,"dec.trend"
"149","X196900454",0.77334763470095,0.00117714752332968,0.00936977712864931,"increasing"
"150","X196900167",0.0402262666679581,0.891399347316979,0.912894859033966,"inc.trend"
"151","X196900213",-0.889629810816389,2.04929822018939e-05,0.000573803501653028,"decreasing"
"152","X196900222",-0.447764419744146,0.108376449869937,0.242072238805354,"dec.trend"
"153","X196900262",-0.933062987485812,1.12296095442183e-06,5.8955450107146e-05,"decreasing"
"154","X196900296",-0.604099963869073,0.0221394144661313,0.075598000616058,"decreasing"
"155","X196900308",0.640198734232279,0.0136555048964853,0.0531047412641097,"increasing"
"156","X196900312",0.814166071903864,0.000393288691765306,0.00441886754095271,"increasing"
"157","X196900383",0.618838021311292,0.0182987289115687,0.0645837490996543,"increasing"
"158","X196900499",0.701164014475182,0.00520587415450925,0.0257231428811045,"increasing"
"159","X196900569",0.502145212409102,0.0672867790704892,0.162416363273595,"inc.trend"
"160","X196900147",-0.284650946365053,0.323949618562548,0.459658242554967,"dec.trend"
"161","X196900174",-0.284650946365053,0.323949618562548,0.459658242554967,"dec.trend"
"162","X196900177",-0.284650946365054,0.323949618562548,0.459658242554967,"dec.trend"
"163","X196900297",0.122727038877724,0.675964881477919,0.753064324192907,"inc.trend"
"164","X196900301",0.567954032041353,0.0341098566403015,0.10306575387717,"increasing"
"165","X196900331",-0.854001880011395,0.000101315606052679,0.00202631212105358,"decreasing"
"166","X196900390",0.251244424533095,0.386245431958724,0.521835970003746,"inc.trend"
"167","X196900429",0.085231895632057,0.772043867690746,0.827189858240085,"inc.trend"
"168","X196900464",0.668544853256123,0.0089515273220855,0.038759190466762,"increasing"
"169","X196900492",0.221470381327845,0.446697687200949,0.568524329164844,"inc.trend"
"170","X196900529",0.361723145533492,0.203789739199603,0.359638487167247,"inc.trend"
"171","X196900253",-0.741755360193368,0.00239007526423777,0.0143404515854266,"decreasing"
"172","X196900268",-0.625771997631502,0.0166772851774027,0.0600098554838929,"decreasing"
"173","X196900275",0.203544353124977,0.485209495982289,0.597618734054432,"inc.trend"
"174","X196900310",-0.8349426180121,0.000202545252422888,0.00303817878634332,"decreasing"
"175","X196900336",-0.745889268850268,0.00219094675324843,0.0133630212224767,"decreasing"
"176","X196900352",0.60594507344968,0.021627984370619,0.0744569953742621,"increasing"
"177","X196900450",0.0722684974189398,0.80605918607425,0.842151388435783,"inc.trend"
"178","X196900500",-0.345064710848221,0.226934654586855,0.378069850009465,"dec.trend"
"179","X196900605",0.478733599307278,0.0833072616182575,0.19330966784347,"inc.trend"
"180","X196900606",0.634579852232809,0.0147779085629526,0.0559164107787394,"increasing"
"181","X196900142",-0.678941429031896,0.00758433937591829,0.0346241580204965,"decreasing"
