"Var1","Var2","value","Var1_cat","Var2_cat"
196900323,196900418,0.985714285714286,"deep","shallow"
196900236,196900310,0.971428571428571,"deep","shallow"
196900280,196900363,0.992857142857143,"deep","shallow"
196900231,196900367,0.992857142857143,"shallow","deep"
196900589,196900596,0.992857142857143,"shallow","deep"
196900192,196900527,0.985714285714286,"shallow","deep"
196900144,196900578,0.971428571428571,"shallow","deep"
196900144,196900337,0.992857142857143,"shallow","deep"
196900253,196900445,0.992857142857143,"shallow","deep"
196900208,196900323,0.985714285714286,"shallow","deep"
196900418,196900546,0.971428571428571,"shallow","deep"
196900196,196900236,0.992857142857143,"shallow","deep"
196900180,196900236,0.978571428571429,"shallow","deep"
196900284,196900658,0.992857142857143,"shallow","deep"
196900363,196900384,0.985714285714286,"shallow","deep"
196900213,196900242,0.992857142857143,"shallow","deep"
196900161,196900242,0.985714285714286,"shallow","deep"
196900307,196900537,0.978571428571429,"shallow","deep"
196900331,196900528,0.985714285714286,"shallow","deep"
