ID	Gb1	Gb2	Gb3	Gb4	Gb5	Gb6	Gb7	Gb8	Gb9	Gb10	Gb11	Gb12	Gb13	Gb14
OTU1969004	15786	6708	13715	5232	2748	1765	5351	14473	7580	2405	5949	2942	1739	3226
OTU196900135	18599	13166	38114	46683	10335	12814	22359	17799	46020	29915	17205	14910	15612	30180
OTU196900136	1916	7512	13091	1068	336	1785	1441	7016	3511	2010	5605	477	2153	2259
OTU196900137	1069	0	742	0	0	0	803	398	1254	0	0	0	0	0
OTU196900138	751	1113	0	14663	5133	7434	1090	5275	35623	3382	10699	7483	33736	25766
OTU196900139	2091	3869	625	0	589	1008	1237	4437	5683	0	360	384	1600	0
OTU196900140	885	1177	3429	0	342	482	0	962	1514	608	902	501	2392	0
OTU196900141	2282	2219	5603	0	869	632	1460	3999	4440	0	4394	3618	6743	4293
OTU196900142	692	1339	1552	0	333	222	0	577	0	458	0	0	0	0
OTU196900143	10809	5954	10310	10316	3164	4450	9213	15487	25942	13048	7027	11855	9748	17084
OTU196900144	5469	6572	9719	16601	2831	10086	8795	10610	11797	10106	0	0	0	0
OTU196900145	5992	1372	1865	2147	1292	3099	4164	3319	5462	5813	1007	4443	737	3597
OTU196900146	2247	3298	5011	46712	3155	11761	758	4189	12746	3556	0	0	0	0
OTU196900148	3511	1486	3686	2490	1613	1443	2348	3632	7108	2655	4792	3982	6926	10357
OTU196900149	338	0	0	0	0	0	0	0	664	0	444	0	507	0
OTU196900150	0	1331	726	3513	530	459	916	2171	3205	0	1390	4916	1966	839
OTU196900151	523	2352	4084	1093	0	1441	550	1833	1132	1158	1815	0	1021	594
OTU196900152	296	240	893	0	0	206	0	0	0	369	0	0	0	0
OTU196900153	1525	3525	817	0	603	1165	1399	3350	3451	424	1688	748	3415	1985
OTU196900154	2098	869	972	705	463	614	1199	1236	3636	1587	1259	571	1458	568
OTU196900155	1177	3463	1224	0	378	1394	457	1715	4627	597	861	540	659	420
OTU196900156	449	1158	3367	833	1146	0	1254	2910	5728	776	3628	3190	3315	4540
OTU196900157	2761	1230	1654	2215	548	501	3899	2064	5930	1262	2880	1279	2033	2618
OTU196900158	945	580	1005	0	236	0	338	757	1443	0	495	384	760	0
OTU196900159	1352	1864	1088	0	535	578	1134	2475	3519	740	826	451	1952	386
OTU196900160	3204	2577	5274	7768	750	2976	2460	2253	2496	3157	3296	984	11002	1842
OTU196900161	2990	1418	6951	5528	895	1488	2193	1335	2401	2942	0	0	0	0
OTU196900162	3537	2387	887	617	1469	993	2577	3822	5501	1447	334	290	1637	1794
OTU196900163	0	615	0	0	0	0	0	407	0	0	352	0	717	0
OTU196900164	8446	2138	4767	4637	2765	1701	3868	5025	8224	2748	6860	6050	8040	11149
OTU196900166	0	346	619	0	0	429	0	0	0	0	0	0	0	0
OTU196900168	6476	3762	8594	1815	2127	2457	3871	7307	12957	4856	9275	2755	9695	2465
OTU196900171	2559	1480	3554	8262	1686	2829	11477	7611	9712	6365	1897	372	774	2700
OTU196900172	1408	1321	2331	0	230	222	451	1373	1694	456	2201	703	2665	1968
