"OTU","ttest.fdr","cortest.p","emp","bar_cat"
"4",-1,-1,0,1
"135",-1,-1,1,0
"136",-1,-1,1,0
"143",-1,-1,0,0
"145",-1,-1,1,0
"148",0,0,1,0
"154",-1,-1,1,0
"157",-1,-1,0,0
"160",-1,-1,1,0
"162",-1,-1,1,1
"164",0,0,1,0
"168",-1,-1,1,0
"171",-1,-1,1,0
"178",-1,-1,1,0
"179",1,1,0,1
"199",-1,0,0,0
"215",-1,1,1,0
"224",-1,-1,1,0
"235",-1,1,1,1
"250",-1,-1,1,0
"138",-1,0,1,0
"155",-1,-1,1,0
"156",0,0,1,0
"176",1,1,1,1
"185",1,1,0,1
"189",-1,-1,1,0
"198",-1,-1,0,0
"214",-1,-1,1,0
"219",-1,-1,0,0
"221",-1,1,1,0
"239",-1,-1,1,0
"274",-1,-1,1,0
"274",-1,-1,1,0
"330",-1,-1,1,0
"337",0,0,1,0
"141",0,0,1,0
"150",-1,-1,0,0
"151",-1,-1,1,0
"153",-1,-1,1,0
"159",-1,-1,1,0
"269",-1,-1,1,0
"288",-1,-1,1,0
"139",-1,-1,1,0
"197",-1,-1,NA,0
"210",-1,-1,NA,0
"217",-1,-1,0,0
"242",0,0,1,0
"246",0,0,1,0
"280",0,0,0,0
"286",-1,-1,1,0
"344",-1,-1,NA,0
"172",-1,-1,1,0
"201",-1,-1,1,0
"208",1,1,0,1
"218",-1,-1,1,0
"230",-1,-1,1,0
"234",-1,-1,NA,0
"180",1,1,1,1
"181",-1,-1,1,0
"184",-1,-1,NA,0
"195",-1,-1,NA,0
"204",-1,-1,1,0
"209",-1,1,1,1
"236",0,0,1,0
"237",-1,-1,NA,0
"241",-1,-1,1,0
"249",-1,-1,NA,0
"279",-1,-1,NA,0
"289",1,1,1,1
"295",-1,-1,1,0
"356",-1,-1,NA,0
"377",-1,-1,0,0
"140",-1,-1,0,0
"192",1,1,NA,1
"227",-1,-1,0,0
"228",-1,1,0,1
"287",-1,-1,NA,0
"354",-1,-1,NA,0
"158",-1,-1,NA,0
"182",-1,-1,NA,0
"183",-1,1,1,1
"226",-1,-1,NA,0
"252",-1,-1,NA,0
"335",1,1,1,1
"338",-1,-1,1,0
"146",-1,-1,1,1
"186",-1,-1,0,0
"196",1,1,1,1
"202",-1,-1,0,1
"203",-1,-1,NA,0
"225",-1,1,NA,1
"341",-1,-1,0,0
"191",-1,-1,NA,0
"211",1,1,1,1
"229",-1,-1,NA,0
"255",-1,-1,NA,0
"263",1,1,NA,1
"283",1,1,0,1
"161",1,1,1,1
"223",-1,-1,1,0
"260",-1,1,1,0
"303",-1,1,NA,1
"318",-1,-1,NA,0
"347",-1,-1,1,0
"366",0,0,NA,0
"401",-1,1,NA,1
"149",-1,-1,NA,0
"163",-1,-1,NA,0
"292",-1,-1,NA,0
"305",-1,-1,NA,0
"339",-1,0,1,0
"349",1,1,NA,1
"458",-1,0,NA,0
"190",-1,-1,NA,0
"193",-1,-1,NA,0
"205",-1,-1,NA,0
"265",1,1,NA,1
"277",1,1,1,1
"302",-1,-1,1,0
"323",0,0,NA,0
"340",-1,1,1,0
"348",-1,-1,NA,0
"370",-1,-1,NA,0
"475",-1,-1,NA,0
"496",-1,0,0,0
"175",-1,-1,NA,1
"233",-1,-1,NA,0
"266",-1,-1,NA,0
"271",-1,-1,NA,0
"291",-1,-1,NA,0
"293",-1,1,NA,0
"307",1,1,NA,1
"314",0,0,NA,0
"316",0,0,NA,0
