"V1","label","hex"
612,"label","#01559d"
661,"label","#01559d"
318,"label","#01559d"
682,"label","#01559d"
676,"label","#01559d"
221,"label","#01559d"
293,"label","#01559d"
508,"label","#01559d"
315,"label","#01559d"
568,"label","#01559d"
154,"label","#01559d"
506,"label","#01559d"
190,"label","#01559d"
222,"label","#01559d"
402,"label","#01559d"
494,"label","#01559d"
662,"label","#01559d"
299,"label","#01559d"
254,"label","#01559d"
373,"label","#01559d"
249,"label","#01559d"
226,"label","#01559d"
362,"label","#01559d"
276,"label","#01559d"
195,"label","#01559d"
685,"label","#01559d"
210,"label","#01559d"
207,"label","#01559d"
155,"label","#01559d"
551,"label","#01559d"
263,"label","#01559d"
382,"label","#01559d"
550,"label","#01559d"
680,"label","#01559d"
667,"label","#01559d"
681,"label","#01559d"
386,"label","#01559d"
683,"label","#01559d"
446,"label","#01559d"
564,"label","#01559d"
234,"label","#01559d"
194,"label","#01559d"
231,"label","#01559d"
367,"label","#01559d"
193,"label","#01559d"
684,"label","#01559d"
163,"label","#01559d"
353,"label","#01559d"
203,"label","#01559d"
300,"label","#01559d"
350,"label","#01559d"
147,"label","#01559d"
159,"label","#01559d"
170,"label","#01559d"
266,"label","#01559d"
251,"label","#01559d"
166,"label","#01559d"
354,"label","#01559d"
139,"label","#01559d"
536,"label","#01559d"
218,"label","#01559d"
589,"label","#01559d"
596,"label","#01559d"
153,"label","#01559d"
675,"label","#01559d"
677,"label","#01559d"
383,"label","#01559d"
563,"label","#01559d"
327,"label","#01559d"
211,"label","#01559d"
635,"label","#000000"
630,"label","#000000"
615,"label","#01559d"
540,"label","#01559d"
390,"label","#01559d"
357,"label","#01559d"
214,"label","#01559d"
408,"label","#01559d"
648,"label","#01559d"
657,"label","#01559d"
666,"label","#01559d"
409,"label","#01559d"
289,"label","#01559d"
349,"label","#01559d"
561,"label","#01559d"
616,"label","#01559d"
224,"label","#01559d"
424,"label","#01559d"
640,"label","#01559d"
410,"label","#01559d"
534,"label","#01559d"
527,"label","#01559d"
192,"label","#01559d"
281,"label","#01559d"
376,"label","#01559d"
302,"label","#01559d"
246,"label","#01559d"
500,"label","#01559d"
235,"label","#01559d"
322,"label","#01559d"
239,"label","#01559d"
531,"label","#01559d"
547,"label","#01559d"
303,"label","#01559d"
392,"label","#01559d"
597,"label","#01559d"
277,"label","#01559d"
611,"label","#ffaaaf"
618,"label","#ffaaaf"
209,"label","#ffaaaf"
633,"label","#ffaaaf"
171,"label","#ffaaaf"
476,"label","#ffaaaf"
160,"label","#ffaaaf"
291,"label","#ffaaaf"
269,"label","#ffaaaf"
145,"label","#ffaaaf"
215,"label","#ffaaaf"
629,"label","#ffaaaf"
659,"label","#ffaaaf"
393,"label","#ffaaaf"
414,"label","#ffaaaf"
652,"label","#ffaaaf"
644,"label","#ffaaaf"
351,"label","#ffaaaf"
642,"label","#ffaaaf"
338,"label","#ffaaaf"
643,"label","#ffaaaf"
449,"label","#ffaaaf"
691,"label","#ffaaaf"
317,"label","#ffaaaf"
252,"label","#ffaaaf"
230,"label","#ffaaaf"
381,"label","#ffaaaf"
212,"label","#dd8e00"
191,"label","#dd8e00"
505,"label","#b8c4f6"
217,"label","#b8c4f6"
554,"label","#b8c4f6"
304,"label","#b8c4f6"
514,"label","#b8c4f6"
157,"label","#b8c4f6"
578,"label","#b8c4f6"
337,"label","#b8c4f6"
144,"label","#b8c4f6"
588,"label","#b8c4f6"
137,"label","#b8c4f6"
305,"label","#b8c4f6"
292,"label","#b8c4f6"
352,"label","#b8c4f6"
365,"label","#b8c4f6"
444,"label","#b8c4f6"
507,"label","#b8c4f6"
314,"label","#b8c4f6"
425,"label","#b8c4f6"
542,"label","#b8c4f6"
526,"label","#b8c4f6"
609,"label","#b8c4f6"
445,"label","#b8c4f6"
