OTU_ID;Kingdom;Phylum;Class;Order;Family;Genus
1969004;Archaea; Thaumarchaeota; Marine_Group_I; Unknown_Order; Unknown_Family; Candidatus_Nitrosopumilus
196900135;Bacteria; SBR1093; uncultured_bacterium; ; ; 
196900136;Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; uncultured
196900143;Bacteria; Acidobacteria; Subgroup_11; ; ; 
196900145;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; uncultured_bacterium
196900148;Bacteria; Nitrospirae; Nitrospira; Nitrospirales; Nitrospiraceae; Nitrospira
196900154;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900157;Bacteria; Acidobacteria; Subgroup_9; ; ; 
196900160;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; uncultured_bacterium
196900162;Bacteria; PAUC34f; uncultured_bacterium; ; ; 
196900164;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; uncultured_bacterium; 
196900168;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900171;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; uncultured_bacterium
196900178;Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; uncultured; uncultured_bacterium
196900179;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900199;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900215;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; 
196900224;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexi_bacterium; ; 
196900235;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900250;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900138;Archaea; Thaumarchaeota; Marine_Group_I; Cenarchaeales; Cenarchaeaceae; Cenarchaeum
196900155;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900156;Bacteria; Acidobacteria; Holophagae; Subgroup_10; TK85; uncultured_bacterium
196900176;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; OM1_clade; 
196900185;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900189;Bacteria; PAUC34f; uncultured_bacterium; ; ; 
196900198;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900214;Bacteria; Chloroflexi; JG30-KF-CM66; ; ; 
196900219;Bacteria; Acidobacteria; Subgroup_5; ; ; 
196900221;Bacteria; Chloroflexi; JG30-KF-CM66; uncultured_bacterium; ; 
196900239;Bacteria; Chloroflexi; SAR202_clade; uncultured_Thermomicrobium_sp.; ; 
196900274;Bacteria; Proteobacteria; Gammaproteobacteria; oI89A_clade; uncultured_bacterium; 
196900330;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900337;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900141;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900150;Bacteria; Bacteroidetes; Bacteroidetes_Incertae_Sedis; Order_II; Rhodothermaceae; uncultured
196900151;Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; uncultured
196900153;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900159;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexi_bacterium; ; 
196900269;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; 
