Phylum;hex
Acidobacteria;#b8c4f6
Actinobacteria;#ffaaaf
Bacteroidetes;#3d1349
Chlamydiae;#B6B2A9
Chloroflexi;#01559d
Cyanobacteria;#CACAC8
Deferribacteres;#E1DED7
Deinococcus-Thermus;#CEC7C1
Firmicutes;#9A9B9D
Gemmatimonadetes;#019c51
Nitrospinae;#b10060
Nitrospirae;#49ca00
PAUC34f ;#dd8e00
Planctomycetes;#f282ff
Poribacteria;#AFA79D
Proteobacteria;#ff633f
SBR1093;#ec0040
Spirochaetae;#010b92
Tectomicrobia;#cf00aa
Thaumarchaeota;#aba900
unclassified;#000000
Verrucomicrobia;#fce300
