"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X1969004",0.0151683715212093,0.0783833918774914,0.0550510594418388,0.0226998766208289,0.0717105704749178,0.0284429092220832,0.08637856698145,0.00744776008149676,0.0570640957074505,0.0251689297209729,0.064434529484295,0.0182562854271082,0.0217328025678142,0.00857655280234843,0.0150540212372681,0.0456603132776645,0.0300410309924653,0.285412107602122,"X1969004",-0.391747926046717,0.148715189503121,"dec.trend"
"X196900135",0.0574138446021116,0.0819355093341753,0.06736409096453,0.260642044407047,0.104746736961576,0.0551040374283325,0.0084036594142361,0.0299711779759982,0.0191422079763388,0.0220301408991111,0.0297703034232036,0.0559654292962099,0.0322904210460067,0.0487871135492348,0.0374900426137462,0.0831976376360009,0.035067951257693,0.130595476034125,"X196900135",-0.374780325394175,0.168702264150968,"dec.trend"
"X196900136",0.0405225815667924,0.0139146527037753,0.0307520872833716,0.0347636177987454,0.0214057761424448,0.0432710438722583,0.00989061147986734,0.0273809228016995,0.0295227190334495,0.0171061326284825,0.0236624337413721,0.030868165004,0.0371955440871043,0.0304780859928316,0.0334181483515209,0.0277376617061193,0.0288930326912515,0.825194407919621,"X196900136",0.109922448076633,0.696551731420306,"inc.trend"
"X196900143",0.0166445172657106,0.0221371468164695,0.0219317211633348,0.027417593586174,0.0309431843837907,0.0239556631668698,0.00642665723281301,0.0202996496633289,0.0198241917594823,0.0144203099354124,0.0168554322541281,0.0312100430082529,0.0208674240040279,0.0228467835154996,0.0180161019636352,0.0212195166598114,0.0205771837772055,0.852882709971806,"X196900143",0.0138215709348704,0.961008188231172,"inc.trend"
"X196900145",0.0154021306713649,0.0534396337372222,0.00436860370998681,0.0169280004538084,0.0110629054008701,0.00755890535244831,0.0518743716857444,0.014392377071583,0.0119921464183289,0.00692238825059152,0.0135758685123746,0.00901874175219315,0.00557382465856882,0.00676921200495633,0.01165497559957,0.0218783660103785,0.00935816531379761,0.11733901363679,"X196900145",-0.40775075041509,0.131380584077345,"dec.trend"
"X196900148",0.0142506504131909,0.0177211193116786,0.0035370167093548,0.0268456058579107,0.0188795528462726,0.0179380530489771,0.044151181860865,0.0287723308569583,0.017523393838456,0.017457847504956,0.0275521488769401,0.0152033148491292,0.00756026181635093,0.0098516705428398,0.00932707403655038,0.021511938863151,0.0149251016378889,0.223320561835916,"X196900148",-0.222326448648073,0.425794162172201,"dec.trend"
"X196900154",0.0109607068184081,0.00620962755390667,0.01810087704709,0.00197595760672771,0.0124022919069325,0.0143416975016807,0.00344061852725472,0.0221507193082714,0.0152656685774177,0.0176123888900731,0.00675615553775947,0.0152853655701499,0.0195693561583485,0.0111157003029791,0.00988004733142048,0.011197812033784,0.0136406689097355,0.448074177375532,"X196900154",0.219861100822447,0.431075375043137,"inc.trend"
"X196900157",0.0107096321756484,0.00967842373691527,0.00450165763008793,0.00838600190032287,0.00893026037185519,0.0125107262124036,0.00398760779935761,0.0276728700275797,0.0117947300600505,0.0199624837465095,0.0115420305329927,0.0103486471887372,0.0163202530052237,0.0225668120116091,0.0254715740790868,0.0107971474817713,0.0168580758034585,0.10770123853271,"X196900157",0.571965870348477,0.025891227161596,"increasing"
"X196900160",0.00802573082200972,0.0173878342169774,0.00936366962711639,0.00769110771805259,0.00688304318377359,0.0145165962517012,0.00779413041307024,0.00601287052451114,0.00553124742012714,0.00693304627715132,0.0197663628621185,0.0126529049374021,0.00633693121027126,0.010999276509282,0.0122968886551535,0.00970937284465153,0.0106452368387866,0.694190432917459,"X196900160",0.0756651518160138,0.788691534125501,"inc.trend"
"X196900162",0.00795646885159324,0.0175413207737477,0.0146082116444356,0.00348865242527524,0.0237794497226646,0.0208402791821297,0.0150132686902781,0.012261783486968,0.0173546925868363,0.0289951612559418,0.0184380124318346,0.0252476906140813,0.028742368934483,0.0239334055900053,0.013074144824866,0.0144361793471365,0.0222550680340069,0.0337645753548558,"X196900162",0.560498767002689,0.0297528553592742,"increasing"
