"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X1969004",0.0378651163293314,0.193150995796367,0.107306108775759,0.0518916348782675,0.253990209533278,0.0562357492516669,1,0.0129566993375766,0.171797836587817,0.0510379407601119,0.10955380974508,0.0577053998854537,0.0597045569975902,0.0334345519186505,0.0420687493921482,0.214174564237781,0.0750432636124074,0.288856725935196,"X1969004",-0.181352744126695,0.517735312089022,"dec.trend"
"X196900135",0.240546275640677,0.338865008977637,0.220378330340787,1,0.622667174492627,0.182853619166803,0.163284183034986,0.0875092950287466,0.096722708888768,0.0749768757821427,0.0849520285833469,0.296896820646753,0.148883689718338,0.319204889638537,0.175834738923046,0.357012985835283,0.171067393168704,0.150158355492209,"X196900135",-0.308896152021401,0.262613005768152,"dec.trend"
"X196900136",0.851386994088222,0.288585720782174,0.50450204638472,0.668849477035016,0.638108231014097,0.720054570259209,0.963710777626194,0.400909504320145,0.748067303319691,0.291950886766712,0.338608458390177,0.821191450659391,0.860027285129604,1,0.785993633469759,0.629513415188722,0.692262716819333,0.63136974693693,"X196900136",0.315878829862825,0.25141032402964,"inc.trend"
"X196900143",0.379116545060146,0.497732202721357,0.390061131926642,0.571879313744823,1,0.432163281404062,0.678860185367778,0.322224413330704,0.544567146519424,0.266811279826464,0.261486886215737,0.900118319858016,0.523072372313153,0.81266022480773,0.459376848747782,0.534004634194439,0.538299011184044,0.972094999672605,"X196900143",0.184857616361166,0.509535936333838,"inc.trend"
"X196900145",0.064022744448843,0.21927520063339,0.0141792924748983,0.0644366070464606,0.0652463382157124,0.0248857379350056,1,0.0416921582034764,0.0601180408104509,0.0233742397524022,0.0384352395004858,0.0474682405441393,0.0254975348184403,0.0439414114513981,0.0542339943138878,0.186717259869723,0.0418669573130292,0.275389628197682,"X196900145",-0.169646651097088,0.545547384575622,"dec.trend"
"X196900148",0.0695983086680761,0.0854334038054968,0.0134883720930233,0.120063424947146,0.130824524312896,0.0693868921775899,1,0.0979281183932347,0.103213530655391,0.0692600422832981,0.0916490486257928,0.0940169133192389,0.0406342494714588,0.0751374207188161,0.0509936575052854,0.198340380549683,0.0749864089398973,0.338158720936315,"X196900148",-0.110588035375182,0.69479559385437,"dec.trend"
"X196900154",0.50894472361809,0.284623115577889,0.656281407035176,0.0840201005025126,0.817085427135678,0.527437185929648,0.740904522613065,0.71678391959799,0.854874371859296,0.664321608040201,0.213668341708543,0.898693467336683,1,0.806030150753769,0.51356783919598,0.542010050251256,0.707307968413496,0.239599839144416,"X196900154",0.42084818416284,0.118259085458211,"inc.trend"
"X196900157",0.303893870531876,0.271096916840683,0.0997420464316423,0.217909347745977,0.359538140277607,0.281169389509888,0.524751259059084,0.547230070015969,0.403635916963518,0.460140031937108,0.223068419113131,0.371821643532736,0.509642550055276,1,0.809114359415305,0.325666380051591,0.539631845859582,0.0757391411455173,"X196900157",0.687001374498483,0.00466290146674906,"increasing"
"X196900160",0.222035928143713,0.474850299401198,0.202275449101796,0.194850299401198,0.270179640718563,0.318083832335329,1,0.115928143712575,0.184550898203593,0.155808383233533,0.372455089820359,0.443233532934132,0.192934131736527,0.475209580838323,0.380838323353293,0.349775449101796,0.315004277159966,0.771875479301124,"X196900160",0.0791286415839925,0.779235082411776,"inc.trend"
"X196900162",0.11427505595623,0.24869435463815,0.163827406117881,0.0458841084307386,0.484580950012435,0.237067893558816,1,0.122730664013927,0.300609301168863,0.338286495896543,0.180365580701318,0.459151952250684,0.45430241233524,0.536806764486446,0.210208903257896,0.302132554091022,0.35424734429957,0.689223667793619,"X196900162",0.285350115501671,0.302580125306483,"inc.trend"
"X196900164",0.0996255901025558,0.116881002767378,0.0258288566932552,0.086439850236041,0.125508709099788,0.111726083889522,1,0.0688046014433773,0.266536437137121,0.110152477074177,0.149167073633946,0.0873623094036573,0.0576265668240274,0.321395626458299,0.265776764881437,0.20435183677899,0.179716750773238,0.850324157512731,"X196900164",0.0868020405622153,0.758387941259452,"inc.trend"
"X196900168",0.125114294422432,0.0783297775068577,0.246799756171899,0.0205729960377934,0.190719292898507,0.181956720512039,1,0.0628619323377019,0.261886619932947,0.192090825967693,0.227293508076806,0.350502895458702,0.395992075586711,0.27194452910698,0.102103017372752,0.238294346235904,0.25740192450037,0.880960013040663,"X196900168",0.161113389876488,0.566221736629442,"inc.trend"
"X196900171",0.127074520013017,0.240400260331923,0.0546697038724374,0.0525545069964204,0.23128864301985,0.158232997071266,1,0.0263586072242109,0.180442564269444,0.0486495281483892,0.10494630654084,0.0967295802147738,0.161161731207289,0.085502766026684,0.26879271070615,0.236322404816141,0.13517502673051,0.429001753447085,"X196900171",-0.0647240610198591,0.818738965203837,"dec.trend"
"X196900178",0.425178919973975,0.8939492517892,1,0.457384515289525,0.709499024072869,0.261548471047495,0.985361093038386,0.332140533506831,0.339297332465843,0.221860767729343,0.254716981132075,0.152895250487964,0.134352635003253,0.833116460637606,0.425504229017567,0.633132726089785,0.337391950924807,0.0582200663770143,"X196900178",-0.429764124264485,0.10986158176488,"dec.trend"
"X196900179",0.437347931873479,0.343369829683698,0.261861313868613,0.291362530413625,0.464720194647202,0.224756690997567,1,0.257299270072993,0.608576642335766,0.273114355231144,0.320559610705596,0.3080900243309,0.535279805352798,0.824817518248175,0.287104622871046,0.410089720194647,0.451077511296489,0.74142777844656,"X196900179",0.171373205455941,0.541404789099996,"inc.trend"
"X196900199",0.288708586883029,0.520622041920216,0.390804597701149,0.563443768311922,0.503042596348884,0.343475321162948,1,0.183682668469687,0.3166553977913,0.293441514536849,0.290962361956277,0.700698670272707,0.644579670948839,0.647284201036737,0.735406806400721,0.47422244759973,0.51843266042049,0.716018872908918,"X196900199",0.336350080623225,0.220283240785477,"inc.trend"
"X196900215",0.0881436229896522,0.528487719735694,0.333000872709139,0.876324647799526,0.339608527615011,0.316918090013714,1,0.115696297219798,0.120932552050866,0.159830445081661,0.151726717366912,0.205585338486473,0.154843535718738,0.148983917217305,0.273033287619998,0.449772472260317,0.173562256220279,0.0498331287379256,"X196900215",-0.356658475532805,0.191920862920147,"dec.trend"
"X196900224",0.126885075403016,0.44253770150806,0.292078349800659,0.578089790258277,0.358814352574103,0.169006760270411,0.287224822326226,0.124631651932744,0.135552088750217,0.170740162939851,0.125845033801352,0.561969145432484,0.46975212341827,1,0.331946611197781,0.297408563009187,0.399400737934279,0.43340721293689,"X196900224",0.371765181040722,0.172430228549664,"inc.trend"
"X196900235",0.232606873428332,0.60268231349539,0.45222129086337,0.392707460184409,0.97024308466052,0.389773679798826,0.787510477787091,0.402347024308466,0.419530595138307,0.365884325230511,0.146269907795474,0.977787091366303,1,0.957250628667225,0.651299245599329,0.5287615255658,0.645431684828164,0.457472410831771,"X196900235",0.459058006665989,0.0851984854426034,"inc.trend"
"X196900250",0.154160054409431,0.257537973248696,0.0784402629789163,0.310360462480163,0.265019270006801,0.121287689866243,1,0.0632509635003401,0.145318521877125,0.0591702561777375,0.0745862616186806,0.176830650646112,0.0986170936295625,0.148492405350261,0.143051462253457,0.281257084561324,0.120866664507562,0.192278971194051,"X196900250",-0.199521788412357,0.475892706961979,"dec.trend"
"X196900138",0.052371130520401,0.0605111490243012,0.0643562255438704,0.0177060256508195,0.056139814791237,0.0173155763795167,1,0.0139033892694355,0.0164582855881779,0.00583976301426837,0.026440206089311,0.0177993939548267,0.0049060799741964,0.0459711576820894,0.0237749654112874,0.160287913897448,0.0201699788163082,0.297842739094224,"X196900138",-0.138363929650349,0.622883383955687,"dec.trend"
