"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"1","X1969004",-0.432125155145899,0.107709064564151,0.32787641086305,"dec.trend"
"2","X196900135",-0.411784318406053,0.127238690339021,0.346703625257955,"dec.trend"
"3","X196900136",-0.102855274019295,0.715285057562672,0.847677150479156,"dec.trend"
"4","X196900143",-0.232129859486499,0.405125787685837,0.588401949024813,"dec.trend"
"5","X196900145",-0.425719626292762,0.113617930671098,0.337713765223983,"dec.trend"
"6","X196900148",-0.287510754335275,0.298772321929583,0.488418583012545,"dec.trend"
"7","X196900154",0.131108488195905,0.641395752331777,0.788489178199865,"inc.trend"
"8","X196900157",0.498291056927558,0.0586962005968963,0.257704271192087,"inc.trend"
"9","X196900160",-0.163256371638903,0.560998801343719,0.728508302590013,"dec.trend"
"10","X196900162",0.351154707648092,0.199361194153166,0.404870090328677,"inc.trend"
"11","X196900164",0.138808719493604,0.62175514674831,0.77050839422304,"inc.trend"
"12","X196900168",0.239308983564932,0.390331833254245,0.588401949024813,"inc.trend"
"13","X196900171",-0.193069360343292,0.490562617600621,0.669080966609132,"dec.trend"
"14","X196900178",-0.655070588527637,0.0080346985087835,0.0906054784073517,"decreasing"
"15","X196900179",-0.199865751153902,0.475116681817589,0.65381728453107,"dec.trend"
"16","X196900199",-0.0250821138394686,0.929298037715186,0.960499493319269,"dec.trend"
"17","X196900215",-0.468491280120077,0.0781712868944586,0.283755616207444,"dec.trend"
"18","X196900224",0.0216719641696366,0.938892784804986,0.964349462828221,"inc.trend"
"19","X196900235",0.112650519044241,0.689362947511676,0.827594580215841,"inc.trend"
"20","X196900250",-0.505728073805285,0.0544459736120547,0.248510830051062,"dec.trend"
"21","X196900138",-0.440105580797066,0.100650777360157,0.321349565778797,"dec.trend"
"22","X196900155",-0.190722135880051,0.495951554751454,0.674435595104485,"dec.trend"
"23","X196900156",0.00726899229614559,0.979488366918992,0.987380869408279,"inc.trend"
"24","X196900176",-0.586078521887793,0.0216747610832267,0.161162336441411,"decreasing"
"25","X196900185",0.175101103443437,0.532507714390727,0.701388732383215,"inc.trend"
"26","X196900189",-0.784620457464679,0.000532315036735246,0.0215379844193281,"decreasing"
"27","X196900198",0.0829952421953077,0.768711900194719,0.870703159680014,"inc.trend"
