"","Wb1","Wb2","Wb3","Wb4","Wb5","Wb6","Wb7","Wb8","Wb9","Wb10","Wb11","Wb12","Wb13","Wb14","Wb15","Wb16","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X1969004",0.0472226838074233,0.0985241023007085,0.108856896838225,0.146849555115791,0.604151245524722,0.114325422602233,0.291282082269589,1,0.637914104868801,0.237850657884798,0.029880508180129,0.138782724292642,0.308095533030198,0.481154735108842,0.408311554904301,0.466486396664501,0.287969998640422,0.41601205492696,0.424013866933912,"X1969004",0.277071117600559,0.298850379270713,"inc.trend"
"X1969000",0.429985926432928,1,0.459005929355308,0.419780667686936,0.817743461174643,0.115453238073998,0.656112773107951,0.231156416546823,0.497185286585507,0.0318347163368735,0.359887257653944,0.597049934246449,0.358799055609816,0.331409433135175,0.65517453530312,0.842610608239574,0.46793296726678,0.546998408071921,0.620716808160003,"X1969000",-0.0439903748971242,0.871490920152895,"dec.trend"
"X19690015",0.130596606458675,0.591461412151067,1,0.181499726327313,0.421674876847291,0.106622879036672,0.118445539135194,0,0.436343732895457,0.261302681992337,0.28111658456486,0.236015325670498,0.268527640941434,0.193212917350848,0.251231527093596,0.309906951286262,0.313756613756614,0.255719759168035,0.684564002891386,"X19690015",-0.229838887757721,0.391815473028284,"dec.trend"
"X1969006",0.100292756634243,1,0.50231372178676,0.174615166682406,0.181225800358863,0.0577486070450467,0.0403720842383606,0,0.156010954764378,0.0268202852016243,0.124657663613183,0.015723864387572,0.0409387099820568,0.0100576069506091,0,0.0473132495986401,0.198315075392703,0.0245773916328265,0.255330275644314,"X1969006",-0.54031571713944,0.030717057764579,"decreasing"
"X19690019",0.151124063280599,0.254371357202331,0.194560088814876,0.19691923397169,0.421870663336109,0.176658340271996,0.367332778240355,0.730779905634194,0.639467110741049,0.551901193449903,0,1,0.524562864279767,0,0.209270052733833,0.776575076325284,0.390415394578592,0.377601998334721,0.94249302464521,"X19690019",0.297768298793931,0.262669406378908,"inc.trend"
"X19690052",0,0.20686175580222,1,0.146316851664985,0.238647830474268,0.096535486041036,0.0766902119071645,0,0.311974436596031,0.152539522367978,0.270770265724857,0.15438950554995,0.215270770265725,0.112512613521695,0.171543895055499,0.229734275142953,0.221227155510707,0.182265388496468,0.778467575777516,"X19690052",-0.110835016896688,0.682803645017435,"dec.trend"
"X1969009",0.935634874195436,1,0.903452311293154,0.293153891164424,0.22878876535986,0.144528964306612,0,0,0.427735517846694,0.155646576945582,0.260971328262142,0.219426565242832,0.208308952603862,0.244002340550029,0,0.262726740784084,0.380778232884728,0.178759508484494,0.299803832079499,"X1969009",-0.594562410007646,0.0151369361554754,"decreasing"
"X19690020",0.410805775500699,1,0.975314392175128,0.241732650209595,0.325104797391709,0.12063344201211,0,0,0.381928272007452,0.130880298090359,0.133209129017233,0.114112715416861,0.169073125291104,0.100605496040987,0.12156497438286,0,0.319476789318429,0.0978108989287378,0.22536723248212,"X19690020",-0.609678949038527,0.0121601200550556,"decreasing"
"X19690060",0,0,1,0.356687898089172,0.397220613781123,0.23335263462652,0.306890561667632,0,0.609727851766068,0.448176027793862,0.539085118702953,0.400694846554719,0.442385639837869,0.245512449334105,0.35031847133758,0.585408222350898,0.357652962748504,0.405906195715113,0.757320833070778,"X19690060",0.270315836503086,0.311267073268519,"inc.trend"
"X1969002",1,0.201760441836382,0.190599470716834,0.0739270509722702,0.0453342538257968,0.0172017029110574,0,0,0.0513749856173053,0,0.021171326659763,0,0.0181797261534921,0.0106431941088482,0,0.0203658957542285,0.133447436044951,0.0122972040041422,0.415242689043903,"X1969002",-0.560436128241163,0.0239401235055464,"decreasing"
