"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"1","X1969004",0.327289338805849,0.215940635843571,0.417793821364083,"inc.trend"
"2","X1969000",0.1784026513138,0.508574132989032,0.673112823073719,"inc.trend"
"3","X19690015",0.119509724028467,0.659323546196105,0.767316196004088,"inc.trend"
"4","X1969006",-0.620844185602272,0.0102730170719477,0.158343925851723,"decreasing"
"5","X19690019",0.15114688785045,0.576317621436886,0.715155777936367,"inc.trend"
"6","X19690052",0.25537741879866,0.339777081663023,0.469825442976135,"inc.trend"
"7","X1969009",-0.38037717489028,0.146115821142143,0.365289552855359,"dec.trend"
"8","X19690020",-0.491485389355217,0.0531777899390215,0.259690826756679,"dec.trend"
"9","X19690060",0.475001295278722,0.0629832707991271,0.259690826756679,"inc.trend"
"10","X1969002",-0.670040966228651,0.00451196405929166,0.152278787001094,"decreasing"
"11","X19690029",0.548211421929002,0.0279030905418088,0.188345861157209,"increasing"
"12","X19690088",0.566371112789194,0.0221796749811093,0.158343925851723,"increasing"
"13","X1969001",0.0140819943407972,0.958719275132073,0.961307207085198,"inc.trend"
"14","X19690023",0.358176337499838,0.173135294383784,0.397840623051388,"inc.trend"
"15","X19690036",0.0382910897128134,0.888035458984586,0.922190668945532,"inc.trend"
"16","X19690042",0.780610847616095,0.000359002114919931,0.0484652855141907,"increasing"
"17","X19690062",0.325930001778285,0.21796665158084,0.417793821364083,"inc.trend"
"18","X19690041",0.447134620226716,0.0824786076262681,0.259690826756679,"inc.trend"
"19","X19690083",0.363528355472675,0.166339351419811,0.393961621783764,"inc.trend"
"20","X19690059",0.0853035779062161,0.75343851548292,0.840613219753671,"inc.trend"
"21","X19690080",0.271162849005743,0.309693884905774,0.469825442976135,"inc.trend"
"22","X19690012",-0.743825734506997,0.000955066587243052,0.064466994638906,"decreasing"
"23","X19690056",-0.403311186647983,0.121371355379602,0.309153452382004,"dec.trend"
"24","X19690064",0.101366766228268,0.708745866045344,0.804039427866567,"inc.trend"
"25","X19690010",-0.480931832525128,0.0593142818794871,0.259690826756679,"dec.trend"
"26","X19690011",-0.512124023850022,0.0425533242906018,0.249769512140489,"decreasing"
"27","X19690021",-0.695127238117035,0.00279683830933274,0.125857723919973,"decreasing"
"28","X19690068",-0.444837783623797,0.0842589190430928,0.259690826756679,"dec.trend"
"29","X19690082",0.255321382025384,0.339886737429051,0.469825442976135,"inc.trend"
"30","X19690090",0.519369494948806,0.0392301137558436,0.240730243501767,"increasing"
"31","X196900103",0.46477761360818,0.0696948204185263,0.259690826756679,"inc.trend"
"32","X196900114",0.597806550237749,0.0144546484589077,0.158343925851723,"increasing"
"33","X1969005",-0.61518073465726,0.0111989536374613,0.158343925851723,"decreasing"
"34","X19690048",0.0562931409387178,0.835955098294365,0.881671392732338,"inc.trend"
"35","X19690061",-0.376670488159217,0.150413917511745,0.369197797528829,"dec.trend"
"36","X19690066",0.104431459636149,0.700314401654449,0.801207154435175,"inc.trend"
"37","X19690097",-0.270867202448492,0.310242469701332,0.469825442976135,"dec.trend"
"38","X19690098",0.339111983337223,0.198827776180683,0.417793821364083,"inc.trend"
"39","X19690099",0.304376752456152,0.251710760237819,0.469825442976135,"inc.trend"
"40","X196900102",0.0159181132764768,0.953341915449274,0.961307207085198,"inc.trend"
"41","X196900104",0.128486641094656,0.635335698153038,0.755227061293261,"inc.trend"
"42","X196900112",0.364290972632249,0.165385702657352,0.393961621783764,"inc.trend"
"43","X196900113",0.471034703386482,0.0655283669482135,0.259690826756679,"inc.trend"
"44","X196900131",0.534006065241189,0.0331169633352703,0.212894764298166,"increasing"
"45","X1969007",-0.151170017257428,0.576258575463807,0.715155777936367,"dec.trend"
