"","XOTU","avg_gb","abundance_gb","SpongeEMP","VIP_score","NW_otus","barettin_spearman","p_values_spearman","fdr_spearman","barettin_pearson","p_values_pearson","fdr_pearson","Gb1","Gb10","Gb11","Gb12","Gb13","Gb14","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Kingdom","Phylum","Class","Order","Family","Genus","OTU_in_Sf","sf_signif_correl_bar","inc_dec_estimate","inc_dec_p","bar_spearman","bar_pearson","vip","inc_dec"
"1","X1969004",0.0199140521114357,"common","NO",1.74304563132538,"Included",0.684848484848485,0.0288827975067327,0.232709414230667,0.713955093485066,0.0203851979709997,0.0859096005163117,1,0.152350183707082,0.376852907639681,0.186367667553528,0.110160902065121,0.204358292157608,0.424933485366781,0.868807804383631,0.331432915241353,0.17407829722539,0.111807931078171,0.338971240339541,0.916825034840998,0.480172304573673,"Archaea"," Thaumarchaeota"," Marine_Group_I"," Unknown_Order"," Unknown_Family"," Candidatus_Nitrosopumilus","yes","not correlated",-0.477822517657687,0.0839802801137587,"barrettin","barrettin","VIP","dec. trend "
"2","X196900135",0.0732949140977236,"common","YES",3.42668017902956,"Included",-0.127272727272727,0.726057014762789,0.833315437398201,0.146175269384911,0.686986795680867,0.748093437884286,0.398410556305293,0.640811430285114,0.368549579075895,0.319388214125056,0.334425808110019,0.646488014909067,0.282029860977229,0.816442816442816,1,0.221386800334169,0.274489642910696,0.478953794743268,0.381273697063171,0.985797827903091,"Bacteria"," SBR1093"," uncultured_bacterium"," "," "," ","yes","not correlated",-0.119400219129458,0.684329752422801,"n.s.","n.s.","VIP","dec. trend "
"3","X196900136",0.0108456200017465,"common","NO",1.9336844744062,"Included",0.103030303030303,0.77699846344389,0.862382909976185,0.457007327980936,0.184226690712708,0.329325588707673,0.146360094721564,0.153540600412497,0.428156748911466,0.0364372469635627,0.164464135665725,0.172561301657627,0.573829348407303,1,0.0815827667863418,0.0256664884271637,0.136353219769307,0.11007562447483,0.535940722633871,0.268199526392178,"Bacteria"," Chloroflexi"," Caldilineae"," Caldilineales"," Caldilineaceae"," uncultured","yes","not correlated",-0.24393487145841,0.400666977226285,"n.s.","n.s.","VIP","dec. trend "
"4","X196900143",0.0339603293569557,"common","NO",3.17843215388634,"Included",-0.163636363636364,0.651477342796243,0.765107111888611,-0.028774131684694,0.937108675096145,0.951537083370991,0.416660242078483,0.502968159740961,0.270873487009483,0.456980957520623,0.375761313699792,0.65854598720222,0.229511988281551,0.397425025055894,0.397656310230514,0.121964382083108,0.171536504510061,0.355138385629481,0.596985583224115,1,"Bacteria"," Acidobacteria"," Subgroup_11"," "," "," ","yes","not correlated",0.244946490197593,0.398654532921502,"n.s.","n.s.","VIP","inc. trend"
"5","X196900145",0.0107825852925715,"common","YES",1.386113216014,"Included",0.2,0.579584,0.749225219191231,0.284773218003829,0.425165896420568,0.581868716939503,1,0.970126835781041,0.16805740987984,0.74148865153538,0.122997329773031,0.600300400534045,0.228971962616822,0.311248331108144,0.358311081441923,0.21562082777036,0.51718958611482,0.694926568758344,0.55390520694259,0.91154873164219,"Bacteria"," Actinobacteria"," Acidimicrobiia"," Acidimicrobiales"," Sva0996_marine_group"," uncultured_bacterium","yes","not correlated",-0.109783216228665,0.708697468265441,"n.s.","n.s.","VIP","dec. trend "
"6","X196900148",0.0124444192898659,"common","NO",1.41132781273925,"Included",-0.636363636363636,0.0479117261299753,0.280526628355218,-0.633359908557121,0.0493094663223821,0.154426545691801,0.338997779279714,0.256348363425702,0.462682243893019,0.384474268610602,0.668726465192623,1,0.14347784107367,0.355894564062953,0.240417109201506,0.155740079173506,0.139326059669789,0.226706575263107,0.350680699044125,0.686299121367191,"Bacteria"," Nitrospirae"," Nitrospira"," Nitrospirales"," Nitrospiraceae"," Nitrospira","yes","not correlated",0.738640711610161,0.00254934805997657,"n.s.","n.s.","VIP","increasing"
"7","X196900154",0.00379414329888615,"common","YES",1.9979775830584,"Included",0.503030303030303,0.138333698394492,0.354550761131669,0.466807217794563,0.17379147991967,0.320402393426991,0.577007700770077,0.436468646864686,0.346259625962596,0.157040704070407,0.400990099009901,0.156215621562156,0.238998899889989,0.267326732673267,0.193894389438944,0.127337733773377,0.168866886688669,0.32975797579758,0.33993399339934,1,"Bacteria"," Chloroflexi"," SAR202_clade"," "," "," ","yes","not correlated",-0.0909792101596172,0.757080457684106,"n.s.","n.s.","VIP","dec. trend "
"8","X196900157",0.00661263629548387,"common","NO",2.11135931390717,"Included",0.272727272727273,0.445838341542751,0.608509087781323,0.207014175039585,0.566069133649091,0.695298539771793,0.465598650927487,0.212816188870152,0.48566610455312,0.215682967959528,0.34283305227656,0.441483979763912,0.207419898819562,0.278920741989882,0.373524451939292,0.0924114671163575,0.0844856661045531,0.657504215851602,0.348060708263069,1,"Bacteria"," Acidobacteria"," Subgroup_9"," "," "," ","yes","not correlated",0.109813002262232,0.708621581086503,"n.s.","n.s.","VIP","inc. trend"
"9","X196900160",0.0112795609006149,"common","YES",0.70430655733669,"Included",0.103030303030303,0.77699846344389,0.862382909976185,-0.12870552615735,0.723074287624948,0.772451023185827,0.291219778222141,0.286947827667697,0.299581894201054,0.089438283948373,1,0.167424104708235,0.23423013997455,0.479367387747682,0.706053444828213,0.068169423741138,0.270496273404836,0.223595709870933,0.204780948918378,0.226867842210507,"Bacteria"," Actinobacteria"," Acidimicrobiia"," Acidimicrobiales"," Sva0996_marine_group"," uncultured_bacterium","yes","not correlated",0.120371862750299,0.681883147628466,"n.s.","n.s.","n.s.","inc. trend"
"10","X196900162",0.00613410959405712,"common","YES",1.41580591950604,"Included",0.721212121212121,0.0185731550894601,0.206456973116958,0.598130195973141,0.0677658663417886,0.202442119970742,0.642974004726413,0.263043083075804,0.0607162334121069,0.0527176876931467,0.297582257771314,0.326122523177604,0.43392110525359,0.161243410289038,0.112161425195419,0.267042355935284,0.180512634066533,0.4684602799491,0.694782766769678,1,"Bacteria"," PAUC34f"," uncultured_bacterium"," "," "," ","yes","not correlated",-0.267512438858331,0.355159124917059,"barrettin","n.s.","VIP","dec. trend "
